"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
WORLD,,900,,77 563 467,81 581 501,87 719 833,97 663 081,113 940 881,128 238 058,145 655 844
  Sub-Saharan Africa,,947,,7 048 417,7 514 093,6 939 992,7 657 166,8 388 044,10 866 306,11 651 019
  Northern Africa and Western Asia,,1833,,10 137 138,11 047 709,12 060 066,14 298 543,21 159 635,27 119 963,31 936 084
  Central and Southern Asia,,921,,13 255 517,10 643 146,10 125 866,9 395 177,9 817 100,9 603 861,9 727 936
  Eastern and South-Eastern Asia,,1832,,3 507 907,4 190 876,5 165 913,6 436 048,7 866 153,9 100 814,9 920 938
  Latin America and the Caribbean,,1830,,3 582 217,3 335 229,3 266 229,3 572 498,4 139 431,4 738 649,7 473 421
  Oceania (excluding Australia and New Zealand),,1835,, 144 238, 153 072, 156 788, 161 215, 158 458, 160 348, 165 505
  Australia and New Zealand,,927,,2 271 419,2 382 510,2 519 827,2 826 880,3 381 077,3 846 117,4 480 351
  Europe and Northern America,,1829,,37 616 614,42 314 866,47 485 152,53 315 554,59 030 983,62 802 000,70 300 590
  Developed regions,,901,,40 426 798,45 377 588,50 801 907,57 073 632,63 384 541,67 698 187,76 128 097
  Less developed regions,,902,,37 136 669,36 203 913,36 917 926,40 589 449,50 556 340,60 539 871,69 527 747
" Less developed regions, excluding least developed countries",,934,,31 586 436,30 379 836,31 883 994,35 617 824,45 371 137,53 851 671,61 492 223
" Less developed regions, excluding China",,948,,35 723 792,34 702 148,35 328 824,38 894 021,48 756 636,58 644 164,67 594 504
  Least developed countries,,941,,5 550 233,5 824 077,5 033 932,4 971 625,5 185 203,6 688 200,8 035 524
  Land-locked Developing Countries (LLDC),,1636,,6 634 173,5 711 793,5 322 930,5 433 861,5 547 431,6 703 619,7 264 069
  Small island developing States (SIDS),,1637,,1 215 163,1 416 442,1 643 712,1 982 037,2 421 217,2 747 999,3 006 821
  High-income countries,,1503,,39 262 814,44 979 406,51 813 707,61 090 224,74 310 524,82 642 592,95 328 366
  Middle-income countries,,1517,,33 533 975,31 900 162,32 013 691,32 742 245,34 997 886,40 203 291,44 012 113
 Upper-middle-income countries,,1502,,17 724 673,17 685 130,18 115 349,19 479 700,21 633 758,26 585 049,29 870 387
 Lower-middle-income countries,,1501,,15 809 302,14 215 032,13 898 342,13 262 545,13 364 128,13 618 242,14 141 726
  Low-income countries,,1500,,4 626 030,4 534 923,3 695 811,3 612 390,4 397 440,5 146 388,6 046 398
 AFRICA,,903,,8 279 127,8 619 901,7 996 691,8 703 290,9 543 626,12 139 998,13 439 073
