"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
WORLD,,900,,2 680 895,2 892 142,3 093 434,3 296 485,3 507 704,3 720 696,3 929 974
  Sub-Saharan Africa,,947,, 244 051, 278 800, 318 001, 362 946, 416 386, 477 837, 546 156
  Northern Africa and Western Asia,,1833,, 145 659, 163 624, 179 942, 199 133, 222 727, 246 800, 270 179
  Central and Southern Asia,,921,, 640 532, 711 481, 781 527, 851 430, 916 462, 977 497,1 037 598
  Eastern and South-Eastern Asia,,1832,, 933 103, 989 642,1 037 057,1 078 363,1 117 990,1 156 649,1 189 407
  Latin America and the Caribbean,,1830,, 219 608, 238 982, 257 773, 274 945, 291 416, 307 137, 321 629
  Oceania (excluding Australia and New Zealand),,1835,, 3 541, 3 934, 4 362, 4 770, 5 264, 5 760, 6 295
  Australia and New Zealand,,927,, 10 128, 10 762, 11 368, 12 096, 13 225, 14 194, 15 069
  Europe and Northern America,,1829,, 484 274, 494 916, 503 406, 512 802, 524 233, 534 822, 543 641
  Developed regions,,901,, 555 759, 567 868, 577 398, 587 784, 600 332, 611 553, 620 463
  Less developed regions,,902,,2 125 137,2 324 274,2 516 036,2 708 701,2 907 371,3 109 143,3 309 511
" Less developed regions, excluding least developed countries",,934,,1 872 569,2 034 700,2 188 232,2 337 588,2 490 940,2 641 219,2 783 494
" Less developed regions, excluding China",,948,,1 507 663,1 673 436,1 839 235,2 010 240,2 188 768,2 371 247,2 555 677
  Least developed countries,,941,, 252 568, 289 574, 327 804, 371 114, 416 432, 467 924, 526 016
  Land-locked Developing Countries (LLDC),,1636,, 131 642, 148 354, 165 593, 185 930, 208 698, 234 664, 264 412
  Small island developing States (SIDS),,1637,, 24 858, 26 853, 28 747, 30 480, 32 734, 34 588, 36 304
  High-income countries,,1503,, 507 042, 524 650, 541 460, 560 854, 584 201, 602 334, 616 907
  Middle-income countries,,1517,,2 022 710,2 192 391,2 351 430,2 504 310,2 658 070,2 816 609,2 969 627
 Upper-middle-income countries,,1502,,1 121 608,1 191 119,1 250 151,1 304 013,1 357 177,1 414 522,1 464 474
 Lower-middle-income countries,,1501,, 901 102,1 001 272,1 101 279,1 200 297,1 300 893,1 402 087,1 505 153
  Low-income countries,,1500,, 150 213, 174 086, 199 429, 230 093, 264 140, 300 400, 342 004
 AFRICA,,903,, 314 377, 357 598, 404 163, 456 648, 518 253, 590 281, 669 878
  Eastern Africa,,910,, 97 877, 110 939, 127 369, 146 040, 167 966, 193 128, 221 040
   Burundi,,108,B R, 2 665, 2 925, 3 132, 3 629, 4 288, 5 031, 5 900
   Comoros,,174,B,  206,  239,  273,  308,  348,  392,  439
   Djibouti,,262,B R,  297,  317,  361,  394,  447,  483,  519
   Eritrea,,232,I R, 1 130, 1 097, 1 141, 1 410, 1 584, 1 674, 1 778
   Ethiopia,,231,B R, 23 880, 28 441, 33 019, 38 074, 43 727, 50 409, 57 517
   Kenya,,404,B R, 11 820, 13 811, 15 867, 18 172, 20 869, 23 783, 26 719
   Madagascar,,450,C R, 5 791, 6 716, 7 850, 9 130, 10 536, 12 082, 13 815
   Malawi,,454,B R, 4 662, 4 883, 5 504, 6 215, 7 154, 8 250, 9 434
   Mauritius*,,480,C,  527,  563,  588,  606,  619,  624,  627
   Mayotte*,1,175,B R,  48,  63,  76,  88,  102,  118,  134
   Mozambique,,508,B R, 6 205, 7 381, 8 469, 9 848, 11 351, 13 092, 15 188
   Réunion*,2,638,B,  299,  329,  360,  388,  402,  418,  433
   Rwanda,,646,B R, 3 595, 2 838, 3 876, 4 326, 4 921, 5 583, 6 367
   Seychelles,,690,B,  35,  38,  40,  44,  47,  49,  50
   Somalia,,706,I R, 3 630, 3 757, 4 443, 5 226, 6 016, 6 883, 7 924
   South Sudan,,728,B R, 2 730, 2 546, 3 088, 3 760, 4 752, 5 360, 5 603
   Uganda,,800,B R, 8 619, 10 085, 11 643, 13 639, 15 915, 18 776, 22 547
   United Republic of Tanzania*,,834,B R, 12 541, 14 752, 16 661, 19 138, 22 119, 25 696, 29 851
   Zambia,,894,B R, 4 006, 4 518, 5 164, 5 861, 6 719, 7 857, 9 103
   Zimbabwe,,716,B R, 5 191, 5 641, 5 814, 5 784, 6 049, 6 569, 7 092
  Middle Africa,,911,, 35 103, 41 558, 47 729, 55 693, 65 530, 76 881, 89 622
   Angola,,24,B R, 5 937, 6 960, 8 155, 9 639, 11 549, 13 791, 16 261
   Cameroon,,120,B R, 5 856, 6 768, 7 722, 8 837, 10 154, 11 641, 13 277
   Central African Republic,,140,C R, 1 382, 1 589, 1 795, 1 996, 2 172, 2 227, 2 394
   Chad,,148,B R, 2 958, 3 483, 4 159, 5 031, 5 962, 7 042, 8 200
   Congo,,178,B R, 1 159, 1 332, 1 543, 1 796, 2 126, 2 423, 2 757
   Democratic Republic of the Congo,,180,B R, 17 079, 20 574, 23 359, 27 222, 32 142, 38 020, 44 710
   Equatorial Guinea,,226,C,  208,  252,  314,  398,  513,  646,  780
   Gabon,,266,C R,  466,  535,  610,  695,  822,  992, 1 133
   Sao Tome and Principe,,678,C,  59,  65,  70,  78,  90,  100,  110
  Northern Africa,,912,, 70 326, 78 798, 86 162, 93 703, 101 867, 112 444, 123 723
   Algeria,,12,B R, 13 036, 14 564, 15 731, 16 766, 18 161, 20 064, 22 154
   Egypt,,818,B R, 28 207, 31 389, 34 650, 38 098, 41 806, 46 718, 51 703
   Libya,,434,C R, 2 339, 2 592, 2 781, 2 990, 3 164, 3 248, 3 469
   Morocco,,504,C R, 12 376, 13 427, 14 269, 15 045, 15 947, 17 171, 18 317
   Sudan,3,729,B R, 10 103, 12 085, 13 677, 15 515, 17 232, 19 425, 21 907
   Tunisia,,788,C R, 4 152, 4 609, 4 889, 5 058, 5 303, 5 542, 5 861
   Western Sahara,,732,I,  114,  133,  164,  231,  253,  276,  312
  Southern Africa,,913,, 20 758, 23 312, 25 293, 26 871, 28 737, 31 023, 33 214
   Botswana,,72,B R,  615,  706,  795,  875,  972, 1 021, 1 139
   Eswatini,,748,B R,  389,  442,  483,  489,  502,  532,  570
   Lesotho,,426,C R,  778,  923,  977,  964,  970, 1 012, 1 057
   Namibia,,516,B R,  690,  785,  865,  935, 1 024, 1 120, 1 232
   South Africa,,710,B R, 18 286, 20 455, 22 172, 23 607, 25 270, 27 337, 29 216
  Western Africa,,914,, 90 312, 102 991, 117 611, 134 342, 154 153, 176 806, 202 280
   Benin,,204,C B R, 2 424, 2 895, 3 383, 3 955, 4 569, 5 270, 6 054
   Burkina Faso,,854,B R, 4 306, 4 943, 5 702, 6 622, 7 738, 9 019, 10 445
   Cabo Verde,,132,B R,  160,  186,  206,  225,  246,  263,  279
   Côte d'Ivoire,,384,C B R, 6 208, 7 369, 8 479, 9 379, 10 427, 11 747, 13 300
   Gambia,,270,B R,  477,  564,  656,  767,  890, 1 035, 1 199
   Ghana,,288,B R, 7 438, 8 581, 9 731, 11 019, 12 533, 14 105, 15 750
   Guinea,,324,C B R, 3 049, 3 484, 3 934, 4 343, 4 858, 5 475, 6 353
   Guinea-Bissau,,624,B R,  471,  527,  581,  649,  738,  846,  963
   Liberia,,430,B R, 1 032, 1 017, 1 420, 1 609, 1 948, 2 244, 2 543
   Mali,,466,B R, 4 171, 4 740, 5 428, 6 358, 7 517, 8 720, 10 145
   Mauritania,,478,C R, 1 010, 1 146, 1 308, 1 508, 1 747, 2 028, 2 335
   Niger,,562,B R, 3 925, 4 672, 5 613, 6 783, 8 227, 10 030, 12 170
   Nigeria,,566,C R, 47 897, 54 345, 61 648, 70 121, 80 161, 91 721, 104 470
   Saint Helena*,4,654,C,..,..,..,..,..,..,..
   Senegal,,686,B R, 3 746, 4 311, 4 813, 5 417, 6 172, 7 089, 8 171
   Sierra Leone,,694,B R, 2 133, 2 130, 2 274, 2 805, 3 193, 3 574, 3 981
   Togo,,768,C R, 1 862, 2 080, 2 432, 2 777, 3 186, 3 639, 4 119
 ASIA,,935,,1 648 968,1 785 949,1 912 363,2 035 224,2 155 312,2 268 503,2 373 462
  Central Asia,,5500,, 24 617, 26 207, 27 264, 28 817, 31 018, 33 869, 36 812
   Kazakhstan,,398,B R, 7 952, 7 673, 7 177, 7 419, 7 856, 8 508, 9 113
   Kyrgyzstan,,417,B R, 2 145, 2 253, 2 433, 2 516, 2 680, 2 948, 3 227
   Tajikistan,,762,B R, 2 619, 2 876, 3 114, 3 413, 3 798, 4 265, 4 806
   Turkmenistan,,795,B R, 1 810, 2 072, 2 223, 2 339, 2 503, 2 740, 2 969
   Uzbekistan,,860,B R, 10 091, 11 333, 12 317, 13 130, 14 182, 15 407, 16 697
  Eastern Asia,,906,, 711 282, 747 554, 775 571, 798 705, 819 646, 839 695, 855 476
   China*,,156,C, 603 859, 636 687, 662 188, 683 486, 703 414, 722 508, 738 247
"   China, Hong Kong SAR*",,344,B R, 2 910, 3 052, 3 250, 3 252, 3 277, 3 333, 3 440
"   China, Macao SAR*",,446,B,  170,  187,  205,  229,  258,  289,  312
"   China, Taiwan Province of China*",,158,, 10 534, 10 912, 11 159, 11 494, 11 654, 11 766, 11 834
   Dem. People's Republic of Korea,,408,I, 9 859, 10 658, 11 178, 11 670, 11 995, 12 314, 12 608
   Japan,,392,C, 61 357, 62 190, 62 625, 62 886, 62 875, 62 537, 61 753
   Mongolia,,496,C R, 1 078, 1 138, 1 196, 1 257, 1 349, 1 482, 1 615
   Republic of Korea,,410,C R, 21 514, 22 730, 23 772, 24 431, 24 825, 25 466, 25 666
  South-Eastern Asia,,920,, 221 821, 242 088, 261 486, 279 657, 298 345, 316 954, 333 932
   Brunei Darussalam,,96,B,  136,  155,  169,  186,  201,  216,  227
   Cambodia,,116,B R, 4 335, 5 173, 5 907, 6 442, 6 972, 7 570, 8 162
   Indonesia,,360,B R, 91 096, 98 510, 105 854, 113 592, 121 821, 130 133, 137 718
   Lao People's Democratic Republic,,418,C R, 2 130, 2 417, 2 650, 2 846, 3 099, 3 381, 3 652
   Malaysia*,,458,C R, 9 172, 10 428, 11 818, 13 168, 14 550, 15 585, 16 631
   Myanmar,,104,C, 20 124, 21 351, 22 630, 23 672, 24 399, 25 392, 26 220
   Philippines,,608,C R, 31 268, 35 201, 39 281, 43 387, 47 398, 51 389, 55 029
   Singapore,,702,B, 1 516, 1 790, 2 066, 2 156, 2 675, 2 926, 3 062
   Thailand,,764,B R, 28 018, 29 538, 31 094, 32 174, 32 931, 33 559, 33 966
   Timor-Leste,,626,B R,  373,  426,  447,  503,  553,  605,  666
   Viet Nam,,704,C R, 33 653, 37 098, 39 570, 41 532, 43 746, 46 197, 48 598
  Southern Asia,,5501,, 615 915, 685 275, 754 263, 822 613, 885 445, 943 628,1 000 786
   Afghanistan,,4,B R, 6 345, 9 393, 10 690, 13 240, 14 936, 17 686, 19 976
   Bangladesh,,50,B R, 53 216, 59 294, 65 595, 71 222, 75 016, 79 217, 83 259
   Bhutan,,64,B,  273,  274,  302,  340,  360,  384,  410
   India,,356,B R, 453 257, 500 831, 549 388, 597 052, 642 164, 681 223, 717 101
   Iran (Islamic Republic of),,364,C R, 28 745, 31 304, 33 388, 35 490, 37 180, 39 730, 42 408
   Maldives,,462,C,  114,  129,  141,  167,  199,  271,  343
   Nepal,,524,B R, 9 396, 10 903, 11 920, 12 788, 13 297, 12 398, 13 348
   Pakistan,,586,B R, 55 821, 63 985, 73 474, 82 676, 92 427, 102 641, 113 672
   Sri Lanka,,144,B R, 8 748, 9 163, 9 366, 9 638, 9 866, 10 078, 10 267
  Western Asia,,922,, 75 333, 84 826, 93 779, 105 431, 120 860, 134 356, 146 457
   Armenia,,51,B R, 1 715, 1 524, 1 441, 1 402, 1 346, 1 375, 1 394
   Azerbaijan*,,31,B R, 3 541, 3 797, 3 971, 4 207, 4 475, 4 789, 5 065
   Bahrain,,48,C R,  286,  325,  381,  534,  774,  847, 1 100
   Cyprus*,,196,B,  389,  432,  475,  520,  556,  581,  604
   Georgia*,,268,B R, 2 572, 2 355, 2 072, 2 007, 1 953, 1 922, 1 901
   Iraq,,368,C R, 8 785, 10 160, 11 852, 13 600, 15 022, 17 984, 20 358
   Israel,,376,B R, 2 220, 2 603, 2 930, 3 221, 3 628, 3 956, 4 308
   Jordan,,400,C R, 1 868, 2 400, 2 655, 2 975, 3 704, 4 693, 5 166
   Kuwait,,414,C R, 1 191,  933, 1 195, 1 340, 1 730, 2 256, 2 614
   Lebanon,,422,B R, 1 383, 1 754, 1 915, 2 391, 2 516, 3 288, 3 436
   Oman,,512,C R, 1 009, 1 307, 1 273, 1 420, 1 835, 2 783, 3 370
   Qatar,,634,C,  319,  338,  386,  585, 1 419, 1 950, 2 165
   Saudi Arabia,,682,C R, 9 087, 10 336, 11 248, 13 261, 15 427, 18 041, 20 131
   State of Palestine*,5,275,B, 1 065, 1 329, 1 637, 1 817, 2 058, 2 298, 2 587
   Syrian Arab Republic,,760,C R, 6 292, 7 256, 8 302, 9 368, 10 785, 9 066, 8 760
   Turkey,,792,B R, 26 630, 28 836, 31 144, 33 420, 35 564, 38 650, 41 636
   United Arab Emirates,,784,C R, 1 198, 1 604, 2 117, 3 229, 6 396, 6 521, 6 836
   Yemen,,887,C R, 5 782, 7 537, 8 783, 10 134, 11 672, 13 356, 15 025
 EUROPE,,908,, 347 005, 350 136, 349 427, 351 223, 354 615, 358 183, 361 061
