Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Child malnutrition,5.51.01.02.malnut,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667
Afghanistan,AFG,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,AFG,Gender equality,5.51.01.07.gender,0.33333,0.33333,0.66667,0.66667,0.66667,1,1,1,1,1,1,1,1,1,0.66667,0.66667,1
Afghanistan,AFG,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,AFG,Population census,3.11.01.01.popcen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Poverty survey,5.14.01.01.povsurv,0,0,0,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,AFG,UNESCO reporting,5.12.01.01.unesco,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Albania,ALB,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667
Albania,ALB,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Gender equality,5.51.01.07.gender,0.66667,0.66667,0.33333,0.33333,0,0,0,0,0,0,0,0,1,1,1,1,1
Albania,ALB,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
Algeria,DZA,Child malnutrition,5.51.01.02.malnut,1,1,1,1,1,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333
Algeria,DZA,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Gender equality,5.51.01.07.gender,0.66667,1,1,1,1,1,1,1,1,1,0.66667,0.66667,0.33333,0.33333,0,0,0
Algeria,DZA,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Poverty survey,5.14.01.01.povsurv,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,AGO,Child malnutrition,5.51.01.02.malnut,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667
Angola,AGO,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,AGO,Gender equality,5.51.01.07.gender,0.33333,0,0,0,0,0,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0,0,0
Angola,AGO,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,AGO,Population census,3.11.01.01.popcen,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Angola,AGO,Poverty survey,5.14.01.01.povsurv,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0,0,0,0,0,0,0,0.5
Angola,AGO,UNESCO reporting,5.12.01.01.unesco,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Antigua and Barbuda,ATG,Child malnutrition,5.51.01.02.malnut,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Child mortality,5.51.01.03.mortal,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,ATG,Gender equality,5.51.01.07.gender,..,0,0,0,0,0.33333,0.33333,0.66667,0.66667,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Antigua and Barbuda,ATG,Immunization,5.51.01.04.immun,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,ATG,Population census,3.11.01.01.popcen,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,ATG,Poverty survey,5.14.01.01.povsurv,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,UNESCO reporting,5.12.01.01.unesco,..,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1
Argentina,ARG,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0.33333
Argentina,ARG,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,ARG,Gender equality,5.51.01.07.gender,1,1,1,1,1,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,0.66667
Argentina,ARG,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,ARG,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,ARG,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,ARG,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,ARM,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Armenia,ARM,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,ARM,Gender equality,5.51.01.07.gender,0.33333,0.33333,0.66667,0.66667,1,1,1,1,1,0.66667,0.33333,0.33333,0,0.33333,0.66667,0.66667,0.66667
Armenia,ARM,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,ARM,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,ARM,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,ARM,UNESCO reporting,5.12.01.01.unesco,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Child malnutrition,5.51.01.02.malnut,0.66667,1,1,1,1,1,1,1,1,0.66667,0.33333,0.33333,0.66667,0.66667,1,1,0.66667
Azerbaijan,AZE,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Gender equality,5.51.01.07.gender,0,0,0,0,0,0.33333,0.33333,0.66667,0.66667,1,1,0.66667,1,0,0,0,0.33333
Azerbaijan,AZE,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,BGD,Child malnutrition,5.51.01.02.malnut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,BGD,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,BGD,Gender equality,5.51.01.07.gender,0,0,0,0,0,0,0,0,0,0,0.66667,0.66667,0.33333,0.66667,0,0,0.33333
Bangladesh,BGD,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,BGD,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,BGD,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1
