,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020,Emigracion_Promedio,Inmigracion_Promedio
206,   United States of America*,840,23251026,28451053,34814053,39258293,44183643,48178877,50632836,38395683.0,38395683.0
113,   Russian Federation,643,11524948,11928927,11900297,11667588,11194710,11643276,11636911,11642379.57142857,11642379.57142857
82,   India,356,7594801,6952238,6411331,5936740,5574018,5210847,4878704,6079811.285714285,6079811.285714285
115,   Ukraine*,804,6892920,6172338,5527087,5050302,4818767,4915142,4997387,5481991.857142857,5481991.857142857
86,   Pakistan,586,6208204,3669308,4181912,3174558,3943681,3506520,3276580,3994394.714285714,3994394.714285714
148,   Germany,276,5936181,7464406,8992631,9402447,9812263,10220418,15762457,9655829.0,9655829.0
147,   France*,250,5897267,6087993,6278718,6737600,7309986,7878338,8524876,6959254.0,6959254.0
100,   Saudi Arabia,682,4998445,5122702,5263387,6501819,8429956,10771366,13454842,7791788.142857143,7791788.142857143
203,   Canada,124,4333318,4864778,5511914,6078985,6761226,7428657,8049323,6146885.857142857,6146885.857142857
83,   Iran (Islamic Republic of),364,4291601,2937668,2476469,2552206,2722397,2729939,2797235,2929645.0,2929645.0
207,   Australia*,36,3955213,4153330,4386250,4878030,5882980,6729730,7685860,5381627.571428572,5381627.571428572
128,   United Kingdom*,826,3650286,4155293,4730165,5926156,7119664,8406996,9359587,6192592.428571428,6192592.428571428
56,   Kazakhstan,398,3619200,3251968,2874194,3103027,3334937,3546060,3732073,3351637.0,3351637.0
62,"   China, Hong Kong SAR*",344,2218473,2443798,2669122,2721235,2779950,2841113,2962492,2662311.8571428573,2662311.8571428573
42,   Côte d'Ivoire,384,1816426,2076394,2163644,2265090,2366537,2470613,2564857,2246223.0,2246223.0
60,   Uzbekistan,860,1653000,1512577,1406498,1329932,1220149,1170873,1162007,1350719.4285714286,1350719.4285714286
