"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
world,900,77563467,81581501,87719833,97663081,113940881,128238058,145655844
subsaharan africa,947,8136844,8677806,8246575,9227058,10531120,12578348,14732802
northern africa and western asia,1833,8830013,9829261,10736407,12097241,14249463,18177303,20941050
central and southern asia,921,17054672,16042463,17179372,18895884,24444167,27971106,31211577
eastern and southeastern asia,1832,7414751,8861759,10500432,12487051,15130964,17150433,18801912
latin america and the caribbean,1830,7544689,9726163,12182539,14495367,16857618,17582139,20697275
oceania excluding australia and new zealand,1835,133623,152358,183319,198892,214866,240815,273803
australia and new zealand,927,335351,366709,421127,481926,573939,622696,693842
europe and northern america,1829,23704534,24148758,24676104,25682798,27337252,28229706,31770385
developed regions,901,24338984,24834922,25438034,26505508,28263791,29203683,32827157
less developed regions,902,48815493,52970355,58687841,67060709,81075598,93348863,106295489
less developed regions excluding least developed countries,934,32572508,37664396,43328634,50504229,61260381,70333340,79492160
less developed regions excluding china,948,46303670,50066462,55378675,63084782,76484858,88028326,100946274
least developed countries,941,16242985,15305959,15359207,16556480,19815217,23015523,26803329
landlocked developing countries lldc,1636,12878639,12222604,11981487,12609177,14227283,16089640,18147434
small island developing states sids,1637,2605273,3085104,3608507,3940542,4285399,4903522,5417850
highincome countries,1503,16390698,17139953,18150941,19612464,21784350,22710503,25556460
middleincome countries,1517,45289740,50350945,56045764,63532741,75477248,82602967,92895832
uppermiddleincome countries,1502,22500336,25869947,29121527,32157068,36086584,37485261,42001984
lowermiddleincome countries,1501,22789404,24480998,26924237,31375673,39390664,45117706,50893848
lowincome countries,1500,11348393,10185505,9794758,10305271,11939008,17088744,20512220
africa,903,11215846,12073478,11985328,13778387,15998855,18809167,21729832
eastern africa,910,4056986,4002246,3167304,3320996,3932812,5021946,6136440
burundi,108,173892,277424,388445,386645,143736,227726,274913
comoros,174,22060,27869,36958,49839,54190,59176,73002
djibouti,262,2890,3904,5201,6293,7178,8659,9293
eritrea,232,89618,197413,255453,153062,172456,326403,422881
ethiopia,231,856294,413014,239365,284011,369043,451972,510262
kenya,404,123044,135350,154208,173569,213979,227217,252759
madagascar,450,25591,28611,32318,64403,64593,68219,74976
malawi,454,84442,88872,110217,129386,151191,172322,185426
mauritius,480,51464,51947,53306,59779,67567,74559,82790
mayotte,175,986,1948,2976,3137,3113,3199,3305
mozambique,508,1202046,485263,391190,410270,512836,348100,385940
runion,638,1571,1257,1057,1068,1083,1087,1189
rwanda,646,276832,1021474,157926,142456,161713,247155,241187
seychelles,690,17221,13271,8747,10171,11169,11783,12624
somalia,706,448851,507818,517690,568870,839805,1040985,1064786
south sudan,728,266794,233701,190326,124611,209902,543822,1271104
uganda,800,157865,177878,254464,291881,349440,375951,372735
"tanzania, united republic of",834,107172,119442,108653,118644,131509,145322,162475
zambia,894,42598,67736,77129,86976,86152,86165,93621
zimbabwe,716,105755,148054,181675,255925,382157,602124,641172
middle africa,911,958727,933704,1224847,1386182,1495622,1910761,2223566
angola,24,405465,344763,457876,353459,322362,305926,334386
cameroon,120,60058,71875,85099,110699,136330,171870,219379
central african republic,140,24202,25035,27493,61515,120235,348076,409486
chad,148,168101,112966,107494,113818,112308,104493,119894
democratic republic of the congo,178,51515,60811,70562,86625,91205,102286,113453
democratic republic of the congo,180,217210,278309,426558,591870,640699,778269,916179
equatorial guinea,226,17708,22471,28899,33811,40109,62959,68753
gabon,266,7732,8323,8985,20471,18065,20636,23205
sao tome and principe,678,6736,9151,11881,13914,14309,16246,18831
northern africa,912,3079002,3395672,3738753,4551329,5467735,6230819,6997030
algeria,12,521302,550210,580303,835802,913853,985595,1085651
egypt,818,822788,950652,1105517,1184398,1747685,2041623,2341886
libya,434,40081,40775,42647,53242,67086,81637,101126
morocco,504,984599,1040375,1134308,1367790,1580278,1575252,1707428
sudan,729,336126,439826,502757,708617,707467,1013988,1155684
tunisia,788,281451,281972,282149,329476,361434,434592,502404
western sahara,732,92655,91862,91072,72004,89932,98132,102851
southern africa,913,350233,333229,373117,456787,610233,545606,628886
botswana,72,19233,15684,16140,19815,26110,32477,39730
eswatini,748,25589,19847,19127,24643,37802,22566,24339
lesotho,426,145910,94102,67211,85462,129955,86078,89567
namibia,516,9360,14974,24829,32195,48854,25042,23612
south africa,710,150141,188622,245810,294672,367512,379443,451638
western africa,914,2770898,3408627,3481307,4063093,4492453,5100035,5743910
benin,204,127252,148769,174755,280680,298194,341137,365338
burkina faso,854,573295,681370,715933,757585,801969,848841,894339
cabo verde,132,42681,50377,59328,66615,70174,76690,85032
cte divoire,384,185629,228580,271361,361279,463697,520911,571219
gambia,270,20808,22147,26237,36960,47865,60472,93414
ghana,288,187375,215795,251580,355105,404723,466166,529432
guinea,324,201530,207743,211832,228829,256473,273042,312062
guineabissau,624,27429,34138,42477,45328,49210,51546,60632
liberia,430,260639,267590,123295,174000,109053,102946,116235
mali,466,360541,451780,430246,504937,563350,696316,742057
mauritania,478,75167,85261,65705,63798,71784,71355,80059
niger,562,94786,111377,126966,183773,201800,221615,236316
nigeria,566,255357,302154,352560,440569,535088,682707,877687
saint helena,654,386,887,1468,1319,1510,1731,1981
senegal,686,230817,221538,241858,286672,344435,368123,430442
sierra leone,694,31967,230241,254796,76684,62967,69275,76143
togo,768,95239,148880,130910,198960,210161,247162,271522
asia,935,30220434,31337811,34677458,38928847,48356859,57068023,63957509
central asia,5500,2757747,2978669,3122316,3372771,3558067,3640447,3807379
kazakhstan,398,1427481,1557194,1652929,1736321,1778295,1810038,1934708
kyrgyzstan,417,252637,266043,273034,315925,352824,358754,368266
tajikistan,762,264425,289709,299119,327743,336574,334196,337393
