"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
world,900,77563467,81581501,87719833,97663081,113940881,128238058,145655844
subsaharan africa,947,7048417,7514093,6939992,7657166,8388044,10866306,11651019
northern africa and western asia,1833,10137138,11047709,12060066,14298543,21159635,27119963,31936084
central and southern asia,921,13255517,10643146,10125866,9395177,9817100,9603861,9727936
eastern and southeastern asia,1832,3507907,4190876,5165913,6436048,7866153,9100814,9920938
latin america and the caribbean,1830,3582217,3335229,3266229,3572498,4139431,4738649,7473421
oceania excluding australia and new zealand,1835,144238,153072,156788,161215,158458,160348,165505
australia and new zealand,927,2271419,2382510,2519827,2826880,3381077,3846117,4480351
europe and northern america,1829,37616614,42314866,47485152,53315554,59030983,62802000,70300590
developed regions,901,40426798,45377588,50801907,57073632,63384541,67698187,76128097
less developed regions,902,37136669,36203913,36917926,40589449,50556340,60539871,69527747
less developed regions excluding least developed countries,934,31586436,30379836,31883994,35617824,45371137,53851671,61492223
less developed regions excluding china,948,35723792,34702148,35328824,38894021,48756636,58644164,67594504
least developed countries,941,5550233,5824077,5033932,4971625,5185203,6688200,8035524
landlocked developing countries lldc,1636,6634173,5711793,5322930,5433861,5547431,6703619,7264069
small island developing states sids,1637,1215163,1416442,1643712,1982037,2421217,2747999,3006821
highincome countries,1503,39262814,44979406,51813707,61090224,74310524,82642592,95328366
middleincome countries,1517,33533975,31900162,32013691,32742245,34997886,40203291,44012113
uppermiddleincome countries,1502,17724673,17685130,18115349,19479700,21633758,26585049,29870387
lowermiddleincome countries,1501,15809302,14215032,13898342,13262545,13364128,13618242,14141726
lowincome countries,1500,4626030,4534923,3695811,3612390,4397440,5146388,6046398
africa,903,8279127,8619901,7996691,8703290,9543626,12139998,13439073
eastern africa,910,3069356,2563827,2483905,2548491,2405918,3377343,3846978
burundi,108,163267,124165,61094,94413,121762,146970,170125
comoros,174,6717,6614,6511,6286,6060,6071,6044
djibouti,262,64242,52476,52920,51331,53669,59081,62863
eritrea,232,6228,6542,6856,8603,8679,8833,7815
ethiopia,231,607284,424117,322219,269834,298069,591409,536807
kenya,404,161259,322189,352933,400364,473093,562909,529975
madagascar,450,13348,11901,13276,14744,16410,18270,20262
malawi,454,546520,116198,111530,105931,103869,93689,93612
mauritius,480,1763,3228,5705,8943,13188,15832,16003
mayotte,175,8780,14679,23546,31364,34500,37657,51609
mozambique,508,66060,91210,103175,130290,148105,155510,165490
runion,638,30724,40710,52264,59196,62707,64537,66852
rwanda,646,80763,109783,175741,213279,214048,256327,259907
seychelles,690,2204,3021,3837,5820,7804,8954,9136
somalia,706,244201,10282,10628,11098,25213,21584,32285
