,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
0,world,900,75422690,79708475,85510752,93783747,107042306,119720586,134942261
1,  sub-saharan africa,947,7197963,7811167,7391439,8047927,9411604,11618863,13551736
2,  northern africa and western asia,1833,7535205,8240176,8700647,9770550,11064248,14428744,16622770
3,  central and southern asia,921,14049348,13027520,13718322,14451806,16638221,18510024,20017972
4,  eastern and south-eastern asia,1832,7359668,8999164,10940422,13069932,15846242,18055157,19598828
5,  latin america and the caribbean,1830,7728710,9943541,12446161,14842839,17780032,18623861,22193206
6,  oceania (excluding australia and new zealand),1835,138894,160703,191857,208246,227037,254405,291478
7,  australia and new zealand,927,353679,391525,450533,502354,575326,633506,711082
8,  europe and northern america,1829,26827879,27433406,28201599,29166292,31343852,32362696,35831236
9,  developed regions,901,27487262,28158769,29020262,30046328,32323370,33409329,36988213
10,  less developed regions,902,43704084,47848433,53020718,60013618,70563192,81077927,91830095
11," less developed regions, excluding least developed countries",934,30123697,35037054,40317436,46620199,54880710,62610770,71028827
12," less developed regions, excluding china",948,41348697,45014671,49664535,55791667,65453615,75067062,85565160
13,  least developed countries,941,13580387,12811379,12703282,13393419,15682482,18467157,20801268
14,  land-locked developing countries (lldc),1636,12207376,11652173,11152992,11678885,13513622,15246649,17130334
15,  small island developing states (sids),1637,2847230,3487257,4185315,4560774,5115756,5563640,6141558
16,  high-income countries,1503,17618279,18538014,19873544,21269750,23864846,24646216,27251559
17,  middle-income countries,1517,43669259,48578813,53834190,60379938,69104651,75378997,84500002
18, upper-middle-income countries,1502,23751382,27189324,30464291,33578173,38088831,40090879,45646534
19, lower-middle-income countries,1501,19917877,21389489,23369899,26801765,31015820,35288118,38853468
20,  low-income countries,1500,9794055,8773978,8208137,8300352,9779608,14311203,16907452
21, africa,903,9405618,10267916,10094675,11463019,13194997,16302792,18837331
22,  eastern africa,910,3727757,3732528,2912688,2871751,3591380,4802344,5890849
23,   burundi,108,163208,263134,370228,233271,140342,232253,276192
24,   comoros,174,18019,23421,33544,46304,54935,62573,77821
25,   djibouti,262,2418,3060,3854,5694,6619,8310,9072
26,   eritrea,232,80985,177844,256053,146249,155910,298354,379941
27,   ethiopia,231,833647,403406,206521,240027,311247,390524,435867
28,   kenya,404,127288,142297,163226,188462,228653,253430,282589
29,   madagascar,450,33824,38713,44771,84402,96226,107649,118550
30,   malawi,454,58994,61953,76012,92637,109340,125149,125626
31,   mauritius*,480,59243,62126,65697,70870,80619,91310,100183
32,   mayotte*,175,849,1989,3238,3331,3229,3346,3462
33,   mozambique,508,1020308,327422,253231,252681,284972,248849,254220
34,   réunion*,638,1516,1366,1303,1488,1666,1820,1875
35,   rwanda,646,270885,1038889,160272,146644,172531,256512,251302
36,   seychelles,690,18412,14527,10497,13316,14763,15700,16634
37,   somalia,706,399204,461138,488438,492083,755523,967505,969435
38,   south sudan,728,248149,204343,152302,103926,192714,516856,1304766
39,   uganda,800,153726,184091,263312,294721,382328,410278,408705
40,   united republic of tanzania*,834,95871,109709,106807,116274,130663,148780,165388
41,   zambia,894,42603,73159,83072,94523,96614,98206,107079
42,   zimbabwe,716,98608,139941,170310,244848,372486,564940,602142
43,  middle africa,911,963516,923898,1214513,1340374,1511921,1906229,2197096
44,   angola,24,419421,343818,455330,363307,329021,312362,333680
45,   cameroon,120,55777,67061,79197,110533,142568,177104,221636
46,   central african republic,140,22152,24170,27923,69895,125698,338148,407182
47,   chad,148,168697,110130,98558,96843,90115,86776,102409
48,   congo,178,44855,54866,64673,85985,86906,102543,110314
49,   democratic republic of the congo,180,219303,281515,435481,539002,657845,793953,915890
50,   equatorial guinea,226,18467,23941,31031,37978,44281,53988,60021
51,   gabon,266,7615,8287,9056,20886,18868,22439,25187
52,   sao tome and principe,678,7229,10110,13264,15945,16619,18916,20777
53,  northern africa,912,2207655,2456749,2703236,3415092,3783393,4683929,5285595
54,   algeria,12,400363,429431,457682,763845,741411,850907,936686
55,   egypt,818,499127,541352,602779,623543,838958,1109446,1268575
56,   libya,434,36158,36623,37367,47006,60313,70907,84392
57,   morocco,504,763517,843549,942702,1102866,1280424,1396518,1554794
58,   sudan,729,248809,335549,382903,569015,527726,828614,949203
59,   tunisia,788,184098,194961,204815,249533,254298,339784,399864
60,   western sahara,732,75583,75284,74988,59284,80263,87753,92081
61,  southern africa,913,226519,271227,359195,447827,589580,584345,649549
62,   botswana,72,6815,7631,10543,13466,18139,22817,23831
63,   eswatini,748,9590,10493,14989,20218,31228,23670,25700
64,   lesotho,426,45418,42491,53354,73609,113173,105379,112597
65,   namibia,516,6717,13246,24519,33403,50745,25368,24158
66,   south africa,710,157979,197366,255790,307131,376295,407111,463263
67,  western africa,914,2280171,2883514,2905043,3387975,3718723,4325945,4814242
68,   benin,204,107062,126927,153291,223485,242958,293786,316489
69,   burkina faso,854,448036,534295,563481,594707,632559,669727,705008
70,   cabo verde,132,48682,56577,65495,75369,82689,94739,102526
71,   côte d'ivoire,384,180707,220918,267873,370683,476098,535469,578079
72,   gambia,270,15472,16237,19190,24249,29575,36491,45796
73,   ghana,288,183782,212256,244307,310626,357279,426087,474892
74,   guinea,324,151233,158119,165187,175848,199393,220369,238728
75,   guinea-bissau,624,27977,33011,35187,37518,42336,46605,51158
76,   liberia,430,256239,274705,125117,180792,110086,102795,117329
77,   mali,466,286885,368784,342620,390423,431482,532228,561454
78,   mauritania,478,59311,66449,41902,39309,42408,43275,50167
79,   niger,562,54991,65690,78270,120313,134097,153378,163391
80,   nigeria,566,191396,222381,257570,376823,461826,623819,792768
81,   saint helena*,654,498,1320,2247,1949,2097,2554,2904
82,   senegal,686,139426,137523,152750,183836,203060,226384,263323
83,   sierra leone,694,29886,227586,254302,75202,63763,70021,76343
84,   togo,768,98588,160736,136254,206843,207017,248218,273887
85, asia,935,26736566,27810111,30656155,33877196,39765318,46309996,50953975
86,  central asia,5500,2962145,3181190,3340029,3546128,3674228,3787585,4028125
87,   kazakhstan,398,1544153,1737963,1901555,1981328,2019232,2075538,2269191
88,   kyrgyzstan,417,269937,283979,293281,336927,373720,384087,406111
89,   tajikistan,762,273274,265717,242064,258492,248073,250864,249458
90,   turkmenistan,795,132576,124005,114399,119314,122020,124705,126958
91,   uzbekistan,860,742205,769526,788730,850067,911183,952391,976407
92,  eastern asia,906,3460551,4058047,4734150,5669339,6744241,7597021,7921840
93,   china*,156,2034060,2475118,2960175,3790167,4619937,5471638,5692658
94,"   china, hong kong sar*",344,278229,313702,348685,375305,422934,466294,491682
95,"   china, macao sar*",446,43098,44942,47323,56479,66706,72933,80595
96,"   china, taiwan province of china*",158,0,0,0,0,0,0,0
97,   dem. people's republic of korea,408,20327,27317,36364,42684,46185,48968,52215
98,   japan,392,305704,333838,368130,377682,404192,413127,445895
99,   mongolia,496,12704,14822,16778,22597,30012,34486,42732
100,   republic of korea,410,766429,848308,956695,1004425,1154275,1089575,1116063
101,  south-eastern asia,920,3899117,4941117,6206272,7400593,9102001,10458136,11676988
102,   brunei darussalam,96,10718,14017,18056,18728,18493,19110,19515
103,   cambodia,116,180679,212335,235827,354758,502674,568854,591815
104,   indonesia,360,674001,833946,1070801,1237063,1512421,1792864,2040599
105,   lao people's democratic republic,418,245696,277571,331723,475543,645062,695948,724859
106,   malaysia*,458,285001,460043,661487,748004,859699,964873,1054880
107,   myanmar,104,309200,416837,567639,776146,1099361,1249066,1387852
108,   philippines,608,1185865,1440029,1755056,2075491,2542981,2965163,3289340
