"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
world,900,5327231,5744213,6143494,6541907,6956824,7379797,7794799
subsaharan africa,947,490605,560759,639661,729733,836364,958577,1094366
northern africa and western asia,1833,288060,323178,355882,391986,435367,481520,525869
central and southern asia,921,1239984,1376200,1511915,1647074,1775361,1896327,2014709
eastern and southeastern asia,1832,1837799,1950220,2044789,2125348,2201807,2279490,2346709
latin america and the caribbean,1830,442840,483018,521836,557501,591352,623934,653962
oceania excluding australia and new zealand,1835,6940,7722,8575,9376,10348,11312,12356
australia and new zealand,927,20359,21668,22850,24314,26525,28547,30322
europe and northern america,1829,1000644,1021448,1037985,1056575,1079700,1100090,1116506
developed regions,901,1145508,1169481,1188359,1209215,1234768,1256622,1273304
less developed regions,902,4181723,4574731,4955134,5332692,5722056,6123175,6521494
less developed regions excluding least developed countries,934,3675448,3995050,4297919,4588501,4885441,5182043,5464056
less developed regions excluding china,948,2978289,3305985,3635583,3971957,4322553,4684981,5050208
least developed countries,941,506276,579682,657216,744191,836615,941131,1057438
landlocked developing countries lldc,1636,265852,298698,333947,374685,420661,473817,533143
small island developing states sids,1637,49771,53769,57577,61002,65206,68810,72028
highincome countries,1503,1030391,1065242,1098780,1135351,1177929,1212054,1238417
middleincome countries,1517,3991574,4326140,4640682,4941374,5244984,5561737,5867349
uppermiddleincome countries,1502,2225369,2365034,2483516,2589938,2695485,2811079,2913154
lowermiddleincome countries,1501,1766204,1961106,2157165,2351435,2549498,2750658,2954195
lowincome countries,1500,303390,350774,401768,462680,531260,603234,686089
africa,903,630350,717270,810984,916154,1039304,1182439,1340598
eastern africa,910,197168,223934,257353,295185,339318,389671,445406
burundi,108,5439,5987,6379,7365,8676,10160,11891
comoros,174,412,475,542,612,690,777,870
djibouti,262,590,630,718,783,840,914,988
eritrea,232,2259,2204,2292,2827,3170,3343,3546
ethiopia,231,47888,57048,66225,76346,87640,100835,114964
kenya,404,23725,27768,31965,36625,42031,47878,53771
madagascar,450,11599,13475,15767,18337,21152,24234,27691
malawi,454,9404,9844,11149,12626,14540,16745,19130
mauritius,480,1056,1129,1185,1222,1248,1259,1272
mayotte,175,95,123,150,178,209,240,273
mozambique,508,12987,15483,17712,20494,23532,27042,31255
runion,638,611,674,737,792,831,863,895
rwanda,646,7289,5836,7934,8840,10039,11369,12952
seychelles,690,71,77,81,89,91,95,98
somalia,706,7225,7492,8872,10447,12044,13797,15893
south sudan,728,5493,5118,6199,7536,9508,10716,11194
uganda,800,17354,20413,23650,27685,32428,38225,45741
united republic of tanzania,834,25204,29649,33499,38450,44347,51483,59734
zambia,894,8037,9097,10416,11856,13606,15879,18384
zimbabwe,716,10432,11411,11881,12077,12698,13815,14863
middle africa,911,70855,83775,96116,112008,131622,154203,179595
angola,24,11848,13945,16395,19434,23356,27884,32866
cameroon,120,11780,13600,15514,17733,20341,23298,26546
central african republic,140,2807,3223,3640,4038,4387,4493,4830
chad,148,5963,7010,8356,10097,11952,14111,16426
democratic republic of the congo,178,2357,2708,3127,3623,4274,4856,5518
democratic republic of the congo,180,34612,41576,47106,54786,64564,76245,89561
equatorial guinea,226,419,497,606,750,944,1169,1403
gabon,266,949,1085,1228,1391,1624,1948,2226
sao tome and principe,678,119,132,142,157,180,199,219
northern africa,912,139745,156511,171323,186421,202940,223862,246233
algeria,12,25759,28758,31042,33150,35977,39728,43851
egypt,818,56134,62334,68832,75524,82761,92443,102334
libya,434,4437,4949,5358,5799,6198,6418,6871
morocco,504,24807,26994,28794,30456,32343,34664,36911
sudan,729,20148,24095,27275,30950,34545,38903,43849
tunisia,788,8243,9125,9708,10107,10635,11180,11819
western sahara,732,217,256,314,438,480,526,597
southern africa,913,42046,47358,51444,54645,58383,62985,67504
botswana,72,1287,1469,1643,1799,1987,2121,2352
eswatini,748,822,927,1005,1031,1065,1104,1160
lesotho,426,1704,1899,2033,1996,1996,2059,2142
namibia,516,1433,1628,1795,1938,2119,2315,2541
south africa,710,36801,41436,44968,47881,51217,55386,59309
western africa,914,180535,205692,234749,267895,307040,351718,401861
benin,204,4978,5906,6866,7982,9199,10576,12123
burkina faso,854,8811,10090,11608,13422,15605,18111,20903
cabo verde,132,338,386,428,463,493,525,556
cote divoire,384,11925,14200,16455,18355,20533,23226,26378
gambia,270,956,1129,1318,1544,1793,2086,2417
ghana,288,14773,17014,19279,21815,24780,27849,31073
guinea,324,6352,7270,8241,9110,10192,11432,13133
guineabissau,624,975,1089,1201,1345,1523,1737,1968
liberia,430,2076,2045,2848,3218,3891,4472,5058
mali,466,8450,9586,10946,12776,15049,17439,20251
mauritania,478,2034,2314,2630,3024,3494,4046,4650
niger,562,8027,9490,11332,13624,16464,20002,24207
nigeria,566,95212,107948,122284,138865,158503,181137,206140
saint helena,654,7,6,6,5,5,6,6
senegal,686,7526,8690,9798,11090,12678,14578,16744
sierra leone,694,4320,4304,4585,5646,6416,7172,7977
togo,768,3774,4226,4924,5612,6422,7323,8279
asia,935,3226099,3493087,3741263,3977986,4209594,4433475,4641055
central asia,5500,50123,53169,55346,58450,62805,68480,74339
kazakhstan,398,16384,15839,14923,15403,16252,17572,18777
kyrgyzstan,417,4373,4566,4921,5075,5422,5959,6524
tajikistan,762,5284,5765,6216,6789,7527,8454,9538
turkmenistan,795,3684,4208,4516,4755,5087,5565,6031
uzbekistan,860,20398,22791,24770,26428,28516,30930,33469
eastern asia,906,1393335,1464565,1519781,1564192,1604859,1645184,1678090
china,156,1176884,1240921,1290551,1330776,1368811,1406848,1439324
china hong kong sar,344,5728,6084,6606,6770,6966,7186,7497
china macao sar,446,344,386,428,483,538,602,649
china taiwan province of china,158,20479,21356,21967,22706,23188,23557,23817
dem peoples republic of korea,408,20293,21862,22929,23904,24549,25184,25779
japan,392,124505,126365,127524,128326,128542,127985,126476
mongolia,496,2184,2298,2397,2526,2720,2998,3278
republic of korea,410,42918,45293,47379,48701,49546,50823,51269
southeastern asia,920,444464,485655,525008,561156,596947,634306,668620
brunei darussalam,96,259,297,333,365,389,415,437
cambodia,116,8976,10656,12155,13273,14312,15521,16719
indonesia,360,181413,196934,211514,226289,241834,258383,273524
lao peoples democratic republic,418,4258,4846,5324,5752,6249,6741,7276
malaysia,458,18030,20488,23194,25691,28208,30271,32366
myanmar,104,41335,43902,46720,48950,50601,52681,54410
philippines,608,61895,69784,77992,86326,93967,102113,109581
singapore,702,3013,3526,4029,4266,5131,5592,5850
thailand,764,56558,59467,62953,65416,67195,68715,69800
timorleste,626,738,844,884,995,1094,1196,1318
viet nam,704,67989,74910,79910,83833,87968,92677,97339
southern asia,5501,1189861,1323030,1456569,1588624,1712555,1827847,1940370
afghanistan,4,12412,18111,20780,25654,29186,34414,38928
bangladesh,50,103172,115170,127658,139036,147575,156256,164689
bhutan,64,531,535,591,649,686,728,772
india,356,873278,963923,1056576,1147610,1234281,1310152,1380004
iran islamic republic of,364,56366,61443,65623,69762,73763,78492,83993
maldives,462,223,254,279,320,366,455,541
nepal,524,18905,21576,23941,25745,27013,27015,29137
pakistan,586,107648,123777,142344,160304,179425,199427,220892
sri lanka,144,17326,18243,18778,19545,20262,20908,21413
western asia,922,148316,166667,184559,205564,232427,257658,279637
armenia,51,3538,3217,3070,2981,2877,2926,2963
azerbaijan,31,7243,7775,8123,8539,9032,9623,10139
bahrain,48,496,564,665,889,1241,1372,1702
cyprus,196,767,855,943,1028,1113,1161,1207
georgia,268,5410,4976,4362,4210,4099,4024,3989
iraq,368,17419,20149,23498,26922,29742,35572,40223
israel,376,4448,5271,5946,6529,7346,7978,8656
jordan,400,3566,4589,5122,5766,7262,9267,10203
kuwait,414,2095,1606,2045,2270,2992,3836,4271
lebanon,422,2803,3528,3843,4699,4953,6533,6825
oman,512,1812,2204,2268,2511,3041,4267,5107
qatar,634,476,513,592,865,1856,2566,2881
saudi arabia,682,16234,18639,20664,23816,27421,31718,34814
state of palestine,275,2101,2619,3224,3578,4056,4529,5101
syrian arab republic,760,12446,14345,16411,18361,21363,17997,17501
turkey,792,53922,58486,63240,67903,72327,78529,84339
united arab emirates,784,1828,2415,3134,4588,8550,9263,9890
yemen,887,11710,14913,17409,20107,23155,26498,29826
europe,908,720858,726994,725558,729288,736413,743059,747636
eastern europe,923,309809,309435,303918,297501,294873,294391,293013
belarus,112,10151,10078,9872,9562,9421,9439,9449
bulgaria,100,8841,8379,7998,7687,7425,7200,6948
czechia,203,10341,10358,10289,10258,10537,10601,10709
hungary,348,10377,10349,10221,10086,9927,9778,9660
poland,616,37960,38459,38557,38369,38330,38034,37847
republic of moldova,498,4366,4341,4203,4159,4086,4071,4034
romania,642,23489,22965,22137,21417,20472,19925,19238
russian federation,643,147532,148227,146405,143672,143479,144985,145934
slovakia,703,5288,5375,5399,5399,5404,5436,5460
ukraine,804,51463,50904,48838,46891,45792,44922,43734
northern europe,924,92036,93177,94454,96307,100398,103519,106261
channel islands,830,141,143,148,152,160,165,174
denmark,208,5141,5233,5341,5422,5555,5689,5792
estonia,233,1565,1433,1399,1356,1332,1315,1327
faroe islands,234,47,46,47,48,48,48,49
finland,246,4996,5119,5188,5259,5366,5481,5541
iceland,352,255,268,280,295,320,330,341
ireland,372,3511,3592,3783,4141,4554,4652,4938
isle of man,833,70,72,77,80,85,83,85
latvia,428,2664,2508,2384,2252,2119,1998,1886
lithuania,440,3696,3627,3502,3344,3124,2932,2722
norway,578,4247,4367,4499,4632,4886,5200,5421
sweden,752,8567,8836,8882,9039,9390,9765,10099
united kingdom,826,57134,57932,58923,60288,63460,65860,67886
southern europe,925,143504,144332,144847,149676,153016,153065,152215
albania,8,3286,3113,3129,3087,2948,2891,2878
andorra,20,55,64,65,79,84,78,77
bosnia and herzegovina,70,4463,3829,3751,3765,3705,3429,3281
croatia,191,4776,4617,4428,4378,4328,4233,4105
gibraltar,292,29,29,31,33,34,34,34
greece,300,10226,10746,11082,11225,10888,10660,10423
holy see,336,1,1,1,1,1,1,1
italy,380,57048,57174,56692,58281,59325,60578,60462
malta,470,362,377,394,405,414,434,442
montenegro,499,615,620,614,616,624,627,628
north macedonia,807,1996,1983,2035,2060,2071,2079,2083
portugal,620,9895,10091,10297,10508,10596,10368,10197
san marino,674,24,26,27,29,31,33,34
serbia,688,9518,9884,9488,9194,8991,8877,8737
slovenia,705,2006,1991,1988,1995,2043,2071,2079
spain,724,39203,39787,40825,44019,46931,46672,46755
western europe,926,175510,180050,182339,185804,188126,192084,196146
austria,40,7724,7990,8069,8254,8410,8679,9006
belgium,56,10007,10186,10282,10547,10939,11288,11590
france,250,56667,57802,59015,61120,62880,64453,65274
germany,276,79054,81139,81401,81603,80827,81787,83784
liechtenstein,438,29,31,33,35,36,37,38
luxembourg,442,382,408,436,458,508,567,626
monaco,492,29,31,32,34,36,38,39
netherlands,528,14965,15468,15926,16367,16683,16938,17135
switzerland,756,6653,6996,7144,7387,7809,8297,8655
latin america and the caribbean,904,442840,483018,521836,557501,591352,623934,653962
caribbean,915,34058,36162,38102,39746,41217,42622,43532
anguilla,660,9,10,11,12,13,14,15
antigua and barbuda,28,63,69,76,81,88,94,98
aruba,533,62,80,91,100,102,104,107
bahamas,44,256,280,298,325,355,374,393
barbados,52,261,266,272,276,282,285,287
bonaire sint eustatius and saba,535,13,15,14,14,21,25,26
british virgin islands,92,17,19,20,23,28,29,30
cayman islands,136,25,32,42,49,57,62,66
cuba,192,10597,10888,11126,11262,11226,11325,11327
curaao,531,147,144,132,130,149,160,164
dominica,212,70,71,70,71,71,71,72
dominican republic,214,7133,7819,8471,9097,9695,10282,10848
grenada,308,96,100,103,105,106,110,113
guadeloupe,312,389,404,422,403,406,400,400
haiti,332,7038,7745,8464,9195,9949,10696,11403
jamaica,388,2420,2534,2655,2740,2810,2891,2961
martinique,474,358,369,387,397,395,378,375
montserrat,500,11,10,5,5,5,5,5
puerto rico,630,3403,3568,3669,3632,3580,3382,2861
saint barthlemy,652,5,6,7,9,9,10,10
saint kitts and nevis,659,40,42,44,47,49,51,53
saint lucia,662,138,147,157,163,174,179,184
saint martin french part,663,32,27,29,34,38,36,39
saint vincent and the grenadines,670,107,108,108,109,108,109,111
sint maarten dutch part,534,29,31,33,33,34,40,43
trinidad and tobago,780,1221,1254,1267,1296,1328,1370,1399
turks and caicos islands,796,12,16,20,28,33,36,39
united states virgin islands,850,104,107,109,108,106,105,104
central america,916,113384,124554,135322,145951,157591,168949,179670
belize,84,188,207,247,284,322,361,398
costa rica,188,3119,3546,3962,4286,4577,4848,5094
el salvador,222,5270,5629,5888,6052,6184,6325,6486
guatemala,320,9264,10408,11651,13096,14630,16252,17916
honduras,340,4955,5709,6575,7459,8317,9113,9905
mexico,484,83943,91663,98900,106005,114093,121858,128933
nicaragua,558,4173,4652,5069,5439,5824,6223,6625
panama,591,2471,2740,3030,3330,3643,3968,4315
south america,931,295398,322302,348412,371805,392544,412363,430760
argentina,32,32619,34828,36871,38893,40896,43075,45196
bolivia plurinational state of,68,6865,7622,8418,9232,10049,10870,11673
brazil,76,149003,162020,174790,186127,195714,204472,212559
chile,152,13275,14381,15342,16183,17063,17969,19116
colombia,170,33103,36421,39630,42648,45223,47521,50883
ecuador,218,10231,11455,12681,13826,15011,16212,17643
falkland islands malvinas,238,2,3,3,3,3,3,3
french guiana,254,116,137,163,203,233,261,299
guyana,328,743,761,747,746,749,767,787
paraguay,600,4223,4777,5323,5824,6248,6689,7133
peru,604,22071,24299,26460,27866,29028,30471,32972
suriname,740,405,442,471,499,529,559,587
uruguay,858,3110,3224,3320,3322,3359,3412,3474
venezuela bolivarian republic of,862,19633,21931,24192,26432,28440,30082,28436
northern america,905,279785,294454,312427,327287,343287,357031,368870
bermuda,60,62,63,65,66,65,64,62
canada,124,27541,29164,30588,32164,34148,36027,37742
greenland,304,56,56,56,57,57,56,57
saint pierre and miquelon,666,6,6,6,6,6,6,6
united states of america,840,252120,265164,281711,294994,309011,320878,331003
oceania,909,27299,29390,31425,33690,36873,39859,42678
australia and new zealand,927,20359,21668,22850,24314,26525,28547,30322
