"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
world,900,2680895,2892142,3093434,3296485,3507704,3720696,3929974
subsaharan africa,947,244051,278800,318001,362946,416386,477837,546156
northern africa and western asia,1833,145659,163624,179942,199133,222727,246800,270179
central and southern asia,921,640532,711481,781527,851430,916462,977497,1037598
eastern and southeastern asia,1832,933103,989642,1037057,1078363,1117990,1156649,1189407
latin america and the caribbean,1830,219608,238982,257773,274945,291416,307137,321629
oceania excluding australia and new zealand,1835,3541,3934,4362,4770,5264,5760,6295
australia and new zealand,927,10128,10762,11368,12096,13225,14194,15069
europe and northern america,1829,484274,494916,503406,512802,524233,534822,543641
developed regions,901,555759,567868,577398,587784,600332,611553,620463
less developed regions,902,2125137,2324274,2516036,2708701,2907371,3109143,3309511
less developed regions excluding least developed countries,934,1872569,2034700,2188232,2337588,2490940,2641219,2783494
less developed regions excluding china,948,1507663,1673436,1839235,2010240,2188768,2371247,2555677
least developed countries,941,252568,289574,327804,371114,416432,467924,526016
landlocked developing countries lldc,1636,131642,148354,165593,185930,208698,234664,264412
small island developing states sids,1637,24858,26853,28747,30480,32734,34588,36304
highincome countries,1503,507042,524650,541460,560854,584201,602334,616907
middleincome countries,1517,2022710,2192391,2351430,2504310,2658070,2816609,2969627
uppermiddleincome countries,1502,1121608,1191119,1250151,1304013,1357177,1414522,1464474
lowermiddleincome countries,1501,901102,1001272,1101279,1200297,1300893,1402087,1505153
lowincome countries,1500,150213,174086,199429,230093,264140,300400,342004
africa,903,314377,357598,404163,456648,518253,590281,669878
eastern africa,910,97877,110939,127369,146040,167966,193128,221040
burundi,108,2665,2925,3132,3629,4288,5031,5900
comoros,174,206,239,273,308,348,392,439
djibouti,262,297,317,361,394,447,483,519
eritrea,232,1130,1097,1141,1410,1584,1674,1778
ethiopia,231,23880,28441,33019,38074,43727,50409,57517
kenya,404,11820,13811,15867,18172,20869,23783,26719
madagascar,450,5791,6716,7850,9130,10536,12082,13815
malawi,454,4662,4883,5504,6215,7154,8250,9434
mauritius,480,527,563,588,606,619,624,627
mayotte,175,48,63,76,88,102,118,134
mozambique,508,6205,7381,8469,9848,11351,13092,15188
runion,638,299,329,360,388,402,418,433
rwanda,646,3595,2838,3876,4326,4921,5583,6367
seychelles,690,35,38,40,44,47,49,50
somalia,706,3630,3757,4443,5226,6016,6883,7924
south sudan,728,2730,2546,3088,3760,4752,5360,5603
uganda,800,8619,10085,11643,13639,15915,18776,22547
united republic of tanzania,834,12541,14752,16661,19138,22119,25696,29851
zambia,894,4006,4518,5164,5861,6719,7857,9103
zimbabwe,716,5191,5641,5814,5784,6049,6569,7092
middle africa,911,35103,41558,47729,55693,65530,76881,89622
angola,24,5937,6960,8155,9639,11549,13791,16261
cameroon,120,5856,6768,7722,8837,10154,11641,13277
central african republic,140,1382,1589,1795,1996,2172,2227,2394
chad,148,2958,3483,4159,5031,5962,7042,8200
democratic republic of the congo,178,1159,1332,1543,1796,2126,2423,2757
democratic republic of the congo,180,17079,20574,23359,27222,32142,38020,44710
equatorial guinea,226,208,252,314,398,513,646,780
gabon,266,466,535,610,695,822,992,1133
sao tome and principe,678,59,65,70,78,90,100,110
northern africa,912,70326,78798,86162,93703,101867,112444,123723
algeria,12,13036,14564,15731,16766,18161,20064,22154
egypt,818,28207,31389,34650,38098,41806,46718,51703
libya,434,2339,2592,2781,2990,3164,3248,3469
morocco,504,12376,13427,14269,15045,15947,17171,18317
sudan,729,10103,12085,13677,15515,17232,19425,21907
tunisia,788,4152,4609,4889,5058,5303,5542,5861
western sahara,732,114,133,164,231,253,276,312
southern africa,913,20758,23312,25293,26871,28737,31023,33214
botswana,72,615,706,795,875,972,1021,1139
eswatini,748,389,442,483,489,502,532,570
lesotho,426,778,923,977,964,970,1012,1057
namibia,516,690,785,865,935,1024,1120,1232
south africa,710,18286,20455,22172,23607,25270,27337,29216
western africa,914,90312,102991,117611,134342,154153,176806,202280
benin,204,2424,2895,3383,3955,4569,5270,6054
burkina faso,854,4306,4943,5702,6622,7738,9019,10445
cabo verde,132,160,186,206,225,246,263,279
cote divoire,384,6208,7369,8479,9379,10427,11747,13300
gambia,270,477,564,656,767,890,1035,1199
ghana,288,7438,8581,9731,11019,12533,14105,15750
guinea,324,3049,3484,3934,4343,4858,5475,6353
guineabissau,624,471,527,581,649,738,846,963
liberia,430,1032,1017,1420,1609,1948,2244,2543
mali,466,4171,4740,5428,6358,7517,8720,10145
mauritania,478,1010,1146,1308,1508,1747,2028,2335
niger,562,3925,4672,5613,6783,8227,10030,12170
nigeria,566,47897,54345,61648,70121,80161,91721,104470
saint helena,654,0,0,0,0,0,0,0
senegal,686,3746,4311,4813,5417,6172,7089,8171
sierra leone,694,2133,2130,2274,2805,3193,3574,3981
togo,768,1862,2080,2432,2777,3186,3639,4119
asia,935,1648968,1785949,1912363,2035224,2155312,2268503,2373462
central asia,5500,24617,26207,27264,28817,31018,33869,36812
kazakhstan,398,7952,7673,7177,7419,7856,8508,9113
kyrgyzstan,417,2145,2253,2433,2516,2680,2948,3227
tajikistan,762,2619,2876,3114,3413,3798,4265,4806
turkmenistan,795,1810,2072,2223,2339,2503,2740,2969
uzbekistan,860,10091,11333,12317,13130,14182,15407,16697
eastern asia,906,711282,747554,775571,798705,819646,839695,855476
china,156,603859,636687,662188,683486,703414,722508,738247
china hong kong sar,344,2910,3052,3250,3252,3277,3333,3440
china macao sar,446,170,187,205,229,258,289,312
china taiwan province of china,158,10534,10912,11159,11494,11654,11766,11834
dem peoples republic of korea,408,9859,10658,11178,11670,11995,12314,12608
japan,392,61357,62190,62625,62886,62875,62537,61753
mongolia,496,1078,1138,1196,1257,1349,1482,1615
republic of korea,410,21514,22730,23772,24431,24825,25466,25666
southeastern asia,920,221821,242088,261486,279657,298345,316954,333932
brunei darussalam,96,136,155,169,186,201,216,227
cambodia,116,4335,5173,5907,6442,6972,7570,8162
indonesia,360,91096,98510,105854,113592,121821,130133,137718
lao peoples democratic republic,418,2130,2417,2650,2846,3099,3381,3652
malaysia,458,9172,10428,11818,13168,14550,15585,16631
myanmar,104,20124,21351,22630,23672,24399,25392,26220
philippines,608,31268,35201,39281,43387,47398,51389,55029
singapore,702,1516,1790,2066,2156,2675,2926,3062
thailand,764,28018,29538,31094,32174,32931,33559,33966
timorleste,626,373,426,447,503,553,605,666
viet nam,704,33653,37098,39570,41532,43746,46197,48598
southern asia,5501,615915,685275,754263,822613,885445,943628,1000786
afghanistan,4,6345,9393,10690,13240,14936,17686,19976
bangladesh,50,53216,59294,65595,71222,75016,79217,83259
bhutan,64,273,274,302,340,360,384,410
india,356,453257,500831,549388,597052,642164,681223,717101
iran islamic republic of,364,28745,31304,33388,35490,37180,39730,42408
maldives,462,114,129,141,167,199,271,343
nepal,524,9396,10903,11920,12788,13297,12398,13348
pakistan,586,55821,63985,73474,82676,92427,102641,113672
sri lanka,144,8748,9163,9366,9638,9866,10078,10267
western asia,922,75333,84826,93779,105431,120860,134356,146457
armenia,51,1715,1524,1441,1402,1346,1375,1394
azerbaijan,31,3541,3797,3971,4207,4475,4789,5065
bahrain,48,286,325,381,534,774,847,1100
cyprus,196,389,432,475,520,556,581,604
georgia,268,2572,2355,2072,2007,1953,1922,1901
iraq,368,8785,10160,11852,13600,15022,17984,20358
israel,376,2220,2603,2930,3221,3628,3956,4308
jordan,400,1868,2400,2655,2975,3704,4693,5166
kuwait,414,1191,933,1195,1340,1730,2256,2614
lebanon,422,1383,1754,1915,2391,2516,3288,3436
oman,512,1009,1307,1273,1420,1835,2783,3370
qatar,634,319,338,386,585,1419,1950,2165
saudi arabia,682,9087,10336,11248,13261,15427,18041,20131
state of palestine,275,1065,1329,1637,1817,2058,2298,2587
syrian arab republic,760,6292,7256,8302,9368,10785,9066,8760
turkey,792,26630,28836,31144,33420,35564,38650,41636
united arab emirates,784,1198,1604,2117,3229,6396,6521,6836
yemen,887,5782,7537,8783,10134,11672,13356,15025
europe,908,347005,350136,349427,351223,354615,358183,361061
eastern europe,923,146842,146744,143818,140214,138614,138435,137830
belarus,112,4761,4725,4634,4464,4380,4392,4399
bulgaria,100,4357,4102,3898,3741,3616,3502,3374
czechia,203,5020,5033,5006,4997,5172,5209,5273
hungary,348,4984,4944,4862,4786,4710,4647,4598
poland,616,18485,18706,18718,18577,18532,18435,18338
republic of moldova,498,2081,2073,2011,1992,1964,1956,1932
romania,642,11580,11284,10830,10439,9940,9700,9354
russian federation,643,69061,69530,68503,66851,66541,67171,67640
slovakia,703,2581,2616,2622,2617,2621,2641,2658
ukraine,804,23933,23732,22734,21750,21137,20782,20263
northern europe,924,44789,45345,46050,47127,49283,50984,52487
channel islands,830,68,70,72,74,79,82,86
denmark,208,2536,2585,2643,2685,2756,2829,2879
estonia,233,732,663,653,630,620,615,628
faroe islands,234,0,0,0,0,0,0,0
finland,246,2425,2493,2533,2574,2633,2698,2732
iceland,352,128,134,140,148,161,166,171
ireland,372,1747,1784,1880,2067,2263,2303,2451
isle of man,833,0,0,0,0,0,0,0
latvia,428,1241,1156,1096,1032,970,916,869
lithuania,440,1749,1709,1639,1554,1438,1350,1260
norway,578,2100,2160,2229,2298,2442,2618,2740
sweden,752,4232,4366,4392,4482,4677,4881,5059
united kingdom,826,27772,28167,28712,29517,31175,32461,33542
southern europe,925,70196,70467,70716,73241,74754,74663,74369
albania,8,1683,1534,1584,1552,1485,1471,1465
andorra,20,0,0,0,0,0,0,0
bosnia and herzegovina,70,2210,1878,1842,1850,1820,1681,1607
croatia,191,2316,2233,2132,2108,2085,2035,1979
gibraltar,292,0,0,0,0,0,0,0
greece,300,5070,5339,5508,5556,5349,5233,5116
holy see,336,0,0,0,0,0,0,0
italy,380,27733,27752,27435,28296,28705,29394,29438
malta,470,178,186,195,201,206,217,221
montenegro,499,306,308,303,303,308,310,311
north macedonia,807,1004,995,1019,1030,1035,1040,1042
portugal,620,4763,4861,4966,5080,5071,4910,4824
san marino,674,0,0,0,0,0,0,0
serbia,688,4698,4871,4656,4501,4406,4351,4280
slovenia,705,975,966,972,975,1012,1029,1035
spain,724,19204,19481,20041,21716,23196,22916,22978
western europe,926,85177,87579,88843,90641,91965,94101,96375
austria,40,3695,3856,3916,4012,4099,4249,4440
belgium,56,4896,4986,5035,5174,5372,5549,5744
france,250,27577,28087,28625,29590,30459,31231,31589
germany,276,38146,39343,39641,39873,39619,40225,41416
liechtenstein,438,0,0,0,0,0,0,0
luxembourg,442,187,200,215,226,252,284,317
monaco,492,0,0,0,0,0,0,0
netherlands,528,7402,7661,7889,8116,8284,8420,8537
switzerland,756,3248,3417,3490,3616,3845,4106,4294
latin america and the caribbean,904,219608,238982,257773,274945,291416,307137,321629
caribbean,915,16905,17930,18859,19676,20391,21071,21494
anguilla,660,0,0,0,0,0,0,0
antigua and barbuda,28,30,33,36,39,42,45,47
aruba,533,31,40,44,48,48,50,51
bahamas,44,127,138,145,158,172,182,191
barbados,52,126,128,130,133,135,138,139
bonaire sint eustatius and saba,535,0,0,0,0,0,0,0
british virgin islands,92,0,0,0,0,0,0,0
cayman islands,136,0,0,0,0,0,0,0
cuba,192,5307,5447,5547,5613,5584,5628,5623
curaao,531,70,68,62,61,69,73,75
dominica,212,0,0,0,0,0,0,0
dominican republic,214,3589,3926,4245,4576,4866,5147,5418
grenada,308,48,50,51,52,54,55,57
guadeloupe,312,190,196,204,190,189,185,185
haiti,332,3461,3811,4168,4531,4907,5280,5626
jamaica,388,1194,1254,1320,1358,1398,1437,1470
martinique,474,173,176,182,185,182,175,173
montserrat,500,0,0,0,0,0,0,0
puerto rico,630,1646,1719,1764,1741,1719,1618,1356
saint barthlemy,652,0,0,0,0,0,0,0
saint kitts and nevis,659,0,0,0,0,0,0,0
saint lucia,662,68,72,77,80,86,88,90
saint martin french part,663,0,0,0,0,0,0,0
saint vincent and the grenadines,670,53,54,54,55,55,56,56
sint maarten dutch part,534,0,0,0,0,0,0,0
trinidad and tobago,780,609,625,631,643,658,678,691
turks and caicos islands,796,0,0,0,0,0,0,0
united states virgin islands,850,51,52,53,52,51,50,50
central america,916,56161,61349,66528,71514,77241,82776,88051
belize,84,95,104,125,143,161,180,198
costa rica,188,1571,1783,1989,2149,2293,2426,2545
el salvador,222,2571,2732,2836,2889,2926,2974,3036
guatemala,320,4603,5136,5717,6423,7186,7995,8827
honduras,340,2461,2836,3270,3715,4149,4550,4949
mexico,484,41540,45071,48558,51837,55826,59594,63071
nicaragua,558,2070,2304,2507,2684,2869,3067,3265
panama,591,1249,1382,1527,1676,1830,1990,2160
south america,931,146542,159704,172385,183755,193785,203290,212083
argentina,32,15885,16945,17895,18897,19899,20989,22049
bolivia plurinational state of,68,3452,3836,4235,4648,5056,5463,5858
brazil,76,74078,80415,86582,92002,96536,100658,104436
chile,152,6520,7071,7548,7963,8397,8845,9426
colombia,170,16315,17896,19427,20901,22160,23289,24985
ecuador,218,5144,5755,6365,6934,7520,8115,8824
falkland islands malvinas,238,0,0,0,0,0,0,0
french guiana,254,60,71,84,101,116,129,148
guyana,328,367,375,372,374,372,384,396
paraguay,600,2139,2421,2701,2957,3178,3404,3624
peru,604,10978,12102,13191,13893,14474,15133,16379
suriname,740,206,224,238,252,267,281,295
uruguay,858,1508,1562,1607,1602,1619,1646,1678
venezuela bolivarian republic of,862,9889,11029,12140,13230,14190,14953,13985
northern america,905,137269,144781,153979,161579,169617,176639,182581
