Index,name,type,year,total_population_as_1_january_thousands,total_population_as_1_july_thousands,male_population_as_1_july_thousands,fem_population_as_1_july_thousands,population_density_as_1_july_persons_per_square_km,population_sex_ratio_as_1_july_males_per_100_fems,median_age_as_1_july_years,natural_change_births_minus_deaths_thousands,rate_natural_change_per_1000_population,population_change_thousands,population_growth_rate_percentage,population_annual_doubling_time_years,births_thousands,births_by_women_aged_15_to_19_thousands,crude_birth_rate_births_per_1000_population,total_fertility_rate_live_births_per_woman,net_reproduction_rate_surviving_daughters_per_woman,mean_age_childbearing_years,sex_ratio_at_birth_males_per_100_fem_births,total_deaths_thousands,male_deaths_thousands,fem_deaths_thousands,crude_death_rate_deaths_per_1000_population,life_expectancy_at_birth_both_sexes_years,male_life_expectancy_at_birth_years,fem_life_expectancy_at_birth_years,life_expectancy_at_age_15_both_sexes_years,male_life_expectancy_at_age_15_years,fem_life_expectancy_at_age_15_years,life_expectancy_at_age_65_both_sexes_years,male_life_expectancy_at_age_65_years,fem_life_expectancy_at_age_65_years,life_expectancy_at_age_80_both_sexes_years,male_life_expectancy_at_age_80_years,fem_life_expectancy_at_age_80_years,infant_deaths_under_age_1_thousands,infant_mortality_rate_infant_deaths_per_1000_live_births,live_births_surviving_to_age_1_thousands,underfive_deaths_under_age_5_thousands,underfive_mortality_deaths_under_age_5_per_1000_live_births,mortality_before_age_40_both_sexes_deaths_under_age_40_per_1000_live_births,male_mortality_before_age_40_deaths_under_age_40_per_1000_male_live_births,fem_mortality_before_age_40_deaths_under_age_40_per_1000_fem_live_births,mortality_before_age_60_both_sexes_deaths_under_age_60_per_1000_live_births,male_mortality_before_age_60_deaths_under_age_60_per_1000_male_live_births,fem_mortality_before_age_60_deaths_under_age_60_per_1000_fem_live_births,mortality_between_age_15_and_50_both_sexes_deaths_under_age_50_per_1000_alive_at_age_15,male_mortality_between_15_and_50_per_1000_15_yold_males,fem_mortality_between_15_and_50_per_1000_15_yold_fems,mortality_between_age_15_and_60_both_sexes_deaths_under_age_60_per_1000_alive_at_age_15,male_mortality_between_age_15_and_60_deaths_under_age_60_per_1000_males_alive_at_age_15,fem_mortality_between_age_15_and_60_deaths_under_age_60_per_1000_fems_alive_at_age_15,net_number_migrants_thousands,net_migration_rate_per_1000_population
651,More developed regions,Development Group,1950.0,801655.93,806252.895,383065.729,423187.167,16.435,90.519,27.322,9523.961,11.815,9193.931,1.14,60.802,18578.928,1119.267,23.047,2.837,1.235,28.609,105.9,9054.967,4711.604,4343.363,11.232,63.523,60.866,66.068,54.415,51.902,56.76,13.014,11.973,13.88,5.6,5.218,5.859,1152.226,60.449,17734.206,1452.764,77.39,145.034,162.547,128.48,292.259,342.955,245.341,117.704,143.336,94.523,224.808,275.877,178.632,-330.051,-0.409
652,More developed regions,Development Group,1951.0,810849.861,815364.763,387977.256,427387.507,16.62,90.779,27.385,9323.237,11.431,9029.804,1.107,62.615,18480.426,1075.792,22.659,2.802,1.227,28.536,105.7,9157.189,4756.703,4400.486,11.228,63.747,61.081,66.302,54.498,51.975,56.853,12.891,11.846,13.757,5.504,5.136,5.752,1078.541,58.446,17663.145,1398.767,75.64,139.948,157.297,123.474,287.477,338.571,240.16,113.753,139.393,90.527,221.447,272.874,174.906,-293.315,-0.36
653,More developed regions,Development Group,1952.0,819879.665,824657.585,392970.671,431686.914,16.81,91.031,27.467,9702.947,11.767,9555.84,1.159,59.806,18456.634,1034.801,22.383,2.79,1.233,28.504,105.7,8753.687,4553.222,4200.465,10.616,64.891,62.212,67.445,55.216,52.684,57.572,13.243,12.157,14.134,5.721,5.323,5.989,998.975,53.914,17688.262,1281.969,69.341,128.487,145.044,112.633,271.175,320.987,225.165,105.759,130.059,83.655,209.773,259.562,164.796,-146.975,-0.178
654,More developed regions,Development Group,1953.0,829435.505,834404.417,397911.465,436492.952,17.008,91.161,27.573,9635.446,11.549,9937.824,1.191,58.199,18369.046,1040.136,22.017,2.762,1.23,28.424,105.7,8733.6,4544.763,4188.837,10.468,65.451,62.719,68.059,55.468,52.905,57.853,13.225,12.117,14.132,5.667,5.264,5.94,936.234,50.989,17637.315,1196.703,65.046,120.839,137.607,104.648,261.317,311.445,214.916,100.819,124.863,78.885,203.217,252.908,158.272,302.392,0.362
655,More developed regions,Development Group,1954.0,839373.329,844461.736,403076.271,441385.465,17.213,91.321,27.686,9932.22,11.762,10176.815,1.205,57.523,18426.636,1084.887,21.822,2.759,1.237,28.348,105.7,8494.416,4420.957,4073.459,10.06,66.272,63.524,68.884,55.997,53.411,58.395,13.501,12.362,14.426,5.846,5.433,6.122,889.258,48.322,17724.238,1121.205,60.937,113.363,129.668,97.561,249.746,299.125,204.059,95.647,119.108,74.219,194.925,243.765,150.724,244.659,0.29
656,More developed regions,Development Group,1955.0,849550.144,854686.605,408353.591,446333.014,17.422,91.491,27.823,9991.03,11.69,10272.922,1.202,57.666,18419.712,1122.322,21.553,2.747,1.238,28.259,105.7,8428.682,4390.701,4037.981,9.863,66.831,64.04,69.484,56.319,53.698,58.747,13.61,12.434,14.561,5.889,5.464,6.172,845.5,45.938,17745.555,1056.391,57.454,107.696,123.887,91.885,240.842,290.165,195.082,91.691,114.857,70.486,188.619,237.169,144.562,282.047,0.33
657,More developed regions,Development Group,1956.0,859823.066,864915.284,413580.187,451335.097,17.63,91.635,27.977,10047.477,11.616,10184.437,1.178,58.841,18462.842,1197.894,21.346,2.74,1.244,28.143,105.7,8415.365,4390.678,4024.687,9.73,67.453,64.611,70.155,56.545,53.882,59.015,13.604,12.375,14.597,5.823,5.365,6.131,771.611,41.822,17836.668,958.64,52.059,99.649,115.471,84.111,230.673,280.279,184.584,87.42,110.028,66.714,182.864,231.453,138.694,137.051,0.158
658,More developed regions,Development Group,1957.0,870007.503,875101.26,418742.488,456358.771,17.838,91.757,28.125,9957.692,11.38,10187.514,1.164,59.549,18535.641,1282.211,21.183,2.738,1.244,28.015,105.6,8577.949,4489.198,4088.751,9.803,67.42,64.494,70.212,56.491,53.751,59.042,13.628,12.339,14.667,5.918,5.449,6.23,770.87,41.591,17911.128,955.759,51.684,100.086,116.253,84.124,231.892,282.602,184.61,88.198,111.073,67.226,184.358,233.982,139.099,229.931,0.263
659,More developed regions,Development Group,1958.0,880195.017,885815.901,424311.634,461504.267,18.056,91.941,28.271,10360.746,11.702,11241.768,1.269,54.622,18562.236,1314.84,20.965,2.729,1.249,27.858,105.6,8201.49,4290.085,3911.405,9.263,68.492,65.545,71.284,57.264,54.508,59.81,14.059,12.73,15.118,6.117,5.616,6.448,714.995,38.515,17973.561,878.34,47.407,92.089,107.876,76.453,217.012,266.118,171.265,81.869,103.878,61.676,172.866,220.601,129.36,881.098,0.995
660,More developed regions,Development Group,1959.0,891436.785,896588.121,429896.358,466691.763,18.276,92.116,28.428,10202.461,11.379,10302.672,1.149,60.326,18601.107,1349.347,20.747,2.727,1.249,27.742,105.6,8398.646,4393.009,4005.637,9.368,68.543,65.56,71.376,57.251,54.45,59.847,14.059,12.712,15.132,6.123,5.634,6.445,701.539,37.7,18023.027,861.606,46.422,91.472,107.47,75.522,216.617,266.388,170.189,82.069,104.539,61.341,173.213,221.694,128.936,100.411,0.112
