Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1,1990,WORLD,,900,,4 940 094,6 508 813,7 870 896,9 631 753,12 447 939,14 996 038,15 537 248,14 656 263,13 139 765,10 892 546,9 060 619,7 835 999,6 984 570,5 513 803,4 530 472,8 439 339,152 986 157
2,1995,WORLD,,900,,4 683 966,6 256 492,7 690 520,9 453 166,12 647 768,15 537 757,16 628 877,16 027 056,14 336 636,12 305 048,10 218 192,8 564 677,7 337 114,5 815 127,5 077 938,8 709 642,161 289 976
3,2000,WORLD,,900,,4 726 060,6 151 369,7 603 830,9 578 087,13 265 739,16 426 853,17 583 870,17 572 798,15 922 905,13 671 237,11 759 161,9 357 971,8 032 602,6 233 097,5 584 364,9 760 642,173 230 585
4,2005,WORLD,,900,,4 912 830,6 562 128,8 100 234,10 652 190,14 723 741,18 672 920,19 761 152,19 127 145,17 583 960,15 452 989,13 185 577,11 003 384,8 855 977,6 956 626,5 884 632,10 011 343,191 446 828
5,2010,WORLD,,900,,5 772 791,7 338 510,8 458 240,11 057 021,16 836 768,22 441 097,23 547 822,22 565 333,20 355 347,18 236 074,15 433 441,12 692 544,10 688 291,7 904 843,6 531 925,11 123 140,220 983 187
6,2015,WORLD,,900,,6 989 696,8 088 701,8 615 587,10 947 107,17 440 377,24 520 690,26 931 251,25 795 909,23 457 127,20 544 862,17 943 736,14 911 632,12 182 859,9 696 107,7 404 517,12 488 486,247 958 644
7,2020,WORLD,,900,,8 226 578,9 969 159,10 212 634,12 529 837,19 141 706,26 315 409,29 527 008,29 195 374,26 585 188,23 457 176,20 154 425,17 091 853,13 897 964,10 914 100,8 371 616,15 008 078,280 598 105
162,1990,   Burundi,,108,B R, 22 459, 23 463, 20 802, 20 214, 27 170, 38 450, 44 435, 36 481, 27 382, 19 646, 15 760, 11 621, 9 925, 7 646, 3 058, 4 598, 333 110
163,1995,   Burundi,,108,B R, 17 183, 17 951, 15 915, 15 465, 20 787, 29 417, 33 996, 27 911, 20 949, 15 031, 12 058, 8 891, 7 593, 5 850, 2 340, 3 516, 254 853
164,2000,   Burundi,,108,B R, 5 969, 9 365, 10 078, 10 609, 12 492, 13 617, 14 118, 12 962, 9 663, 7 384, 4 997, 4 706, 3 131, 2 637, 2 435, 1 465, 125 628
