Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1,1990,WORLD,,900,,2 463 796,3 223 843,3 870 851,4 707 400,6 013 792,7 053 496,7 243 280,6 866 805,6 216 888,5 213 839,4 428 584,3 978 529,3 691 290,2 973 005,2 548 763,4 928 529,75 422 690
2,1995,WORLD,,900,,2 329 521,3 102 955,3 802 789,4 651 455,6 172 587,7 384 680,7 817 807,7 548 080,6 816 854,5 911 764,4 995 075,4 287 775,3 823 263,3 119 032,2 864 763,5 080 075,79 708 475
3,2000,WORLD,,900,,2 333 484,3 035 714,3 725 929,4 667 146,6 448 303,7 867 780,8 322 711,8 255 608,7 540 512,6 559 199,5 758 957,4 686 452,4 172 300,3 326 001,3 119 934,5 690 722,85 510 752
4,2005,WORLD,,900,,2 391 847,3 198 971,3 928 879,5 129 612,7 121 902,8 837 344,9 221 818,8 907 407,8 233 674,7 377 669,6 499 130,5 514 576,4 567 244,3 706 760,3 278 077,5 868 837,93 783 747
5,2010,WORLD,,900,,2 837 760,3 609 684,4 125 392,5 351 260,8 011 358,10 373 554,10 665 492,10 181 838,9 371 840,8 598 912,7 543 434,6 445 198,5 557 592,4 217 541,3 623 915,6 527 536,107 042 306
6,2015,WORLD,,900,,3 410 142,3 963 435,4 207 310,5 332 668,8 325 835,11 380 988,12 245 515,11 705 637,10 766 564,9 629 761,8 636 848,7 447 729,6 284 680,5 096 549,4 004 130,7 282 795,119 720 586
7,2020,WORLD,,900,,3 989 013,4 820 375,4 923 785,6 067 985,9 023 518,12 156 211,13 476 747,13 442 369,12 331 582,10 864 220,9 485 189,8 299 468,7 038 905,5 745 085,4 525 479,8 752 330,134 942 261
162,1990,   Burundi,,108,B R, 11 468, 12 172, 10 929, 10 878, 14 954, 20 724, 22 456, 17 664, 13 317, 9 707, 7 656, 5 518, 4 799, 3 794, 1 517, 2 290, 169 843
163,1995,   Burundi,,108,B R, 8 825, 9 366, 8 409, 8 370, 11 507, 15 947, 17 279, 13 593, 10 247, 7 469, 5 891, 4 245, 3 692, 2 920, 1 167, 1 761, 130 688
164,2000,   Burundi,,108,B R, 3 387, 5 316, 5 715, 5 792, 6 273, 6 356, 6 608, 6 276, 4 850, 3 822, 2 602, 2 465, 1 636, 1 383, 1 277,  776, 64 534
165,2005,   Burundi,,108,B R, 13 398, 8 800, 10 702, 8 127, 6 794, 7 486, 8 507, 8 428, 7 065, 5 572, 3 891, 3 051, 2 145, 1 778, 1 532, 1 085, 98 361
166,2010,   Burundi,,108,B R, 16 992, 9 723, 7 652, 10 012, 9 674, 9 506, 10 515, 11 074, 10 196, 8 739, 6 819, 4 888, 3 485, 2 424, 1 792, 2 068, 125 559
167,2015,   Burundi,,108,B R, 20 496, 12 709, 8 537, 8 944, 12 736, 13 289, 12 841, 12 470, 11 863, 10 596, 8 408, 6 440, 4 469, 3 082, 2 050, 2 399, 151 329
168,2020,   Burundi,,108,B R, 23 004, 16 443, 11 741, 10 236, 12 162, 15 000, 15 289, 14 160, 13 009, 11 899, 9 798, 7 626, 5 404, 3 682, 2 458, 2 731, 174 642
169,1990,   Comoros,,174,B,  353,  492,  607,  643,  660,  836,  889,  815,  638,  481,  351,  224,  156,  109,  43,  65, 7 362
170,1995,   Comoros,,174,B,  329,  467,  597,  640,  669,  836,  902,  817,  637,  465,  355,  240,  160,  106,  42,  63, 7 325
171,2000,   Comoros,,174,B,  307,  444,  589,  639,  680,  837,  895,  820,  638,  450,  360,  257,  165,  104,  41,  62, 7 288
172,2005,   Comoros,,174,B,  274,  417,  535,  586,  659,  770,  836,  766,  622,  465,  352,  252,  170,  110,  43,  66, 6 923
173,2010,   Comoros,,174,B,  244,  392,  484,  534,  638,  705,  759,  712,  606,  480,  346,  249,  176,  117,  46,  70, 6 558
174,2015,   Comoros,,174,B,  239,  359,  459,  515,  607,  680,  737,  705,  613,  492,  364,  263,  188,  133,  52,  78, 6 484
