"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Burundi,108,333110.0,254853.0,125628.0,192774.0,247321.0,298299.0,344767.0
   Comoros,174,14079.0,13939.0,13799.0,13209.0,12618.0,12555.0,12496.0
   Djibouti,262,122221.0,99774.0,100507.0,92110.0,102307.0,112351.0,119738.0
   Eritrea,232,11848.0,12400.0,12952.0,15905.0,15813.0,15941.0,13934.0
   Ethiopia,231,1155390.0,806904.0,611384.0,514451.0,568748.0,1161642.0,1085517.0
   Kenya,404,298089.0,618745.0,707852.0,773354.0,954925.0,1126886.0,1050147.0
   Madagascar,450,23917.0,21177.0,23541.0,26058.0,28905.0,32075.0,35563.0
   Malawi,454,1127724.0,241624.0,232620.0,221661.0,217722.0,197328.0,191362.0
   Mauritius*,480,3613.0,7493.0,15543.0,19647.0,24836.0,28585.0,28893.0
   Mayotte*,175,15229.0,26316.0,45474.0,63176.0,72757.0,81386.0,111540.0
   Mozambique,508,122332.0,168256.0,195702.0,268694.0,306471.0,321794.0,338850.0
   Réunion*,638,57210.0,77159.0,100678.0,115076.0,123029.0,127209.0,131769.0
   Rwanda,646,160024.0,215735.0,347076.0,423187.0,426901.0,514647.0,513907.0
   Seychelles,690,3721.0,5148.0,6574.0,8997.0,11420.0,12791.0,13050.0
   Somalia,706,478294.0,19527.0,20097.0,20768.0,48106.0,40990.0,58590.0
   South Sudan,728,0.0,0.0,0.0,0.0,230732.0,844112.0,882252.0
   Uganda,800,544273.0,606987.0,584280.0,593308.0,492930.0,851175.0,1720313.0
   United Republic of Tanzania*,834,574025.0,1106043.0,949600.0,771153.0,309847.0,384567.0,426017.0
   Zambia,894,279463.0,244338.0,343703.0,252895.0,149962.0,132107.0,187955.0
   Zimbabwe,716,634621.0,431226.0,410109.0,402226.0,398307.0,400482.0,416141.0
   Angola,24,33517.0,39813.0,46108.0,62331.0,336367.0,632178.0,656434.0
   Cameroon,120,265967.0,244791.0,227242.0,265503.0,291474.0,508346.0,579209.0
   Central African Republic,140,67234.0,99712.0,123529.0,96409.0,94685.0,81568.0,88546.0
   Chad,148,74342.0,89584.0,104825.0,352130.0,417034.0,466968.0,547494.0
   Congo,178,129391.0,191635.0,305880.0,318724.0,425173.0,390142.0,387606.0
   Democratic Republic of the Congo,180,754194.0,1816963.0,744387.0,623009.0,589882.0,810018.0,952871.0
   Equatorial Guinea,226,2740.0,3629.0,4517.0,6588.0,8658.0,209611.0,230618.0
   Gabon,266,128188.0,171427.0,214431.0,233824.0,270829.0,378686.0,416651.0
   Sao Tome and Principe,678,5582.0,4936.0,4365.0,3433.0,2700.0,2394.0,2139.0
   Algeria,12,273954.0,262032.0,250110.0,197728.0,217268.0,239473.0,250378.0
   Egypt,818,173833.0,166955.0,184774.0,285006.0,310017.0,353641.0,543937.0
   Libya,434,457075.0,508041.0,567436.0,625412.0,687192.0,771146.0,826537.0
   Morocco,504,54895.0,50360.0,53034.0,56222.0,71189.0,92424.0,102358.0
   Sudan,729,1402896.0,1053396.0,805086.0,546419.0,618709.0,620523.0,1379147.0
   Tunisia,788,37984.0,37867.0,36719.0,35040.0,43172.0,56532.0,60145.0
   Western Sahara,732,2688.0,2989.0,3289.0,3891.0,4493.0,5179.0,5424.0
   Botswana,72,27510.0,40168.0,74934.0,84661.0,94863.0,103053.0,110268.0
   Eswatini,748,74991.0,35157.0,34084.0,33392.0,32637.0,32352.0,32858.0
   Lesotho,426,8240.0,7204.0,6167.0,6290.0,6414.0,9152.0,12060.0
   Namibia,516,120641.0,115372.0,135547.0,107347.0,103826.0,101618.0,109391.0
   South Africa,710,1163883.0,1003807.0,1016963.0,1351031.0,2114801.0,3231728.0,2860495.0
   Benin,204,76751.0,105703.0,134655.0,248320.0,309225.0,366284.0,394276.0
   Burkina Faso,854,349652.0,464104.0,520363.0,597658.0,674438.0,704676.0,723989.0
   Cabo Verde,132,8931.0,9979.0,11027.0,12700.0,14373.0,14924.0,15788.0
   Côte d'Ivoire,384,1816426.0,2076394.0,2163644.0,2265090.0,2366537.0,2470613.0,2564857.0
   Gambia,270,118123.0,150890.0,182514.0,181839.0,185837.0,192540.0,215659.0
   Ghana,288,164851.0,252879.0,191601.0,309932.0,337766.0,414744.0,476412.0
   Guinea,324,403621.0,774505.0,560075.0,233419.0,178762.0,126657.0,121437.0
   Guinea-Bissau,624,15368.0,27961.0,20450.0,20902.0,21391.0,22333.0,17945.0
   Liberia,430,94964.0,208563.0,151868.0,87217.0,99165.0,112111.0,87947.0
   Mali,466,160736.0,176187.0,189475.0,258630.0,341078.0,420504.0,485829.0
   Mauritania,478,111650.0,89562.0,57366.0,58211.0,84920.0,166552.0,182286.0
   Niger,562,115464.0,145999.0,122260.0,124509.0,126482.0,252998.0,348056.0
   Nigeria,566,456621.0,462999.0,487882.0,969714.0,990494.0,1199115.0,1308568.0
   Saint Helena*,654,178.0,117.0,108.0,163.0,248.0,377.0,437.0
   Senegal,686,270410.0,287654.0,231901.0,238298.0,256092.0,266496.0,274929.0
   Sierra Leone,694,222148.0,98516.0,97974.0,146227.0,79265.0,58830.0,53746.0
   Togo,768,84844.0,101583.0,137968.0,204219.0,255564.0,277384.0,279936.0
   Kazakhstan,398,3619200.0,3251968.0,2874194.0,3103027.0,3334937.0,3546060.0,3732073.0
   Kyrgyzstan,417,623083.0,518338.0,389824.0,309399.0,232065.0,204382.0,199011.0
   Tajikistan,762,428900.0,348347.0,299499.0,280466.0,279808.0,275101.0,276031.0
   Turkmenistan,795,306500.0,273565.0,219067.0,213053.0,197979.0,196376.0,194920.0
   Uzbekistan,860,1653000.0,1512577.0,1406498.0,1329932.0,1220149.0,1170873.0,1162007.0
   China*,156,376361.0,442198.0,508034.0,678947.0,849861.0,978046.0,1039675.0
"   China, Hong Kong SAR*",344,2218473.0,2443798.0,2669122.0,2721235.0,2779950.0,2841113.0,2962492.0
"   China, Macao SAR*",446,205047.0,224929.0,240791.0,279308.0,318506.0,376066.0,403490.0
"   China, Taiwan Province of China*",158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   Dem. People's Republic of Korea,408,34103.0,35143.0,36183.0,40097.0,44010.0,48458.0,49549.0
   Japan,392,1075317.0,1362371.0,1686444.0,2011555.0,2134151.0,2232189.0,2770996.0
   Mongolia,496,6718.0,7424.0,8206.0,11477.0,16062.0,19886.0,21345.0
   Republic of Korea,410,43247.0,123886.0,244224.0,486065.0,919987.0,1370905.0,1728182.0
   Brunei Darussalam,96,73200.0,84748.0,96296.0,98441.0,100587.0,102733.0,111959.0
   Cambodia,116,38375.0,92230.0,146085.0,114096.0,82028.0,73962.0,79341.0
   Indonesia,360,465612.0,378960.0,292307.0,289310.0,307487.0,338124.0,355505.0
   Lao People's Democratic Republic,418,22866.0,23526.0,21948.0,20371.0,32955.0,45538.0,48731.0
   Myanmar,104,133545.0,113663.0,98011.0,83025.0,76414.0,73309.0,76446.0
   Philippines,608,154071.0,207345.0,318095.0,257468.0,208599.0,211862.0,225525.0
   Singapore,702,727262.0,991492.0,1351691.0,1710594.0,2164794.0,2483405.0,2523648.0
   Thailand,764,528693.0,809720.0,1257821.0,2195610.0,3234381.0,3470220.0,3632496.0
   Timor-Leste,626,8954.0,9743.0,10602.0,11286.0,11540.0,8520.0,8399.0
   Viet Nam,704,28118.0,51262.0,56754.0,51768.0,61756.0,72793.0,76767.0
   Afghanistan,4,57686.0,71522.0,75917.0,87314.0,102276.0,339432.0,144098.0
   Bangladesh,50,881617.0,934735.0,987853.0,1062270.0,1345546.0,1422179.0,2115408.0
   Bhutan,64,23807.0,27972.0,32137.0,40279.0,48420.0,51106.0,53612.0
   India,356,7594801.0,6952238.0,6411331.0,5936740.0,5574018.0,5210847.0,4878704.0
   Iran (Islamic Republic of),364,4291601.0,2937668.0,2476469.0,2552206.0,2722397.0,2729939.0,2797235.0
   Maldives,462,8689.0,18510.0,27092.0,45045.0,54659.0,64273.0,70079.0
   Nepal,524,429974.0,690225.0,717900.0,680729.0,581889.0,509471.0,487564.0
   Pakistan,586,6208204.0,3669308.0,4181912.0,3174558.0,3943681.0,3506520.0,3276580.0
   Sri Lanka,144,41561.0,40841.0,40132.0,39526.0,38959.0,39706.0,40254.0
