"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
WORLD,900,77 563 467,81 581 501,87 719 833,97 663 081,113 940 881,128 238 058,145 655 844
  Sub-Saharan Africa,947,8 136 844,8 677 806,8 246 575,9 227 058,10 531 120,12 578 348,14 732 802
  Northern Africa and Western Asia,1833,8 830 013,9 829 261,10 736 407,12 097 241,14 249 463,18 177 303,20 941 050
  Central and Southern Asia,921,17 054 672,16 042 463,17 179 372,18 895 884,24 444 167,27 971 106,31 211 577
  Eastern and South-Eastern Asia,1832,7 414 751,8 861 759,10 500 432,12 487 051,15 130 964,17 150 433,18 801 912
  Latin America and the Caribbean,1830,7 544 689,9 726 163,12 182 539,14 495 367,16 857 618,17 582 139,20 697 275
  Oceania (excluding Australia and New Zealand),1835, 133 623, 152 358, 183 319, 198 892, 214 866, 240 815, 273 803
  Australia and New Zealand,927, 335 351, 366 709, 421 127, 481 926, 573 939, 622 696, 693 842
  Europe and Northern America,1829,23 704 534,24 148 758,24 676 104,25 682 798,27 337 252,28 229 706,31 770 385
  Developed regions,901,24 338 984,24 834 922,25 438 034,26 505 508,28 263 791,29 203 683,32 827 157
  Less developed regions,902,48 815 493,52 970 355,58 687 841,67 060 709,81 075 598,93 348 863,106 295 489
" Less developed regions, excluding least developed countries",934,32 572 508,37 664 396,43 328 634,50 504 229,61 260 381,70 333 340,79 492 160
" Less developed regions, excluding China",948,46 303 670,50 066 462,55 378 675,63 084 782,76 484 858,88 028 326,100 946 274
  Least developed countries,941,16 242 985,15 305 959,15 359 207,16 556 480,19 815 217,23 015 523,26 803 329
  Land-locked Developing Countries (LLDC),1636,12 878 639,12 222 604,11 981 487,12 609 177,14 227 283,16 089 640,18 147 434
  Small island developing States (SIDS),1637,2 605 273,3 085 104,3 608 507,3 940 542,4 285 399,4 903 522,5 417 850
  High-income countries,1503,16 390 698,17 139 953,18 150 941,19 612 464,21 784 350,22 710 503,25 556 460
  Middle-income countries,1517,45 289 740,50 350 945,56 045 764,63 532 741,75 477 248,82 602 967,92 895 832
 Upper-middle-income countries,1502,22 500 336,25 869 947,29 121 527,32 157 068,36 086 584,37 485 261,42 001 984
 Lower-middle-income countries,1501,22 789 404,24 480 998,26 924 237,31 375 673,39 390 664,45 117 706,50 893 848
  Low-income countries,1500,11 348 393,10 185 505,9 794 758,10 305 271,11 939 008,17 088 744,20 512 220
 AFRICA,903,11 215 846,12 073 478,11 985 328,13 778 387,15 998 855,18 809 167,21 729 832
  Eastern Africa,910,4 056 986,4 002 246,3 167 304,3 320 996,3 932 812,5 021 946,6 136 440
   Burundi,108, 173 892, 277 424, 388 445, 386 645, 143 736, 227 726, 274 913
   Comoros,174, 22 060, 27 869, 36 958, 49 839, 54 190, 59 176, 73 002
   Djibouti,262, 2 890, 3 904, 5 201, 6 293, 7 178, 8 659, 9 293
   Eritrea,232, 89 618, 197 413, 255 453, 153 062, 172 456, 326 403, 422 881
   Ethiopia,231, 856 294, 413 014, 239 365, 284 011, 369 043, 451 972, 510 262
   Kenya,404, 123 044, 135 350, 154 208, 173 569, 213 979, 227 217, 252 759
   Madagascar,450, 25 591, 28 611, 32 318, 64 403, 64 593, 68 219, 74 976
   Malawi,454, 84 442, 88 872, 110 217, 129 386, 151 191, 172 322, 185 426
   Mauritius*,480, 51 464, 51 947, 53 306, 59 779, 67 567, 74 559, 82 790
   Mayotte*,175,  986, 1 948, 2 976, 3 137, 3 113, 3 199, 3 305
   Mozambique,508,1 202 046, 485 263, 391 190, 410 270, 512 836, 348 100, 385 940
   Réunion*,638, 1 571, 1 257, 1 057, 1 068, 1 083, 1 087, 1 189
   Rwanda,646, 276 832,1 021 474, 157 926, 142 456, 161 713, 247 155, 241 187
   Seychelles,690, 17 221, 13 271, 8 747, 10 171, 11 169, 11 783, 12 624
   Somalia,706, 448 851, 507 818, 517 690, 568 870, 839 805,1 040 985,1 064 786
   South Sudan,728, 266 794, 233 701, 190 326, 124 611, 209 902, 543 822,1 271 104
   Uganda,800, 157 865, 177 878, 254 464, 291 881, 349 440, 375 951, 372 735
   United Republic of Tanzania*,834, 107 172, 119 442, 108 653, 118 644, 131 509, 145 322, 162 475
   Zambia,894, 42 598, 67 736, 77 129, 86 976, 86 152, 86 165, 93 621
   Zimbabwe,716, 105 755, 148 054, 181 675, 255 925, 382 157, 602 124, 641 172
  Middle Africa,911, 958 727, 933 704,1 224 847,1 386 182,1 495 622,1 910 761,2 223 566
   Angola,24, 405 465, 344 763, 457 876, 353 459, 322 362, 305 926, 334 386
   Cameroon,120, 60 058, 71 875, 85 099, 110 699, 136 330, 171 870, 219 379
   Central African Republic,140, 24 202, 25 035, 27 493, 61 515, 120 235, 348 076, 409 486
   Chad,148, 168 101, 112 966, 107 494, 113 818, 112 308, 104 493, 119 894
   Congo,178, 51 515, 60 811, 70 562, 86 625, 91 205, 102 286, 113 453
   Democratic Republic of the Congo,180, 217 210, 278 309, 426 558, 591 870, 640 699, 778 269, 916 179
   Equatorial Guinea,226, 17 708, 22 471, 28 899, 33 811, 40 109, 62 959, 68 753
   Gabon,266, 7 732, 8 323, 8 985, 20 471, 18 065, 20 636, 23 205
   Sao Tome and Principe,678, 6 736, 9 151, 11 881, 13 914, 14 309, 16 246, 18 831
  Northern Africa,912,3 079 002,3 395 672,3 738 753,4 551 329,5 467 735,6 230 819,6 997 030
   Algeria,12, 521 302, 550 210, 580 303, 835 802, 913 853, 985 595,1 085 651
   Egypt,818, 822 788, 950 652,1 105 517,1 184 398,1 747 685,2 041 623,2 341 886
   Libya,434, 40 081, 40 775, 42 647, 53 242, 67 086, 81 637, 101 126
