"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
WORLD,900,75 422 690,79 708 475,85 510 752,93 783 747,107 042 306,119 720 586,134 942 261
  Sub-Saharan Africa,947,7 197 963,7 811 167,7 391 439,8 047 927,9 411 604,11 618 863,13 551 736
  Northern Africa and Western Asia,1833,7 535 205,8 240 176,8 700 647,9 770 550,11 064 248,14 428 744,16 622 770
  Central and Southern Asia,921,14 049 348,13 027 520,13 718 322,14 451 806,16 638 221,18 510 024,20 017 972
  Eastern and South-Eastern Asia,1832,7 359 668,8 999 164,10 940 422,13 069 932,15 846 242,18 055 157,19 598 828
  Latin America and the Caribbean,1830,7 728 710,9 943 541,12 446 161,14 842 839,17 780 032,18 623 861,22 193 206
  Oceania (excluding Australia and New Zealand),1835, 138 894, 160 703, 191 857, 208 246, 227 037, 254 405, 291 478
  Australia and New Zealand,927, 353 679, 391 525, 450 533, 502 354, 575 326, 633 506, 711 082
  Europe and Northern America,1829,26 827 879,27 433 406,28 201 599,29 166 292,31 343 852,32 362 696,35 831 236
  Developed regions,901,27 487 262,28 158 769,29 020 262,30 046 328,32 323 370,33 409 329,36 988 213
  Less developed regions,902,43 704 084,47 848 433,53 020 718,60 013 618,70 563 192,81 077 927,91 830 095
" Less developed regions, excluding least developed countries",934,30 123 697,35 037 054,40 317 436,46 620 199,54 880 710,62 610 770,71 028 827
" Less developed regions, excluding China",948,41 348 697,45 014 671,49 664 535,55 791 667,65 453 615,75 067 062,85 565 160
  Least developed countries,941,13 580 387,12 811 379,12 703 282,13 393 419,15 682 482,18 467 157,20 801 268
  Land-locked Developing Countries (LLDC),1636,12 207 376,11 652 173,11 152 992,11 678 885,13 513 622,15 246 649,17 130 334
  Small island developing States (SIDS),1637,2 847 230,3 487 257,4 185 315,4 560 774,5 115 756,5 563 640,6 141 558
  High-income countries,1503,17 618 279,18 538 014,19 873 544,21 269 750,23 864 846,24 646 216,27 251 559
  Middle-income countries,1517,43 669 259,48 578 813,53 834 190,60 379 938,69 104 651,75 378 997,84 500 002
 Upper-middle-income countries,1502,23 751 382,27 189 324,30 464 291,33 578 173,38 088 831,40 090 879,45 646 534
 Lower-middle-income countries,1501,19 917 877,21 389 489,23 369 899,26 801 765,31 015 820,35 288 118,38 853 468
  Low-income countries,1500,9 794 055,8 773 978,8 208 137,8 300 352,9 779 608,14 311 203,16 907 452
 AFRICA,903,9 405 618,10 267 916,10 094 675,11 463 019,13 194 997,16 302 792,18 837 331
  Eastern Africa,910,3 727 757,3 732 528,2 912 688,2 871 751,3 591 380,4 802 344,5 890 849
   Burundi,108, 163 208, 263 134, 370 228, 233 271, 140 342, 232 253, 276 192
   Comoros,174, 18 019, 23 421, 33 544, 46 304, 54 935, 62 573, 77 821
   Djibouti,262, 2 418, 3 060, 3 854, 5 694, 6 619, 8 310, 9 072
   Eritrea,232, 80 985, 177 844, 256 053, 146 249, 155 910, 298 354, 379 941
   Ethiopia,231, 833 647, 403 406, 206 521, 240 027, 311 247, 390 524, 435 867
   Kenya,404, 127 288, 142 297, 163 226, 188 462, 228 653, 253 430, 282 589
   Madagascar,450, 33 824, 38 713, 44 771, 84 402, 96 226, 107 649, 118 550
   Malawi,454, 58 994, 61 953, 76 012, 92 637, 109 340, 125 149, 125 626
   Mauritius*,480, 59 243, 62 126, 65 697, 70 870, 80 619, 91 310, 100 183
   Mayotte*,175,  849, 1 989, 3 238, 3 331, 3 229, 3 346, 3 462
   Mozambique,508,1 020 308, 327 422, 253 231, 252 681, 284 972, 248 849, 254 220
   Réunion*,638, 1 516, 1 366, 1 303, 1 488, 1 666, 1 820, 1 875
   Rwanda,646, 270 885,1 038 889, 160 272, 146 644, 172 531, 256 512, 251 302
   Seychelles,690, 18 412, 14 527, 10 497, 13 316, 14 763, 15 700, 16 634
   Somalia,706, 399 204, 461 138, 488 438, 492 083, 755 523, 967 505, 969 435
   South Sudan,728, 248 149, 204 343, 152 302, 103 926, 192 714, 516 856,1 304 766
   Uganda,800, 153 726, 184 091, 263 312, 294 721, 382 328, 410 278, 408 705
   United Republic of Tanzania*,834, 95 871, 109 709, 106 807, 116 274, 130 663, 148 780, 165 388
   Zambia,894, 42 603, 73 159, 83 072, 94 523, 96 614, 98 206, 107 079
   Zimbabwe,716, 98 608, 139 941, 170 310, 244 848, 372 486, 564 940, 602 142
  Middle Africa,911, 963 516, 923 898,1 214 513,1 340 374,1 511 921,1 906 229,2 197 096
   Angola,24, 419 421, 343 818, 455 330, 363 307, 329 021, 312 362, 333 680
   Cameroon,120, 55 777, 67 061, 79 197, 110 533, 142 568, 177 104, 221 636
   Central African Republic,140, 22 152, 24 170, 27 923, 69 895, 125 698, 338 148, 407 182
   Chad,148, 168 697, 110 130, 98 558, 96 843, 90 115, 86 776, 102 409
   Congo,178, 44 855, 54 866, 64 673, 85 985, 86 906, 102 543, 110 314
   Democratic Republic of the Congo,180, 219 303, 281 515, 435 481, 539 002, 657 845, 793 953, 915 890
   Equatorial Guinea,226, 18 467, 23 941, 31 031, 37 978, 44 281, 53 988, 60 021
   Gabon,266, 7 615, 8 287, 9 056, 20 886, 18 868, 22 439, 25 187
   Sao Tome and Principe,678, 7 229, 10 110, 13 264, 15 945, 16 619, 18 916, 20 777
  Northern Africa,912,2 207 655,2 456 749,2 703 236,3 415 092,3 783 393,4 683 929,5 285 595
   Algeria,12, 400 363, 429 431, 457 682, 763 845, 741 411, 850 907, 936 686
   Egypt,818, 499 127, 541 352, 602 779, 623 543, 838 958,1 109 446,1 268 575
   Libya,434, 36 158, 36 623, 37 367, 47 006, 60 313, 70 907, 84 392
   Morocco,504, 763 517, 843 549, 942 702,1 102 866,1 280 424,1 396 518,1 554 794
   Sudan,729, 248 809, 335 549, 382 903, 569 015, 527 726, 828 614, 949 203
   Tunisia,788, 184 098, 194 961, 204 815, 249 533, 254 298, 339 784, 399 864
   Western Sahara,732, 75 583, 75 284, 74 988, 59 284, 80 263, 87 753, 92 081
  Southern Africa,913, 226 519, 271 227, 359 195, 447 827, 589 580, 584 345, 649 549
   Botswana,72, 6 815, 7 631, 10 543, 13 466, 18 139, 22 817, 23 831
   Eswatini,748, 9 590, 10 493, 14 989, 20 218, 31 228, 23 670, 25 700
   Lesotho,426, 45 418, 42 491, 53 354, 73 609, 113 173, 105 379, 112 597
