"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
WORLD,,900,,2 646 336,2 852 071,3 050 060,3 245 422,3 449 120,3 659 101,3 864 825
  Sub-Saharan Africa,,947,, 246 554, 281 960, 321 660, 366 787, 419 978, 480 740, 548 210
  Northern Africa and Western Asia,,1833,, 142 402, 159 554, 175 940, 192 852, 212 640, 234 720, 255 690
  Central and Southern Asia,,921,, 599 453, 664 718, 730 389, 795 644, 858 898, 918 830, 977 111
  Eastern and South-Eastern Asia,,1832,, 904 696, 960 578,1 007 732,1 046 986,1 083 816,1 122 841,1 157 302
  Latin America and the Caribbean,,1830,, 223 232, 244 036, 264 064, 282 556, 299 936, 316 797, 332 334
  Oceania (excluding Australia and New Zealand),,1835,, 3 399, 3 788, 4 213, 4 606, 5 084, 5 552, 6 061
  Australia and New Zealand,,927,, 10 231, 10 906, 11 483, 12 218, 13 300, 14 353, 15 253
  Europe and Northern America,,1829,, 516 370, 526 532, 534 579, 543 773, 555 468, 565 268, 572 864
  Developed regions,,901,, 589 749, 601 614, 610 962, 621 431, 634 435, 645 069, 652 841
  Less developed regions,,902,,2 056 587,2 250 458,2 439 098,2 623 991,2 814 685,3 014 031,3 211 984
" Less developed regions, excluding least developed countries",,934,,1 802 879,1 960 350,2 109 687,2 250 914,2 394 502,2 540 824,2 680 562
" Less developed regions, excluding China",,948,,1 470 626,1 632 549,1 796 348,1 961 718,2 133 785,2 313 734,2 494 530
  Least developed countries,,941,, 253 708, 290 108, 329 412, 373 077, 420 183, 473 207, 531 422
  Land-locked Developing Countries (LLDC),,1636,, 134 210, 150 345, 168 354, 188 755, 211 963, 239 153, 268 731
  Small island developing States (SIDS),,1637,, 24 913, 26 916, 28 830, 30 521, 32 472, 34 222, 35 724
  High-income countries,,1503,, 523 349, 540 593, 557 321, 574 497, 593 728, 609 720, 621 510
  Middle-income countries,,1517,,1 968 863,2 133 749,2 289 252,2 437 064,2 586 914,2 745 128,2 897 722
 Upper-middle-income countries,,1502,,1 103 761,1 173 915,1 233 365,1 285 925,1 338 308,1 396 557,1 448 679
 Lower-middle-income countries,,1501,, 865 102, 959 834,1 055 887,1 151 139,1 248 606,1 348 571,1 449 042
  Low-income countries,,1500,, 153 177, 176 688, 202 340, 232 587, 267 120, 302 835, 344 086
 AFRICA,,903,, 315 972, 359 673, 406 821, 459 506, 521 051, 592 158, 670 720
  Eastern Africa,,910,, 99 291, 112 995, 129 985, 149 145, 171 352, 196 543, 224 366
   Burundi,,108,B R, 2 774, 3 062, 3 247, 3 736, 4 388, 5 129, 5 991
   Comoros,,174,B,  205,  237,  270,  304,  342,  385,  431
   Djibouti,,262,B R,  293,  313,  357,  390,  393,  431,  469
   Eritrea,,232,I R, 1 129, 1 107, 1 151, 1 416, 1 586, 1 668, 1 769
   Ethiopia,,231,B R, 24 007, 28 607, 33 205, 38 272, 43 912, 50 427, 57 447
   Kenya,,404,B R, 11 905, 13 958, 16 098, 18 453, 21 162, 24 096, 27 053
   Madagascar,,450,C R, 5 808, 6 760, 7 916, 9 206, 10 615, 12 152, 13 876
   Malawi,,454,B R, 4 742, 4 962, 5 645, 6 411, 7 385, 8 495, 9 696
   Mauritius*,,480,C,  529,  566,  597,  616,  629,  636,  644
   Mayotte*,1,175,B R,  46,  61,  74,  90,  107,  122,  139
   Mozambique,,508,B R, 6 782, 8 102, 9 243, 10 646, 12 180, 13 950, 16 067
   Réunion*,2,638,B,  312,  345,  377,  403,  428,  445,  462
   Rwanda,,646,B R, 3 694, 2 998, 4 058, 4 515, 5 118, 5 786, 6 585
   Seychelles,,690,B,  35,  38,  41,  44,  44,  46,  48
   Somalia,,706,I R, 3 595, 3 735, 4 429, 5 220, 6 028, 6 914, 7 969
   South Sudan,,728,B R, 2 763, 2 572, 3 112, 3 776, 4 756, 5 355, 5 591
   Uganda,,800,B R, 8 736, 10 328, 12 007, 14 046, 16 513, 19 450, 23 194
   United Republic of Tanzania*,,834,B R, 12 663, 14 897, 16 838, 19 312, 22 227, 25 787, 29 883
   Zambia,,894,B R, 4 031, 4 579, 5 252, 5 995, 6 887, 8 022, 9 281
   Zimbabwe,,716,B R, 5 241, 5 770, 6 067, 6 293, 6 649, 7 246, 7 771
  Middle Africa,,911,, 35 752, 42 217, 48 387, 56 316, 66 092, 77 323, 89 973
   Angola,,24,B R, 5 912, 6 985, 8 240, 9 794, 11 807, 14 093, 16 605
   Cameroon,,120,B R, 5 924, 6 832, 7 792, 8 896, 10 187, 11 657, 13 269
   Central African Republic,,140,C R, 1 424, 1 634, 1 845, 2 043, 2 215, 2 267, 2 436
   Chad,,148,B R, 3 006, 3 527, 4 197, 5 065, 5 990, 7 069, 8 226
   Congo,,178,B R, 1 198, 1 375, 1 584, 1 827, 2 147, 2 434, 2 761
   Democratic Republic of the Congo,,180,B R, 17 533, 21 003, 23 747, 27 564, 32 422, 38 225, 44 851
   Equatorial Guinea,,226,C,  211,  245,  292,  352,  430,  523,  623
   Gabon,,266,C R,  484,  550,  618,  695,  802,  956, 1 093
   Sao Tome and Principe,,678,C,  60,  67,  72,  80,  90,  100,  109
  Northern Africa,,912,, 69 419, 77 713, 85 161, 92 719, 101 073, 111 418, 122 510
   Algeria,,12,B R, 12 723, 14 194, 15 311, 16 384, 17 816, 19 664, 21 697
   Egypt,,818,B R, 27 928, 30 945, 34 181, 37 426, 40 955, 45 725, 50 632
   Libya,,434,C R, 2 098, 2 357, 2 577, 2 809, 3 033, 3 170, 3 403
   Morocco,,504,C R, 12 432, 13 567, 14 525, 15 410, 16 397, 17 493, 18 594
   Sudan,3,729,B R, 10 044, 12 010, 13 598, 15 434, 17 313, 19 478, 21 942
   Tunisia,,788,C R, 4 091, 4 517, 4 819, 5 048, 5 332, 5 638, 5 958
   Western Sahara,,732,I,  103,  123,  150,  207,  227,  250,  285
  Southern Africa,,913,, 21 288, 24 046, 26 151, 27 774, 29 646, 31 962, 34 290
   Botswana,,72,B R,  671,  763,  848,  924, 1 015, 1 100, 1 213
   Eswatini,,748,B R,  433,  485,  522,  541,  563,  572,  590
   Lesotho,,426,C R,  926,  976, 1 056, 1 032, 1 026, 1 047, 1 085
   Namibia,,516,B R,  743,  843,  929, 1 003, 1 095, 1 194, 1 309
