,Index,"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020,Emigracion_Promedio
0,24,   Burundi,0.0,108,0.0,337100,540558,758673,619916,284078,459979,551105,507344.14285714284
1,25,   Comoros,0.0,174,0.0,40079,51290,70502,96143,109125,121749,150823,91387.28571428571
2,26,   Djibouti,0.0,262,0.0,5308,6964,9055,11987,13797,16969,18365,11777.857142857143
3,27,   Eritrea,0.0,232,0.0,170603,375257,511506,299311,328366,624757,802822,444660.28571428574
4,28,   Ethiopia,0.0,231,0.0,1689941,816420,445886,524038,680290,842496,946129,849314.2857142857
5,29,   Kenya,0.0,404,0.0,250332,277647,317434,362031,442632,480647,535348,380867.28571428574
6,30,   Madagascar,0.0,450,0.0,59415,67324,77089,148805,160819,175868,193526,126120.85714285714
7,31,   Malawi,0.0,454,0.0,143436,150825,186229,222023,260531,297471,311052,224509.57142857142
8,32,   Mauritius*,0.0,480,0.0,110707,114073,119003,130649,148186,165869,182973,138780.0
9,33,   Mayotte*,0.0,175,0.0,1835,3937,6214,6468,6342,6545,6767,5444.0
10,34,   Mozambique,0.0,508,0.0,2222354,812685,644421,662951,797808,596949,640160,911046.8571428572
11,35,   Réunion*,0.0,638,0.0,3087,2623,2360,2556,2749,2907,3064,2763.714285714286
12,36,   Rwanda,0.0,646,0.0,547717,2060363,318198,289100,334244,503667,492489,649396.8571428572
13,37,   Seychelles,0.0,690,0.0,35633,27798,19244,23487,25932,27483,29258,26976.428571428572
14,38,   Somalia,0.0,706,0.0,848055,968956,1006128,1060953,1595328,2008490,2034221,1360304.4285714286
15,39,   South Sudan,0.0,728,0.0,514943,438044,342628,228537,402616,1060678,2575870,794759.4285714285
16,40,   Uganda,0.0,800,0.0,311591,361969,517776,586602,731768,786229,781440,582482.1428571428
17,41,   United Republic of Tanzania*,0.0,834,0.0,203043,229151,215460,234918,262172,294102,327863,252387.0
18,42,   Zambia,0.0,894,0.0,85201,140895,160201,181499,182766,184371,200700,162233.2857142857
19,43,   Zimbabwe,0.0,716,0.0,204363,287995,351985,500773,754643,1167064,1243314,644305.2857142857
20,45,   Angola,0.0,24,0.0,824886,688581,913206,716766,651383,618288,668066,725882.2857142857
21,46,   Cameroon,0.0,120,0.0,115835,138936,164296,221232,278898,348974,441015,244169.42857142858
22,47,   Central African Republic,0.0,140,0.0,46354,49205,55416,131410,245933,686224,816668,290172.85714285716
23,48,   Chad,0.0,148,0.0,336798,223096,206052,210661,202423,191269,222303,227514.57142857142
24,49,   Congo,0.0,178,0.0,96370,115677,135235,172610,178111,204829,223767,160942.7142857143
25,50,   Democratic Republic of the Congo,0.0,180,0.0,436513,559824,862039,1130872,1298544,1572222,1832069,1098869.0
26,51,   Equatorial Guinea,0.0,226,0.0,36175,46412,59930,71789,84390,116947,128774,77773.85714285714
27,52,   Gabon,0.0,266,0.0,15347,16610,18041,41357,36933,43075,48392,31393.571428571428
28,53,   Sao Tome and Principe,0.0,678,0.0,13965,19261,25145,29859,30928,35162,39608,27704.0
29,55,   Algeria,0.0,12,0.0,921665,979641,1037985,1599647,1655264,1836502,2022337,1436148.7142857143
30,56,   Egypt,0.0,818,0.0,1321915,1492004,1708296,1807941,2586643,3151069,3610461,2239761.285714286
31,57,   Libya,0.0,434,0.0,76239,77398,80014,100248,127399,152544,185518,114194.28571428571
32,58,   Morocco,0.0,504,0.0,1748116,1883924,2077010,2470656,2860702,2971770,3262222,2467771.4285714286
33,59,   Sudan,0.0,729,0.0,584935,775375,885660,1277632,1235193,1842602,2104887,1243754.857142857
34,60,   Tunisia,0.0,788,0.0,465549,476933,486964,579009,615732,774376,902268,614404.4285714285
35,61,   Western Sahara,0.0,732,0.0,168238,167146,166060,131288,170195,185885,194932,169106.2857142857
36,63,   Botswana,0.0,72,0.0,26048,23315,26683,33281,44249,55294,63561,38918.71428571428
37,64,   Eswatini,0.0,748,0.0,35179,30340,34116,44861,69030,46236,50039,44257.28571428572
38,65,   Lesotho,0.0,426,0.0,191328,136593,120565,159071,243128,191457,202164,177758.0
39,66,   Namibia,0.0,516,0.0,16077,28220,49348,65598,99599,50410,47770,51003.142857142855
40,67,   South Africa,0.0,710,0.0,308120,385988,501600,601803,743807,786554,914901,606110.4285714285
41,69,   Benin,0.0,204,0.0,234314,275696,328046,504165,541152,634923,681827,457160.4285714286
42,70,   Burkina Faso,0.0,854,0.0,1021331,1215665,1279414,1352292,1434528,1518568,1599347,1345877.857142857
43,71,   Cabo Verde,0.0,132,0.0,91363,106954,124823,141984,152863,171429,187558,139567.7142857143
44,72,   Côte d'Ivoire,0.0,384,0.0,366336,449498,539234,731962,939795,1056380,1149298,747500.4285714285
45,73,   Gambia,0.0,270,0.0,36280,38384,45427,61209,77440,96963,139210,70701.85714285714
46,74,   Ghana,0.0,288,0.0,371157,428051,495887,665731,762002,892253,1004324,659915.0
47,75,   Guinea,0.0,324,0.0,352763,365862,377019,404677,455866,493411,550790,428626.85714285716
48,76,   Guinea-Bissau,0.0,624,0.0,55406,67149,77664,82846,91546,98151,111790,83507.42857142857
49,77,   Liberia,0.0,430,0.0,516878,542295,248412,354792,219139,205741,233564,331545.85714285716
50,78,   Mali,0.0,466,0.0,647426,820564,772866,895360,994832,1228544,1303511,951871.8571428572
51,79,   Mauritania,0.0,478,0.0,134478,151710,107607,103107,114192,114630,130226,122278.57142857143
52,80,   Niger,0.0,562,0.0,149777,177067,205236,304086,335897,374993,399707,278109.0
53,81,   Nigeria,0.0,566,0.0,446753,524535,610130,817392,996914,1306526,1670455,910386.4285714285
54,82,   Saint Helena*,0.0,654,0.0,884,2207,3715,3268,3607,4285,4885,3264.4285714285716
55,83,   Senegal,0.0,686,0.0,370243,359061,394608,470508,547495,594507,693765,490026.71428571426
56,84,   Sierra Leone,0.0,694,0.0,61853,457827,509098,151886,126730,139296,152486,228453.7142857143
57,85,   Togo,0.0,768,0.0,193827,309616,267164,405803,417178,495380,545409,376339.5714285714
58,88,   Kazakhstan,0.0,398,0.0,2971634,3295157,3554484,3717649,3797527,3885576,4203899,3632275.1428571427
59,89,   Kyrgyzstan,0.0,417,0.0,522574,550022,566315,652852,726544,742841,774377,647932.1428571428
60,90,   Tajikistan,0.0,762,0.0,537699,555426,541183,586235,584647,585060,586851,568157.2857142857
61,91,   Turkmenistan,0.0,795,0.0,260005,243523,224398,231939,234635,238531,242554,239369.2857142857
62,92,   Uzbekistan,0.0,860,0.0,1427980,1515731,1575965,1730224,1888942,1976024,2027823,1734669.857142857
63,94,   China*,0.0,156,0.0,4231625,5030321,5884919,7337211,8714648,10240817,10461170,7414387.285714285
64,95,"   China, Hong Kong SAR*",0.0,344,0.0,549125,617237,685913,752476,862070,957289,1007788,775985.4285714285
65,96,"   China, Macao SAR*",0.0,446,0.0,86460,90097,94517,108191,123599,133296,145192,111621.71428571429
66,97,"   China, Taiwan Province of China*",0.0,158,0.0,0,0,0,0,0,0,0,0.0
67,98,   Dem. People's Republic of Korea,0.0,408,0.0,39383,53797,72350,86763,96459,103898,110377,80432.42857142857
68,99,   Japan,0.0,392,0.0,604803,653293,708933,718466,756792,764408,808825,716502.8571428572
69,100,   Mongolia,0.0,496,0.0,24466,27694,30648,42354,57405,65485,82098,47164.28571428572
70,101,   Republic of Korea,0.0,410,0.0,1513162,1694236,1875408,1974513,2252321,2152532,2204554,1952389.4285714286
71,103,   Brunei Darussalam,0.0,96,0.0,26323,35052,45242,45314,44541,45110,45340,40988.857142857145
72,104,   Cambodia,0.0,116,0.0,355428,418213,459621,674436,953059,1074572,1104819,720021.1428571428
73,105,   Indonesia,0.0,360,0.0,1622259,1937233,2415077,2781287,3415963,4065095,4601369,2976897.5714285714
74,106,   Lao People's Democratic Republic,0.0,418,0.0,483008,547786,649287,897002,1198862,1288179,1296051,908596.4285714285
75,107,   Malaysia*,0.0,458,0.0,560353,861208,1201135,1379305,1599061,1781038,1860037,1320305.2857142857
76,108,   Myanmar,0.0,104,0.0,685308,911445,1224310,1736590,2492274,2842494,3711751,1943453.142857143
77,109,   Philippines,0.0,608,0.0,2012499,2481963,3062665,3684528,4692695,5498232,6094307,3932412.714285714
78,110,   Singapore,0.0,702,0.0,156444,168100,192930,235683,282421,324639,348464,244097.2857142857
79,111,   Thailand,0.0,764,0.0,306924,411878,531028,631678,769257,921690,1086985,665634.2857142857
80,112,   Timor-Leste,0.0,626,0.0,11261,79050,148339,94961,35037,37325,39588,63651.57142857143
81,113,   Viet Nam,0.0,704,0.0,1505588,1842320,2158532,2376225,2630742,2909491,3392025,2402131.8571428573
82,115,   Afghanistan,0.0,4,0.0,7679582,4347049,4750677,4116739,5269518,5400916,5853838,5345474.142857143
83,116,   Bangladesh,0.0,50,0.0,5450443,5423528,5441094,5492474,6319871,6831282,7401763,6051493.571428572
84,117,   Bhutan,0.0,64,0.0,28461,117967,120183,120319,91934,51391,51998,83179.0
85,118,   India,0.0,356,0.0,6619431,7153439,7928051,9588533,13221963,15885657,17869492,11180938.0
86,119,   Iran (Islamic Republic of),0.0,364,0.0,631196,746739,831205,889502,985691,1155617,1325113,937866.1428571428
87,120,   Maldives,0.0,462,0.0,2192,1687,1216,2212,3543,3606,3715,2595.8571428571427
88,121,   Nepal,0.0,524,0.0,748053,856028,977396,1289629,1712697,2270166,2599701,1493381.4285714286
89,122,   Pakistan,0.0,586,0.0,3341086,3340157,3406434,3777830,4790584,5798210,6328400,4397528.714285715
90,123,   Sri Lanka,0.0,144,0.0,883684,923530,979093,1151553,1454292,1656253,1960025,1286918.5714285714
91,125,   Armenia,0.0,51,0.0,899678,901859,877148,900648,917043,944520,958190,914155.1428571428
92,126,   Azerbaijan*,0.0,31,0.0,1634157,1712214,1630589,1455180,1160863,1130348,1163922,1412467.5714285714
93,127,   Bahrain,0.0,48,0.0,12817,26014,47736,51835,52235,56721,58270,43661.142857142855
94,128,   Cyprus*,0.0,196,0.0,174370,163275,153561,153973,163471,166585,173210,164063.57142857142
95,129,   Georgia*,0.0,268,0.0,919438,953280,967022,885523,805539,828931,861077,888687.1428571428
96,130,   Iraq,0.0,368,0.0,642933,752604,828414,1340599,2554929,1675613,2077976,1410438.2857142857
97,131,   Israel,0.0,376,0.0,279625,290365,303860,317009,333968,331326,358691,316406.28571428574
98,132,   Jordan,0.0,400,0.0,313621,339026,368299,440788,602099,706832,814909,512224.85714285716
99,133,   Kuwait,0.0,414,0.0,81583,97009,113415,129005,177816,195034,212271,143733.2857142857
