Country Name,Country Code,Series,Series Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..
Arab World,ARB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,9297761,10563245,8919689,7746586,6389977,7509429,..
Arab World,ARB,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,95.69831,93.19784,86.72273,..
Arab World,ARB,"Proportion of teachers with the minimum required qualifications in pre-primary education, both sexes (%)",UIS.TRTP.02,..,..,..,92.80364,..,84.51899,..
Arab World,ARB,"Proportion of teachers with the minimum required qualifications in lower secondary education, both sexes (%)",UIS.TRTP.2,..,..,..,..,..,83.34132,..
Arab World,ARB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,58941173,62318028,63063797,62412118,72352041,70375043,..
Arab World,ARB,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,..,..,..,..,..,..,..
Arab World,ARB,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..,..,..
Arab World,ARB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..
Arab World,ARB,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,..,..,..,..,..,..,..
Arab World,ARB,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.ZS,..,..,..,..,..,..,..
Arab World,ARB,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,..,..,..,..,..,..,..
Arab World,ARB,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,..,..,..,..,..,..,..
Arab World,ARB,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,..,..,..,..,..,..,..
Arab World,ARB,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.ZS,..,..,..,..,..,..,..
Arab World,ARB,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP,..,..,..,..,..,..,..
Arab World,ARB,"Completion rate, lower secondary education, rural, both sexes (%)",UIS.CR.2.RUR,..,..,..,..,..,..,..
Arab World,ARB,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS,..,..,..,..,..,..,..
Arab World,ARB,Duration of compulsory education (years),SE.COM.DURS,..,..,..,..,..,..,..
Arab World,ARB,Internet users (per 100 people),IT.NET.USER.P2,0,0.0170250493795539,1.13954112251628,8.39314172532196,26.7472508954194,..,..
Arab World,ARB,Official entrance age to compulsory education (years),UIS.CEAGE.1,..,..,..,..,..,..,..
Arab World,ARB,Official entrance age to early childhood education (years),UIS.THAGE.0,..,..,..,..,..,..,..
Arab World,ARB,Official entrance age to pre-primary education (years),UIS.THAGE.02,..,..,..,..,..,..,..
Arab World,ARB,Proportion of lower secondary schools with access to Internet for pedagogical purposes (%),UIS.SCHBSP.2.WINTERN,..,..,..,..,..,78.5116,..
