id,destination,origin,year,migrants
0,2,9,1990,8107
1,2,169,1990,40537
2,2,171,1990,2027
3,51,56,1990,40087
4,51,57,1990,11287
5,51,26,1990,2489
6,51,60,1990,678
7,141,68,1990,2086
8,141,69,1990,6544
9,141,16,1990,918
10,141,57,1990,3143
11,141,18,1990,2286
12,141,19,1990,1420
13,141,20,1990,1564
14,141,143,1990,1982
15,141,36,1990,6287
16,141,23,1990,3068
17,141,128,1990,926
18,141,145,1990,9127
19,141,25,1990,3550
20,141,50,1990,2060
21,141,28,1990,2593
22,52,103,1990,86
23,52,67,1990,241
24,52,106,1990,68
25,52,39,1990,84
26,52,68,1990,4135
27,52,69,1990,347
28,52,57,1990,109
29,52,144,1990,296
30,52,73,1990,190
31,52,179,1990,146
32,52,61,1990,3957
33,52,65,1990,27103
34,52,49,1990,54
35,52,74,1990,64
36,52,50,1990,1043
37,52,114,1990,78
38,134,153,1990,3569
39,134,136,1990,12
40,134,137,1990,410
41,134,137,1990,12178
42,134,157,1990,131
43,134,125,1990,97
44,134,150,1990,345
45,134,61,1990,5298
46,134,126,1990,46
47,134,140,1990,3112
48,134,115,1990,2437
49,134,132,1990,119
50,75,83,1990,308
51,75,110,1990,181
52,75,86,1990,220
53,75,87,1990,135
54,75,90,1990,426
55,75,50,1990,197
56,76,78,1990,5
57,76,79,1990,204
58,76,95,1990,8
59,76,172,1990,57
60,76,81,1990,12
61,76,82,1990,2442
62,76,83,1990,621
63,76,120,1990,1
64,76,68,1990,32
65,76,109,1990,4
66,76,69,1990,45
67,76,156,1990,10
68,76,84,1990,115
69,76,110,1990,1660
70,76,85,1990,11
71,76,99,1990,3
72,76,5,1990,32
73,76,57,1990,49
74,76,86,1990,386
75,76,177,1990,2
76,76,20,1990,46
77,76,100,1990,3
78,76,87,1990,844
79,76,73,1990,17
80,76,77,1990,7
81,76,162,1990,35
82,76,9,1990,7
83,76,88,1990,30
84,76,90,1990,469
85,76,75,1990,17
86,76,91,1990,392
87,76,92,1990,478
88,76,115,1990,19
89,76,65,1990,5
90,76,113,1990,9
91,76,25,1990,142
92,76,93,1990,356
93,76,94,1990,4
94,76,142,1990,12
95,76,50,1990,623
96,103,2,1990,20
97,103,51,1990,148
98,103,141,1990,229
99,103,52,1990,1
100,103,134,1990,20
101,103,66,1990,4256
102,103,13,1990,28
103,103,11,1990,1236
104,103,79,1990,16
105,103,67,1990,1151
106,103,105,1990,34359
107,103,95,1990,12
108,103,30,1990,975
109,103,29,1990,669
110,103,153,1990,51
111,103,10,1990,6
112,103,106,1990,223528
113,103,172,1990,4268
114,103,107,1990,2702
115,103,137,1990,92
116,103,96,1990,462
117,103,54,1990,2171
118,103,81,1990,1427
119,103,14,1990,103
120,103,31,1990,3946
121,103,39,1990,540
122,103,82,1990,9
123,103,83,1990,265
124,103,108,1990,999
125,103,97,1990,182
126,103,120,1990,71
127,103,40,1990,109
128,103,42,1990,156
129,103,68,1990,6463
130,103,69,1990,15674
131,103,55,1990,32
132,103,56,1990,3197
133,103,84,1990,25
134,103,98,1990,116
135,103,157,1990,1
136,103,85,1990,75
137,103,99,1990,141
138,103,173,1990,9
139,103,32,1990,3297
140,103,43,1990,18
141,103,5,1990,215
142,103,6,1990,302
143,103,16,1990,81
144,103,44,1990,143
145,103,17,1990,1466
146,103,57,1990,336040
147,103,86,1990,27
148,103,177,1990,5812
149,103,18,1990,160
150,103,121,1990,6
151,103,176,1990,31
152,103,20,1990,3248
153,103,46,1990,270
154,103,143,1990,113
155,103,70,1990,170
156,103,47,1990,1980
157,103,71,1990,213
158,103,122,1990,14
159,103,58,1990,4
160,103,100,1990,2332
161,103,72,1990,23
162,103,144,1990,466
163,103,125,1990,25
164,103,150,1990,4
165,103,73,1990,943
166,103,77,1990,1
167,103,101,1990,145
168,103,162,1990,93
169,103,48,1990,129
170,103,9,1990,10
171,103,102,1990,376
172,103,111,1990,257243
173,103,112,1990,16366
174,103,179,1990,128
175,103,33,1990,29520
176,103,61,1990,13551
177,103,88,1990,210
178,103,35,1990,3713
179,103,36,1990,5016
180,103,62,1990,37
181,103,23,1990,175
182,103,1,1990,11
183,103,64,1990,1783
184,103,128,1990,4
185,103,115,1990,278
186,103,133,1990,3
187,103,65,1990,229535
188,103,145,1990,18
189,103,113,1990,11
190,103,49,1990,566
191,103,74,1990,2175
192,103,25,1990,4931
193,103,93,1990,75
194,103,146,1990,99
195,103,26,1990,2498
196,103,130,1990,1
197,103,38,1990,3583
198,103,60,1990,13164
199,103,142,1990,522
200,103,50,1990,2391
201,103,131,1990,1
202,103,152,1990,26
203,103,114,1990,136906
204,103,132,1990,1
205,11,12,1990,464459
206,11,29,1990,1280
207,11,15,1990,1646
208,11,69,1990,660
209,11,56,1990,5612
210,11,6,1990,9654
211,11,16,1990,0
212,11,167,1990,787
213,11,20,1990,1129
214,11,36,1990,62218
215,11,25,1990,3225
216,11,26,1990,1956
217,11,170,1990,820
218,11,38,1990,10066
219,11,171,1990,1150
220,77,172,1990,247
221,77,107,1990,1849
222,77,82,1990,143
223,77,83,1990,2042
224,77,84,1990,294
225,77,110,1990,107
226,77,85,1990,320
227,77,5,1990,39
228,77,86,1990,162
229,77,73,1990,2096
230,77,101,1990,19
231,77,112,1990,141
232,77,179,1990,217
233,77,61,1990,177
234,77,92,1990,225
235,77,113,1990,721
236,77,26,1990,115
237,66,2,1990,4748
238,66,51,1990,1733
239,66,141,1990,711
240,66,52,1990,1
241,66,134,1990,188
242,66,76,1990,4
243,66,103,1990,839
244,66,11,1990,1681
245,66,77,1990,0
246,66,12,1990,592
247,66,78,1990,13
248,66,13,1990,12
249,66,3,1990,1508
250,66,79,1990,12
251,66,29,1990,918
252,66,67,1990,1418
253,66,95,1990,22
254,66,151,1990,44
255,66,4,1990,14
256,66,53,1990,92349
257,66,147,1990,15
258,66,105,1990,2857
259,66,30,1990,8666
260,66,152,1990,67
261,66,116,1990,53
262,66,153,1990,22
263,66,135,1990,360
264,66,80,1990,0
265,66,136,1990,7
266,66,106,1990,693
267,66,172,1990,9703
268,66,173,1990,154
269,66,174,1990,9
270,66,107,1990,864
271,66,117,1990,0
272,66,137,1990,252
273,66,96,1990,99
274,66,54,1990,43774
275,66,81,1990,485
276,66,14,1990,178
277,66,31,1990,30293
