indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,16,american samoa,as,1,1950,-47.0
total net number of migrants,16,american samoa,as,2,1951,-544.0
total net number of migrants,16,american samoa,as,3,1952,-582.0
total net number of migrants,16,american samoa,as,4,1953,-596.0
total net number of migrants,16,american samoa,as,5,1954,-616.0
total net number of migrants,16,american samoa,as,6,1955,-618.0
total net number of migrants,16,american samoa,as,7,1956,-607.0
total net number of migrants,16,american samoa,as,8,1957,-715.0
total net number of migrants,16,american samoa,as,9,1958,-748.0
total net number of migrants,16,american samoa,as,10,1959,-753.0
total net number of migrants,16,american samoa,as,11,1960,-260.0
total net number of migrants,16,american samoa,as,12,1961,-93.0
total net number of migrants,16,american samoa,as,13,1962,-97.0
total net number of migrants,16,american samoa,as,14,1963,-96.0
total net number of migrants,16,american samoa,as,15,1964,-97.0
total net number of migrants,16,american samoa,as,16,1965,-90.0
total net number of migrants,16,american samoa,as,17,1966,-42.0
total net number of migrants,16,american samoa,as,18,1967,-124.0
total net number of migrants,16,american samoa,as,19,1968,-69.0
total net number of migrants,16,american samoa,as,20,1969,-77.0
total net number of migrants,16,american samoa,as,21,1970,-308.0
total net number of migrants,16,american samoa,as,22,1971,-399.0
total net number of migrants,16,american samoa,as,23,1972,-405.0
total net number of migrants,16,american samoa,as,24,1973,-415.0
total net number of migrants,16,american samoa,as,25,1974,-376.0
total net number of migrants,16,american samoa,as,26,1975,-249.0
total net number of migrants,16,american samoa,as,27,1976,-267.0
total net number of migrants,16,american samoa,as,28,1977,-282.0
total net number of migrants,16,american samoa,as,29,1978,-294.0
total net number of migrants,16,american samoa,as,30,1979,-307.0
total net number of migrants,16,american samoa,as,31,1980,115.0
total net number of migrants,16,american samoa,as,32,1981,292.0
total net number of migrants,16,american samoa,as,33,1982,317.0
total net number of migrants,16,american samoa,as,34,1983,343.0
total net number of migrants,16,american samoa,as,35,1984,347.0
total net number of migrants,16,american samoa,as,36,1985,351.0
total net number of migrants,16,american samoa,as,37,1986,355.0
total net number of migrants,16,american samoa,as,38,1987,354.0
total net number of migrants,16,american samoa,as,39,1988,355.0
total net number of migrants,16,american samoa,as,40,1989,342.0
total net number of migrants,16,american samoa,as,41,1990,-251.0
total net number of migrants,16,american samoa,as,42,1991,-505.0
total net number of migrants,16,american samoa,as,43,1992,-516.0
total net number of migrants,16,american samoa,as,44,1993,-522.0
total net number of migrants,16,american samoa,as,45,1994,-476.0
total net number of migrants,16,american samoa,as,46,1995,-419.0
total net number of migrants,16,american samoa,as,47,1996,-385.0
total net number of migrants,16,american samoa,as,48,1997,-405.0
total net number of migrants,16,american samoa,as,49,1998,-451.0
total net number of migrants,16,american samoa,as,50,1999,-452.0
total net number of migrants,16,american samoa,as,51,2000,-1158.0
total net number of migrants,16,american samoa,as,52,2001,-1503.0
total net number of migrants,16,american samoa,as,53,2002,-1583.0
total net number of migrants,16,american samoa,as,54,2003,-1647.0
total net number of migrants,16,american samoa,as,55,2004,-1701.0
total net number of migrants,16,american samoa,as,56,2005,-1697.0
total net number of migrants,16,american samoa,as,57,2006,-1661.0
total net number of migrants,16,american samoa,as,58,2007,-1618.0
total net number of migrants,16,american samoa,as,59,2008,-1586.0
total net number of migrants,16,american samoa,as,60,2009,-1527.0
total net number of migrants,16,american samoa,as,61,2010,-1475.0
total net number of migrants,16,american samoa,as,62,2011,-1509.0
total net number of migrants,16,american samoa,as,63,2012,-1538.0
total net number of migrants,16,american samoa,as,64,2013,-1575.0
total net number of migrants,16,american samoa,as,65,2014,-1602.0
total net number of migrants,16,american samoa,as,66,2015,-1629.0
total net number of migrants,16,american samoa,as,67,2016,-1641.0
total net number of migrants,16,american samoa,as,68,2017,-1652.0
total net number of migrants,16,american samoa,as,69,2018,-1652.0
total net number of migrants,16,american samoa,as,70,2019,-1650.0
total net number of migrants,16,american samoa,as,71,2020,-1636.0
total net number of migrants,16,american samoa,as,72,2021,-1646.0
total net number of migrants,16,american samoa,as,73,2022,-810.0
total net number of migrants,16,american samoa,as,74,2023,-790.0
