indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,533,aruba,aw,1,1950,0.0
crude rate of net migration,533,aruba,aw,2,1951,44930.0
crude rate of net migration,533,aruba,aw,3,1952,3238.0
crude rate of net migration,533,aruba,aw,4,1953,3076.0
crude rate of net migration,533,aruba,aw,5,1954,2879.0
crude rate of net migration,533,aruba,aw,6,1955,3061.0
crude rate of net migration,533,aruba,aw,7,1956,3437.0
crude rate of net migration,533,aruba,aw,8,1957,3343.0
crude rate of net migration,533,aruba,aw,9,1958,3001.0
crude rate of net migration,533,aruba,aw,10,1959,2605.0
crude rate of net migration,533,aruba,aw,11,1960,0.0
crude rate of net migration,533,aruba,aw,12,1961,-10144.0
crude rate of net migration,533,aruba,aw,13,1962,-10689.0
crude rate of net migration,533,aruba,aw,14,1963,-11.18
crude rate of net migration,533,aruba,aw,15,1964,-11692.0
crude rate of net migration,533,aruba,aw,16,1965,-12279.0
crude rate of net migration,533,aruba,aw,17,1966,-12757.0
crude rate of net migration,533,aruba,aw,18,1967,-19552.0
crude rate of net migration,533,aruba,aw,19,1968,-20292.0
crude rate of net migration,533,aruba,aw,20,1969,-20949.0
crude rate of net migration,533,aruba,aw,21,1970,-21423.0
crude rate of net migration,533,aruba,aw,22,1971,-21792.0
crude rate of net migration,533,aruba,aw,23,1972,-9334.0
crude rate of net migration,533,aruba,aw,24,1973,-5275.0
crude rate of net migration,533,aruba,aw,25,1974,-4106.0
crude rate of net migration,533,aruba,aw,26,1975,-4617.0
crude rate of net migration,533,aruba,aw,27,1976,-11211.0
crude rate of net migration,533,aruba,aw,28,1977,-11482.0
crude rate of net migration,533,aruba,aw,29,1978,-11703.0
crude rate of net migration,533,aruba,aw,30,1979,-11765.0
crude rate of net migration,533,aruba,aw,31,1980,-11764.0
crude rate of net migration,533,aruba,aw,32,1981,-8.76
crude rate of net migration,533,aruba,aw,33,1982,-6.49
crude rate of net migration,533,aruba,aw,34,1983,-6246.0
crude rate of net migration,533,aruba,aw,35,1984,-8317.0
crude rate of net migration,533,aruba,aw,36,1985,-11504.0
crude rate of net migration,533,aruba,aw,37,1986,-14549.0
crude rate of net migration,533,aruba,aw,38,1987,-16148.0
crude rate of net migration,533,aruba,aw,39,1988,-13.88
crude rate of net migration,533,aruba,aw,40,1989,-2861.0
crude rate of net migration,533,aruba,aw,41,1990,13469.0
crude rate of net migration,533,aruba,aw,42,1991,29098.0
crude rate of net migration,533,aruba,aw,43,1992,18.61
crude rate of net migration,533,aruba,aw,44,1993,23233.0
crude rate of net migration,533,aruba,aw,45,1994,22.58
crude rate of net migration,533,aruba,aw,46,1995,20951.0
crude rate of net migration,533,aruba,aw,47,1996,20815.0
crude rate of net migration,533,aruba,aw,48,1997,20438.0
crude rate of net migration,533,aruba,aw,49,1998,21411.0
crude rate of net migration,533,aruba,aw,50,1999,21282.0
crude rate of net migration,533,aruba,aw,51,2000,13964.0
crude rate of net migration,533,aruba,aw,52,2001,6195.0
crude rate of net migration,533,aruba,aw,53,2002,3822.0
crude rate of net migration,533,aruba,aw,54,2003,3502.0
crude rate of net migration,533,aruba,aw,55,2004,3374.0
crude rate of net migration,533,aruba,aw,56,2005,6146.0
crude rate of net migration,533,aruba,aw,57,2006,5968.0
crude rate of net migration,533,aruba,aw,58,2007,6437.0
crude rate of net migration,533,aruba,aw,59,2008,30103.0
crude rate of net migration,533,aruba,aw,60,2009,7113.0
crude rate of net migration,533,aruba,aw,61,2010,4977.0
crude rate of net migration,533,aruba,aw,62,2011,3115.0
crude rate of net migration,533,aruba,aw,63,2012,2245.0
crude rate of net migration,533,aruba,aw,64,2013,1303.0
crude rate of net migration,533,aruba,aw,65,2014,849.0
crude rate of net migration,533,aruba,aw,66,2015,1698.0
crude rate of net migration,533,aruba,aw,67,2016,1621.0
crude rate of net migration,533,aruba,aw,68,2017,2069.0
crude rate of net migration,533,aruba,aw,69,2018,17227.0
crude rate of net migration,533,aruba,aw,70,2019,3879.0
crude rate of net migration,533,aruba,aw,71,2020,0.0
crude rate of net migration,533,aruba,aw,72,2021,4715.0
crude rate of net migration,533,aruba,aw,73,2022,1542.0
crude rate of net migration,533,aruba,aw,74,2023,1478.0
