indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,36,australia,au,1,1950,17968
crude rate of net migration,36,australia,au,2,1951,14148
crude rate of net migration,36,australia,au,3,1952,9058
crude rate of net migration,36,australia,au,4,1953,6158
crude rate of net migration,36,australia,au,5,1954,8187
crude rate of net migration,36,australia,au,6,1955,10474
crude rate of net migration,36,australia,au,7,1956,10159
crude rate of net migration,36,australia,au,8,1957,7939
crude rate of net migration,36,australia,au,9,1958,7406
crude rate of net migration,36,australia,au,10,1959,8141
crude rate of net migration,36,australia,au,11,1960,8453
crude rate of net migration,36,australia,au,12,1961,6145
crude rate of net migration,36,australia,au,13,1962,5436
crude rate of net migration,36,australia,au,14,1963,6744
crude rate of net migration,36,australia,au,15,1964,8226
crude rate of net migration,36,australia,au,16,1965,10503
crude rate of net migration,36,australia,au,17,1966,9555
crude rate of net migration,36,australia,au,18,1967,6887
crude rate of net migration,36,australia,au,19,1968,8508
crude rate of net migration,36,australia,au,20,1969,8981
crude rate of net migration,36,australia,au,21,1970,20742
crude rate of net migration,36,australia,au,22,1971,17566
crude rate of net migration,36,australia,au,23,1972,4201
crude rate of net migration,36,australia,au,24,1973,4739
crude rate of net migration,36,australia,au,25,1974,4562
crude rate of net migration,36,australia,au,26,1975,2244
crude rate of net migration,36,australia,au,27,1976,2325
crude rate of net migration,36,australia,au,28,1977,3206
crude rate of net migration,36,australia,au,29,1978,"3,21"
crude rate of net migration,36,australia,au,30,1979,3567
crude rate of net migration,36,australia,au,31,1980,5901
crude rate of net migration,36,australia,au,32,1981,7972
crude rate of net migration,36,australia,au,33,1982,7118
crude rate of net migration,36,australia,au,34,1983,4181
crude rate of net migration,36,australia,au,35,1984,4793
crude rate of net migration,36,australia,au,36,1985,5583
crude rate of net migration,36,australia,au,37,1986,6835
crude rate of net migration,36,australia,au,38,1987,8128
crude rate of net migration,36,australia,au,39,1988,9152
crude rate of net migration,36,australia,au,40,1989,8379
crude rate of net migration,36,australia,au,41,1990,5646
crude rate of net migration,36,australia,au,42,1991,3996
crude rate of net migration,36,australia,au,43,1992,1957
crude rate of net migration,36,australia,au,44,1993,1329
crude rate of net migration,36,australia,au,45,1994,3017
crude rate of net migration,36,australia,au,46,1995,4439
crude rate of net migration,36,australia,au,47,1996,4556
crude rate of net migration,36,australia,au,48,1997,"3,66"
crude rate of net migration,36,australia,au,49,1998,3883
crude rate of net migration,36,australia,au,50,1999,4532
crude rate of net migration,36,australia,au,51,2000,5768
crude rate of net migration,36,australia,au,52,2001,5936
crude rate of net migration,36,australia,au,53,2002,5555
crude rate of net migration,36,australia,au,54,2003,5289
crude rate of net migration,36,australia,au,55,2004,5497
crude rate of net migration,36,australia,au,56,2005,"6,57"
crude rate of net migration,36,australia,au,57,2006,9431
crude rate of net migration,36,australia,au,58,2007,12131
crude rate of net migration,36,australia,au,59,2008,13192
crude rate of net migration,36,australia,au,60,2009,10949
crude rate of net migration,36,australia,au,61,2010,7605
crude rate of net migration,36,australia,au,62,2011,8884
crude rate of net migration,36,australia,au,63,2012,10423
crude rate of net migration,36,australia,au,64,2013,9327
crude rate of net migration,36,australia,au,65,2014,8479
crude rate of net migration,36,australia,au,66,2015,8833
crude rate of net migration,36,australia,au,67,2016,"10,06"
crude rate of net migration,36,australia,au,68,2017,10008
crude rate of net migration,36,australia,au,69,2018,8857
crude rate of net migration,36,australia,au,70,2019,9345
crude rate of net migration,36,australia,au,71,2020,4605
crude rate of net migration,36,australia,au,72,2021,"4,56"
crude rate of net migration,36,australia,au,73,2022,5362
crude rate of net migration,36,australia,au,74,2023,5309
