indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,36,australia,au,1,1950,145658
total net number of migrants,36,australia,au,2,1951,118287
total net number of migrants,36,australia,au,3,1952,77859
total net number of migrants,36,australia,au,4,1953,54143
total net number of migrants,36,australia,au,5,1954,73404
total net number of migrants,36,australia,au,6,1955,95973
total net number of migrants,36,australia,au,7,1956,95318
total net number of migrants,36,australia,au,8,1957,76277
total net number of migrants,36,australia,au,9,1958,72705
total net number of migrants,36,australia,au,10,1959,81612
total net number of migrants,36,australia,au,11,1960,86587
total net number of migrants,36,australia,au,12,1961,64374
total net number of migrants,36,australia,au,13,1962,58059
total net number of migrants,36,australia,au,14,1963,73375
total net number of migrants,36,australia,au,15,1964,91169
total net number of migrants,36,australia,au,16,1965,118655
total net number of migrants,36,australia,au,17,1966,110228
total net number of migrants,36,australia,au,18,1967,81057
total net number of migrants,36,australia,au,19,1968,101914
total net number of migrants,36,australia,au,20,1969,109720
total net number of migrants,36,australia,au,21,1970,258627
total net number of migrants,36,australia,au,22,1971,226406
total net number of migrants,36,australia,au,23,1972,55760
total net number of migrants,36,australia,au,24,1973,63870
total net number of migrants,36,australia,au,25,1974,62406
total net number of migrants,36,australia,au,26,1975,31122
total net number of migrants,36,australia,au,27,1976,32600
total net number of migrants,36,australia,au,28,1977,45424
total net number of migrants,36,australia,au,29,1978,45998
total net number of migrants,36,australia,au,30,1979,51702
total net number of migrants,36,australia,au,31,1980,86522
total net number of migrants,36,australia,au,32,1981,118568
total net number of migrants,36,australia,au,33,1982,107599
total net number of migrants,36,australia,au,34,1983,64184
total net number of migrants,36,australia,au,35,1984,74485
total net number of migrants,36,australia,au,36,1985,87895
total net number of migrants,36,australia,au,37,1986,109074
total net number of migrants,36,australia,au,38,1987,131625
total net number of migrants,36,australia,au,39,1988,150553
total net number of migrants,36,australia,au,40,1989,140156
total net number of migrants,36,australia,au,41,1990,95996
total net number of migrants,36,australia,au,42,1991,68867
total net number of migrants,36,australia,au,43,1992,34149
total net number of migrants,36,australia,au,44,1993,23422
total net number of migrants,36,australia,au,45,1994,53636
total net number of migrants,36,australia,au,46,1995,79727
total net number of migrants,36,australia,au,47,1996,82770
total net number of migrants,36,australia,au,48,1997,67260
total net number of migrants,36,australia,au,49,1998,72084
total net number of migrants,36,australia,au,50,1999,85011
total net number of migrants,36,australia,au,51,2000,109375
total net number of migrants,36,australia,au,52,2001,113907
total net number of migrants,36,australia,au,53,2002,107886
total net number of migrants,36,australia,au,54,2003,103907
total net number of migrants,36,australia,au,55,2004,109226
total net number of migrants,36,australia,au,56,2005,132109
total net number of migrants,36,australia,au,57,2006,192139
total net number of migrants,36,australia,au,58,2007,251231
total net number of migrants,36,australia,au,59,2008,278516
total net number of migrants,36,australia,au,60,2009,235881
total net number of migrants,36,australia,au,61,2010,166833
total net number of migrants,36,australia,au,62,2011,197748
total net number of migrants,36,australia,au,63,2012,235719
total net number of migrants,36,australia,au,64,2013,214564
total net number of migrants,36,australia,au,65,2014,198120
total net number of migrants,36,australia,au,66,2015,209466
total net number of migrants,36,australia,au,67,2016,242184
total net number of migrants,36,australia,au,68,2017,244875
total net number of migrants,36,australia,au,69,2018,220307
total net number of migrants,36,australia,au,70,2019,235860
total net number of migrants,36,australia,au,71,2020,117929
total net number of migrants,36,australia,au,72,2021,117929
total net number of migrants,36,australia,au,73,2022,139991
total net number of migrants,36,australia,au,74,2023,139991
