indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,40,austria,at,1,1950,-24112.0
total net number of migrants,40,austria,at,2,1951,-23800.0
total net number of migrants,40,austria,at,3,1952,-17163.0
total net number of migrants,40,austria,at,4,1953,-12641.0
total net number of migrants,40,austria,at,5,1954,-11133.0
total net number of migrants,40,austria,at,6,1955,-19321.0
total net number of migrants,40,austria,at,7,1956,-22591.0
total net number of migrants,40,austria,at,8,1957,-8794.0
total net number of migrants,40,austria,at,9,1958,-12818.0
total net number of migrants,40,austria,at,10,1959,-5662.0
total net number of migrants,40,austria,at,11,1960,-2274.0
total net number of migrants,40,austria,at,12,1961,-2418.0
total net number of migrants,40,austria,at,13,1962,1277.0
total net number of migrants,40,austria,at,14,1963,4768.0
total net number of migrants,40,austria,at,15,1964,3117.0
total net number of migrants,40,austria,at,16,1965,10295.0
total net number of migrants,40,austria,at,17,1966,19045.0
total net number of migrants,40,austria,at,18,1967,21563.0
total net number of migrants,40,austria,at,19,1968,-7099.0
total net number of migrants,40,austria,at,20,1969,5671.0
total net number of migrants,40,austria,at,21,1970,10360.0
total net number of migrants,40,austria,at,22,1971,31810.0
total net number of migrants,40,austria,at,23,1972,36197.0
total net number of migrants,40,austria,at,24,1973,34319.0
total net number of migrants,40,austria,at,25,1974,-16505.0
total net number of migrants,40,austria,at,26,1975,-24472.0
total net number of migrants,40,austria,at,27,1976,7566.0
total net number of migrants,40,austria,at,28,1977,12630.0
total net number of migrants,40,austria,at,29,1978,-8381.0
total net number of migrants,40,austria,at,30,1979,-2011.0
total net number of migrants,40,austria,at,31,1980,9591.0
total net number of migrants,40,austria,at,32,1981,28738.0
total net number of migrants,40,austria,at,33,1982,-23114.0
total net number of migrants,40,austria,at,34,1983,-1899.0
total net number of migrants,40,austria,at,35,1984,2780.0
total net number of migrants,40,austria,at,36,1985,5834.0
total net number of migrants,40,austria,at,37,1986,6758.0
total net number of migrants,40,austria,at,38,1987,1839.0
total net number of migrants,40,austria,at,39,1988,14505.0
total net number of migrants,40,austria,at,40,1989,47276.0
total net number of migrants,40,austria,at,41,1990,59606.0
total net number of migrants,40,austria,at,42,1991,77195.0
total net number of migrants,40,austria,at,43,1992,71035.0
total net number of migrants,40,austria,at,44,1993,33610.0
total net number of migrants,40,austria,at,45,1994,2844.0
total net number of migrants,40,austria,at,46,1995,1447.0
total net number of migrants,40,austria,at,47,1996,3969.0
total net number of migrants,40,austria,at,48,1997,1459.0
total net number of migrants,40,austria,at,49,1998,8493.0
total net number of migrants,40,austria,at,50,1999,19768.0
total net number of migrants,40,austria,at,51,2000,17531.0
total net number of migrants,40,austria,at,52,2001,39173.0
total net number of migrants,40,austria,at,53,2002,37429.0
total net number of migrants,40,austria,at,54,2003,44003.0
total net number of migrants,40,austria,at,55,2004,54907.0
total net number of migrants,40,austria,at,56,2005,50282.0
total net number of migrants,40,austria,at,57,2006,25420.0
total net number of migrants,40,austria,at,58,2007,23729.0
total net number of migrants,40,austria,at,59,2008,25499.0
total net number of migrants,40,austria,at,60,2009,17121.0
total net number of migrants,40,austria,at,61,2010,22786.0
total net number of migrants,40,austria,at,62,2011,31665.0
total net number of migrants,40,austria,at,63,2012,44891.0
total net number of migrants,40,austria,at,64,2013,56494.0
total net number of migrants,40,austria,at,65,2014,74263.0
total net number of migrants,40,austria,at,66,2015,115125.0
total net number of migrants,40,austria,at,67,2016,66282.0
total net number of migrants,40,austria,at,68,2017,45573.0
total net number of migrants,40,austria,at,69,2018,35404.0
total net number of migrants,40,austria,at,70,2019,41105.0
total net number of migrants,40,austria,at,71,2020,20314.0
total net number of migrants,40,austria,at,72,2021,20314.0
total net number of migrants,40,austria,at,73,2022,19999.0
total net number of migrants,40,austria,at,74,2023,19999.0
