indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,31,azerbaijan,az,1,1950,-14.0
crude rate of net migration,31,azerbaijan,az,2,1951,-16.0
crude rate of net migration,31,azerbaijan,az,3,1952,-21.0
crude rate of net migration,31,azerbaijan,az,4,1953,-25.0
crude rate of net migration,31,azerbaijan,az,5,1954,-27.0
crude rate of net migration,31,azerbaijan,az,6,1955,-28.0
crude rate of net migration,31,azerbaijan,az,7,1956,-32.0
crude rate of net migration,31,azerbaijan,az,8,1957,-35.0
crude rate of net migration,31,azerbaijan,az,9,1958,-37.0
crude rate of net migration,31,azerbaijan,az,10,1959,-37.0
crude rate of net migration,31,azerbaijan,az,11,1960,-39.0
crude rate of net migration,31,azerbaijan,az,12,1961,-43.0
crude rate of net migration,31,azerbaijan,az,13,1962,-44.0
crude rate of net migration,31,azerbaijan,az,14,1963,-44.0
crude rate of net migration,31,azerbaijan,az,15,1964,-348.0
crude rate of net migration,31,azerbaijan,az,16,1965,-794.0
crude rate of net migration,31,azerbaijan,az,17,1966,-1221.0
crude rate of net migration,31,azerbaijan,az,18,1967,-1.5
crude rate of net migration,31,azerbaijan,az,19,1968,-1555.0
crude rate of net migration,31,azerbaijan,az,20,1969,-1604.0
crude rate of net migration,31,azerbaijan,az,21,1970,-1668.0
crude rate of net migration,31,azerbaijan,az,22,1971,-1728.0
crude rate of net migration,31,azerbaijan,az,23,1972,-1763.0
crude rate of net migration,31,azerbaijan,az,24,1973,-1759.0
crude rate of net migration,31,azerbaijan,az,25,1974,-1729.0
crude rate of net migration,31,azerbaijan,az,26,1975,-1688.0
crude rate of net migration,31,azerbaijan,az,27,1976,-2117.0
crude rate of net migration,31,azerbaijan,az,28,1977,-2123.0
crude rate of net migration,31,azerbaijan,az,29,1978,-2379.0
crude rate of net migration,31,azerbaijan,az,30,1979,-3808.0
crude rate of net migration,31,azerbaijan,az,31,1980,-4344.0
crude rate of net migration,31,azerbaijan,az,32,1981,-4361.0
crude rate of net migration,31,azerbaijan,az,33,1982,-4328.0
crude rate of net migration,31,azerbaijan,az,34,1983,-4278.0
crude rate of net migration,31,azerbaijan,az,35,1984,-4137.0
crude rate of net migration,31,azerbaijan,az,36,1985,-3962.0
crude rate of net migration,31,azerbaijan,az,37,1986,-3795.0
crude rate of net migration,31,azerbaijan,az,38,1987,-3649.0
crude rate of net migration,31,azerbaijan,az,39,1988,-3476.0
crude rate of net migration,31,azerbaijan,az,40,1989,-13784.0
crude rate of net migration,31,azerbaijan,az,41,1990,-3765.0
crude rate of net migration,31,azerbaijan,az,42,1991,-3348.0
crude rate of net migration,31,azerbaijan,az,43,1992,-3046.0
crude rate of net migration,31,azerbaijan,az,44,1993,-2944.0
crude rate of net migration,31,azerbaijan,az,45,1994,-4725.0
crude rate of net migration,31,azerbaijan,az,46,1995,-4804.0
crude rate of net migration,31,azerbaijan,az,47,1996,-4782.0
crude rate of net migration,31,azerbaijan,az,48,1997,-5042.0
crude rate of net migration,31,azerbaijan,az,49,1998,-5718.0
crude rate of net migration,31,azerbaijan,az,50,1999,654.0
crude rate of net migration,31,azerbaijan,az,51,2000,1948.0
crude rate of net migration,31,azerbaijan,az,52,2001,1964.0
crude rate of net migration,31,azerbaijan,az,53,2002,1802.0
crude rate of net migration,31,azerbaijan,az,54,2003,1555.0
crude rate of net migration,31,azerbaijan,az,55,2004,1577.0
crude rate of net migration,31,azerbaijan,az,56,2005,45170.0
crude rate of net migration,31,azerbaijan,az,57,2006,1931.0
crude rate of net migration,31,azerbaijan,az,58,2007,1929.0
crude rate of net migration,31,azerbaijan,az,59,2008,1673.0
crude rate of net migration,31,azerbaijan,az,60,2009,98.0
crude rate of net migration,31,azerbaijan,az,61,2010,0.15
crude rate of net migration,31,azerbaijan,az,62,2011,0.18
crude rate of net migration,31,azerbaijan,az,63,2012,0.21
crude rate of net migration,31,azerbaijan,az,64,2013,238.0
crude rate of net migration,31,azerbaijan,az,65,2014,111.0
crude rate of net migration,31,azerbaijan,az,66,2015,0.11
crude rate of net migration,31,azerbaijan,az,67,2016,149.0
crude rate of net migration,31,azerbaijan,az,68,2017,118.0
crude rate of net migration,31,azerbaijan,az,69,2018,156.0
crude rate of net migration,31,azerbaijan,az,70,2019,38.0
crude rate of net migration,31,azerbaijan,az,71,2020,105.0
crude rate of net migration,31,azerbaijan,az,72,2021,105.0
crude rate of net migration,31,azerbaijan,az,73,2022,0.0
crude rate of net migration,31,azerbaijan,az,74,2023,0.0
