indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,44,bahamas,bs,1,1950,-14804.0
crude rate of net migration,44,bahamas,bs,2,1951,-9675.0
crude rate of net migration,44,bahamas,bs,3,1952,-4587.0
crude rate of net migration,44,bahamas,bs,4,1953,46.0
crude rate of net migration,44,bahamas,bs,5,1954,4789.0
crude rate of net migration,44,bahamas,bs,6,1955,8569.0
crude rate of net migration,44,bahamas,bs,7,1956,33909.0
crude rate of net migration,44,bahamas,bs,8,1957,14.53
crude rate of net migration,44,bahamas,bs,9,1958,16546.0
crude rate of net migration,44,bahamas,bs,10,1959,18508.0
crude rate of net migration,44,bahamas,bs,11,1960,20166.0
crude rate of net migration,44,bahamas,bs,12,1961,21411.0
crude rate of net migration,44,bahamas,bs,13,1962,21.82
crude rate of net migration,44,bahamas,bs,14,1963,21406.0
crude rate of net migration,44,bahamas,bs,15,1964,15442.0
crude rate of net migration,44,bahamas,bs,16,1965,17366.0
crude rate of net migration,44,bahamas,bs,17,1966,18823.0
crude rate of net migration,44,bahamas,bs,18,1967,19979.0
crude rate of net migration,44,bahamas,bs,19,1968,20.84
crude rate of net migration,44,bahamas,bs,20,1969,17925.0
crude rate of net migration,44,bahamas,bs,21,1970,8513.0
crude rate of net migration,44,bahamas,bs,22,1971,4494.0
crude rate of net migration,44,bahamas,bs,23,1972,1629.0
crude rate of net migration,44,bahamas,bs,24,1973,682.0
crude rate of net migration,44,bahamas,bs,25,1974,875.0
crude rate of net migration,44,bahamas,bs,26,1975,1602.0
crude rate of net migration,44,bahamas,bs,27,1976,13547.0
crude rate of net migration,44,bahamas,bs,28,1977,2792.0
crude rate of net migration,44,bahamas,bs,29,1978,2608.0
crude rate of net migration,44,bahamas,bs,30,1979,43497.0
crude rate of net migration,44,bahamas,bs,31,1980,23743.0
crude rate of net migration,44,bahamas,bs,32,1981,579.0
crude rate of net migration,44,bahamas,bs,33,1982,724.0
crude rate of net migration,44,bahamas,bs,34,1983,1036.0
crude rate of net migration,44,bahamas,bs,35,1984,1261.0
crude rate of net migration,44,bahamas,bs,36,1985,1913.0
crude rate of net migration,44,bahamas,bs,37,1986,1565.0
crude rate of net migration,44,bahamas,bs,38,1987,1296.0
crude rate of net migration,44,bahamas,bs,39,1988,22282.0
crude rate of net migration,44,bahamas,bs,40,1989,1987.0
crude rate of net migration,44,bahamas,bs,41,1990,891.0
crude rate of net migration,44,bahamas,bs,42,1991,1507.0
crude rate of net migration,44,bahamas,bs,43,1992,1546.0
crude rate of net migration,44,bahamas,bs,44,1993,1556.0
crude rate of net migration,44,bahamas,bs,45,1994,20455.0
crude rate of net migration,44,bahamas,bs,46,1995,1547.0
crude rate of net migration,44,bahamas,bs,47,1996,45047.0
crude rate of net migration,44,bahamas,bs,48,1997,1445.0
crude rate of net migration,44,bahamas,bs,49,1998,1403.0
crude rate of net migration,44,bahamas,bs,50,1999,1332.0
crude rate of net migration,44,bahamas,bs,51,2000,2597.0
crude rate of net migration,44,bahamas,bs,52,2001,889.0
crude rate of net migration,44,bahamas,bs,53,2002,1901.0
crude rate of net migration,44,bahamas,bs,54,2003,2815.0
crude rate of net migration,44,bahamas,bs,55,2004,3011.0
crude rate of net migration,44,bahamas,bs,56,2005,2303.0
crude rate of net migration,44,bahamas,bs,57,2006,4943.0
crude rate of net migration,44,bahamas,bs,58,2007,4847.0
crude rate of net migration,44,bahamas,bs,59,2008,4079.0
crude rate of net migration,44,bahamas,bs,60,2009,4405.0
crude rate of net migration,44,bahamas,bs,61,2010,5106.0
crude rate of net migration,44,bahamas,bs,62,2011,24532.0
crude rate of net migration,44,bahamas,bs,63,2012,2747.0
crude rate of net migration,44,bahamas,bs,64,2013,2601.0
crude rate of net migration,44,bahamas,bs,65,2014,2574.0
crude rate of net migration,44,bahamas,bs,66,2015,2553.0
crude rate of net migration,44,bahamas,bs,67,2016,2532.0
crude rate of net migration,44,bahamas,bs,68,2017,2512.0
crude rate of net migration,44,bahamas,bs,69,2018,2494.0
crude rate of net migration,44,bahamas,bs,70,2019,2477.0
crude rate of net migration,44,bahamas,bs,71,2020,0.0
crude rate of net migration,44,bahamas,bs,72,2021,43466.0
crude rate of net migration,44,bahamas,bs,73,2022,2442.0
crude rate of net migration,44,bahamas,bs,74,2023,2426.0
