indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,50,bangladesh,bd,1,1950,209.0
crude rate of net migration,50,bangladesh,bd,2,1951,336.0
crude rate of net migration,50,bangladesh,bd,3,1952,-0.07
crude rate of net migration,50,bangladesh,bd,4,1953,-1075.0
crude rate of net migration,50,bangladesh,bd,5,1954,-706.0
crude rate of net migration,50,bangladesh,bd,6,1955,-692.0
crude rate of net migration,50,bangladesh,bd,7,1956,-673.0
crude rate of net migration,50,bangladesh,bd,8,1957,-828.0
crude rate of net migration,50,bangladesh,bd,9,1958,-2269.0
crude rate of net migration,50,bangladesh,bd,10,1959,-0.27
crude rate of net migration,50,bangladesh,bd,11,1960,269.0
crude rate of net migration,50,bangladesh,bd,12,1961,511.0
crude rate of net migration,50,bangladesh,bd,13,1962,496.0
crude rate of net migration,50,bangladesh,bd,14,1963,421.0
crude rate of net migration,50,bangladesh,bd,15,1964,448.0
crude rate of net migration,50,bangladesh,bd,16,1965,814.0
crude rate of net migration,50,bangladesh,bd,17,1966,62.0
crude rate of net migration,50,bangladesh,bd,18,1967,373.0
crude rate of net migration,50,bangladesh,bd,19,1968,-249.0
crude rate of net migration,50,bangladesh,bd,20,1969,-2008.0
crude rate of net migration,50,bangladesh,bd,21,1970,-2855.0
crude rate of net migration,50,bangladesh,bd,22,1971,-4232.0
crude rate of net migration,50,bangladesh,bd,23,1972,-4773.0
crude rate of net migration,50,bangladesh,bd,24,1973,-4498.0
crude rate of net migration,50,bangladesh,bd,25,1974,-4778.0
crude rate of net migration,50,bangladesh,bd,26,1975,-6661.0
crude rate of net migration,50,bangladesh,bd,27,1976,-8289.0
crude rate of net migration,50,bangladesh,bd,28,1977,-6032.0
crude rate of net migration,50,bangladesh,bd,29,1978,-6273.0
crude rate of net migration,50,bangladesh,bd,30,1979,-6032.0
crude rate of net migration,50,bangladesh,bd,31,1980,-4391.0
crude rate of net migration,50,bangladesh,bd,32,1981,-2257.0
crude rate of net migration,50,bangladesh,bd,33,1982,-1458.0
crude rate of net migration,50,bangladesh,bd,34,1983,-578.0
crude rate of net migration,50,bangladesh,bd,35,1984,-1473.0
crude rate of net migration,50,bangladesh,bd,36,1985,-2134.0
crude rate of net migration,50,bangladesh,bd,37,1986,-3504.0
crude rate of net migration,50,bangladesh,bd,38,1987,-3666.0
crude rate of net migration,50,bangladesh,bd,39,1988,-3105.0
crude rate of net migration,50,bangladesh,bd,40,1989,-2717.0
crude rate of net migration,50,bangladesh,bd,41,1990,-1866.0
crude rate of net migration,50,bangladesh,bd,42,1991,-3535.0
crude rate of net migration,50,bangladesh,bd,43,1992,-2387.0
crude rate of net migration,50,bangladesh,bd,44,1993,-2388.0
crude rate of net migration,50,bangladesh,bd,45,1994,-1852.0
crude rate of net migration,50,bangladesh,bd,46,1995,-3177.0
crude rate of net migration,50,bangladesh,bd,47,1996,-3.24
crude rate of net migration,50,bangladesh,bd,48,1997,-3192.0
crude rate of net migration,50,bangladesh,bd,49,1998,-3274.0
crude rate of net migration,50,bangladesh,bd,50,1999,-3431.0
crude rate of net migration,50,bangladesh,bd,51,2000,-3282.0
crude rate of net migration,50,bangladesh,bd,52,2001,-2636.0
crude rate of net migration,50,bangladesh,bd,53,2002,-3361.0
crude rate of net migration,50,bangladesh,bd,54,2003,-3904.0
crude rate of net migration,50,bangladesh,bd,55,2004,-3849.0
crude rate of net migration,50,bangladesh,bd,56,2005,-5069.0
crude rate of net migration,50,bangladesh,bd,57,2006,-8008.0
crude rate of net migration,50,bangladesh,bd,58,2007,-6387.0
crude rate of net migration,50,bangladesh,bd,59,2008,-9.52
crude rate of net migration,50,bangladesh,bd,60,2009,-5038.0
crude rate of net migration,50,bangladesh,bd,61,2010,-3111.0
crude rate of net migration,50,bangladesh,bd,62,2011,-2269.0
crude rate of net migration,50,bangladesh,bd,63,2012,-1.59
crude rate of net migration,50,bangladesh,bd,64,2013,-1259.0
crude rate of net migration,50,bangladesh,bd,65,2014,-1407.0
crude rate of net migration,50,bangladesh,bd,66,2015,-1814.0
crude rate of net migration,50,bangladesh,bd,67,2016,-344.0
crude rate of net migration,50,bangladesh,bd,68,2017,-1086.0
crude rate of net migration,50,bangladesh,bd,69,2018,-1974.0
crude rate of net migration,50,bangladesh,bd,70,2019,-2076.0
crude rate of net migration,50,bangladesh,bd,71,2020,-365.0
crude rate of net migration,50,bangladesh,bd,72,2021,-1.03
crude rate of net migration,50,bangladesh,bd,73,2022,-1809.0
crude rate of net migration,50,bangladesh,bd,74,2023,-1791.0
