indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,50,bangladesh,bd,1,1950,8312.0
total net number of migrants,50,bangladesh,bd,2,1951,13640.0
total net number of migrants,50,bangladesh,bd,3,1952,-2893.0
total net number of migrants,50,bangladesh,bd,4,1953,-45544.0
total net number of migrants,50,bangladesh,bd,5,1954,-30575.0
total net number of migrants,50,bangladesh,bd,6,1955,-30690.0
total net number of migrants,50,bangladesh,bd,7,1956,-30577.0
total net number of migrants,50,bangladesh,bd,8,1957,-38601.0
total net number of migrants,50,bangladesh,bd,9,1958,-108492.0
total net number of migrants,50,bangladesh,bd,10,1959,-13255.0
total net number of migrants,50,bangladesh,bd,11,1960,13584.0
total net number of migrants,50,bangladesh,bd,12,1961,26505.0
total net number of migrants,50,bangladesh,bd,13,1962,26541.0
total net number of migrants,50,bangladesh,bd,14,1963,23215.0
total net number of migrants,50,bangladesh,bd,15,1964,25430.0
total net number of migrants,50,bangladesh,bd,16,1965,47618.0
total net number of migrants,50,bangladesh,bd,17,1966,3756.0
total net number of migrants,50,bangladesh,bd,18,1967,23163.0
total net number of migrants,50,bangladesh,bd,19,1968,-15936.0
total net number of migrants,50,bangladesh,bd,20,1969,-132422.0
total net number of migrants,50,bangladesh,bd,21,1970,-193149.0
total net number of migrants,50,bangladesh,bd,22,1971,-289989.0
total net number of migrants,50,bangladesh,bd,23,1972,-331901.0
total net number of migrants,50,bangladesh,bd,24,1973,-320793.0
total net number of migrants,50,bangladesh,bd,25,1974,-349410.0
total net number of migrants,50,bangladesh,bd,26,1975,-499347.0
total net number of migrants,50,bangladesh,bd,27,1976,-635891.0
total net number of migrants,50,bangladesh,bd,28,1977,-472837.0
total net number of migrants,50,bangladesh,bd,29,1978,-503563.0
total net number of migrants,50,bangladesh,bd,30,1979,-495624.0
total net number of migrants,50,bangladesh,bd,31,1980,-369408.0
total net number of migrants,50,bangladesh,bd,32,1981,-194707.0
total net number of migrants,50,bangladesh,bd,33,1982,-129194.0
total net number of migrants,50,bangladesh,bd,34,1983,-52640.0
total net number of migrants,50,bangladesh,bd,35,1984,-137861.0
total net number of migrants,50,bangladesh,bd,36,1985,-204954.0
total net number of migrants,50,bangladesh,bd,37,1986,-344929.0
total net number of migrants,50,bangladesh,bd,38,1987,-369057.0
total net number of migrants,50,bangladesh,bd,39,1988,-319331.0
total net number of migrants,50,bangladesh,bd,40,1989,-285369.0
total net number of migrants,50,bangladesh,bd,41,1990,-200144.0
total net number of migrants,50,bangladesh,bd,42,1991,-386852.0
total net number of migrants,50,bangladesh,bd,43,1992,-265940.0
total net number of migrants,50,bangladesh,bd,44,1993,-271146.0
total net number of migrants,50,bangladesh,bd,45,1994,-214321.0
total net number of migrants,50,bangladesh,bd,46,1995,-374788.0
total net number of migrants,50,bangladesh,bd,47,1996,-389040.0
total net number of migrants,50,bangladesh,bd,48,1997,-390261.0
total net number of migrants,50,bangladesh,bd,49,1998,-407859.0
total net number of migrants,50,bangladesh,bd,50,1999,-435710.0
total net number of migrants,50,bangladesh,bd,51,2000,-424718.0
total net number of migrants,50,bangladesh,bd,52,2001,-347605.0
total net number of migrants,50,bangladesh,bd,53,2002,-451611.0
total net number of migrants,50,bangladesh,bd,54,2003,-533925.0
total net number of migrants,50,bangladesh,bd,55,2004,-535175.0
total net number of migrants,50,bangladesh,bd,56,2005,-715970.0
total net number of migrants,50,bangladesh,bd,57,2006,-1146688.0
total net number of migrants,50,bangladesh,bd,58,2007,-923456.0
total net number of migrants,50,bangladesh,bd,59,2008,-1390782.0
total net number of migrants,50,bangladesh,bd,60,2009,-740788.0
total net number of migrants,50,bangladesh,bd,61,2010,-462265.0
total net number of migrants,50,bangladesh,bd,62,2011,-341152.0
total net number of migrants,50,bangladesh,bd,63,2012,-242022.0
total net number of migrants,50,bangladesh,bd,64,2013,-194048.0
total net number of migrants,50,bangladesh,bd,65,2014,-219628.0
total net number of migrants,50,bangladesh,bd,66,2015,-286512.0
total net number of migrants,50,bangladesh,bd,67,2016,-55013.0
total net number of migrants,50,bangladesh,bd,68,2017,-175755.0
total net number of migrants,50,bangladesh,bd,69,2018,-323380.0
total net number of migrants,50,bangladesh,bd,70,2019,-344054.0
total net number of migrants,50,bangladesh,bd,71,2020,-61154.0
total net number of migrants,50,bangladesh,bd,72,2021,-174500.0
total net number of migrants,50,bangladesh,bd,73,2022,-309977.0
total net number of migrants,50,bangladesh,bd,74,2023,-309977.0
