indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,52,barbados,bb,1,1950,989.0
total net number of migrants,52,barbados,bb,2,1951,70.0
total net number of migrants,52,barbados,bb,3,1952,-799.0
total net number of migrants,52,barbados,bb,4,1953,-1606.0
total net number of migrants,52,barbados,bb,5,1954,-2335.0
total net number of migrants,52,barbados,bb,6,1955,-2943.0
total net number of migrants,52,barbados,bb,7,1956,-4050.0
total net number of migrants,52,barbados,bb,8,1957,-4040.0
total net number of migrants,52,barbados,bb,9,1958,-4020.0
total net number of migrants,52,barbados,bb,10,1959,-3793.0
total net number of migrants,52,barbados,bb,11,1960,-3850.0
total net number of migrants,52,barbados,bb,12,1961,-3760.0
total net number of migrants,52,barbados,bb,13,1962,-3676.0
total net number of migrants,52,barbados,bb,14,1963,-3571.0
total net number of migrants,52,barbados,bb,15,1964,-3428.0
total net number of migrants,52,barbados,bb,16,1965,-3243.0
total net number of migrants,52,barbados,bb,17,1966,-3052.0
total net number of migrants,52,barbados,bb,18,1967,-2852.0
total net number of migrants,52,barbados,bb,19,1968,-2649.0
total net number of migrants,52,barbados,bb,20,1969,-2355.0
total net number of migrants,52,barbados,bb,21,1970,-1995.0
total net number of migrants,52,barbados,bb,22,1971,-1705.0
total net number of migrants,52,barbados,bb,23,1972,-1480.0
total net number of migrants,52,barbados,bb,24,1973,-1417.0
total net number of migrants,52,barbados,bb,25,1974,-1348.0
total net number of migrants,52,barbados,bb,26,1975,-1256.0
total net number of migrants,52,barbados,bb,27,1976,-1182.0
total net number of migrants,52,barbados,bb,28,1977,-1143.0
total net number of migrants,52,barbados,bb,29,1978,-1176.0
total net number of migrants,52,barbados,bb,30,1979,-1296.0
total net number of migrants,52,barbados,bb,31,1980,-1410.0
total net number of migrants,52,barbados,bb,32,1981,-1517.0
total net number of migrants,52,barbados,bb,33,1982,-1563.0
total net number of migrants,52,barbados,bb,34,1983,-1563.0
total net number of migrants,52,barbados,bb,35,1984,-1547.0
total net number of migrants,52,barbados,bb,36,1985,-1548.0
total net number of migrants,52,barbados,bb,37,1986,-1599.0
total net number of migrants,52,barbados,bb,38,1987,-1659.0
total net number of migrants,52,barbados,bb,39,1988,-1721.0
total net number of migrants,52,barbados,bb,40,1989,-1680.0
total net number of migrants,52,barbados,bb,41,1990,-1295.0
total net number of migrants,52,barbados,bb,42,1991,-643.0
total net number of migrants,52,barbados,bb,43,1992,-620.0
total net number of migrants,52,barbados,bb,44,1993,-659.0
total net number of migrants,52,barbados,bb,45,1994,-687.0
total net number of migrants,52,barbados,bb,46,1995,-752.0
total net number of migrants,52,barbados,bb,47,1996,-807.0
total net number of migrants,52,barbados,bb,48,1997,-804.0
total net number of migrants,52,barbados,bb,49,1998,-756.0
total net number of migrants,52,barbados,bb,50,1999,-588.0
total net number of migrants,52,barbados,bb,51,2000,-833.0
total net number of migrants,52,barbados,bb,52,2001,-103.0
total net number of migrants,52,barbados,bb,53,2002,-121.0
total net number of migrants,52,barbados,bb,54,2003,-145.0
total net number of migrants,52,barbados,bb,55,2004,-159.0
total net number of migrants,52,barbados,bb,56,2005,-172.0
total net number of migrants,52,barbados,bb,57,2006,-160.0
total net number of migrants,52,barbados,bb,58,2007,19.0
total net number of migrants,52,barbados,bb,59,2008,296.0
total net number of migrants,52,barbados,bb,60,2009,75.0
total net number of migrants,52,barbados,bb,61,2010,-36.0
total net number of migrants,52,barbados,bb,62,2011,-54.0
total net number of migrants,52,barbados,bb,63,2012,-64.0
total net number of migrants,52,barbados,bb,64,2013,-65.0
total net number of migrants,52,barbados,bb,65,2014,-65.0
total net number of migrants,52,barbados,bb,66,2015,-65.0
total net number of migrants,52,barbados,bb,67,2016,-65.0
total net number of migrants,52,barbados,bb,68,2017,-65.0
total net number of migrants,52,barbados,bb,69,2018,-65.0
total net number of migrants,52,barbados,bb,70,2019,-65.0
total net number of migrants,52,barbados,bb,71,2020,0.0
total net number of migrants,52,barbados,bb,72,2021,-28.0
total net number of migrants,52,barbados,bb,73,2022,-80.0
total net number of migrants,52,barbados,bb,74,2023,-80.0
