indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,112,belarus,by,1,1950,-95309.0
total net number of migrants,112,belarus,by,2,1951,-80550.0
total net number of migrants,112,belarus,by,3,1952,-70331.0
total net number of migrants,112,belarus,by,4,1953,-63674.0
total net number of migrants,112,belarus,by,5,1954,-58721.0
total net number of migrants,112,belarus,by,6,1955,-54989.0
total net number of migrants,112,belarus,by,7,1956,-51103.0
total net number of migrants,112,belarus,by,8,1957,-47030.0
total net number of migrants,112,belarus,by,9,1958,-42845.0
total net number of migrants,112,belarus,by,10,1959,-38641.0
total net number of migrants,112,belarus,by,11,1960,-34548.0
total net number of migrants,112,belarus,by,12,1961,-30609.0
total net number of migrants,112,belarus,by,13,1962,-28393.0
total net number of migrants,112,belarus,by,14,1963,-26948.0
total net number of migrants,112,belarus,by,15,1964,-25036.0
total net number of migrants,112,belarus,by,16,1965,-23414.0
total net number of migrants,112,belarus,by,17,1966,-21781.0
total net number of migrants,112,belarus,by,18,1967,-19783.0
total net number of migrants,112,belarus,by,19,1968,-17591.0
total net number of migrants,112,belarus,by,20,1969,-15337.0
total net number of migrants,112,belarus,by,21,1970,-12530.0
total net number of migrants,112,belarus,by,22,1971,-10744.0
total net number of migrants,112,belarus,by,23,1972,-8455.0
total net number of migrants,112,belarus,by,24,1973,-7058.0
total net number of migrants,112,belarus,by,25,1974,-4800.0
total net number of migrants,112,belarus,by,26,1975,-3446.0
total net number of migrants,112,belarus,by,27,1976,-2332.0
total net number of migrants,112,belarus,by,28,1977,-1938.0
total net number of migrants,112,belarus,by,29,1978,-1429.0
total net number of migrants,112,belarus,by,30,1979,-2982.0
total net number of migrants,112,belarus,by,31,1980,-4143.0
total net number of migrants,112,belarus,by,32,1981,-4674.0
total net number of migrants,112,belarus,by,33,1982,-3631.0
total net number of migrants,112,belarus,by,34,1983,-2192.0
total net number of migrants,112,belarus,by,35,1984,-1048.0
total net number of migrants,112,belarus,by,36,1985,730.0
total net number of migrants,112,belarus,by,37,1986,1790.0
total net number of migrants,112,belarus,by,38,1987,2615.0
total net number of migrants,112,belarus,by,39,1988,3239.0
total net number of migrants,112,belarus,by,40,1989,3586.0
total net number of migrants,112,belarus,by,41,1990,4246.0
total net number of migrants,112,belarus,by,42,1991,4992.0
total net number of migrants,112,belarus,by,43,1992,4796.0
total net number of migrants,112,belarus,by,44,1993,5341.0
total net number of migrants,112,belarus,by,45,1994,5091.0
total net number of migrants,112,belarus,by,46,1995,3910.0
total net number of migrants,112,belarus,by,47,1996,2549.0
total net number of migrants,112,belarus,by,48,1997,-82.0
total net number of migrants,112,belarus,by,49,1998,-3171.0
total net number of migrants,112,belarus,by,50,1999,-7500.0
total net number of migrants,112,belarus,by,51,2000,-10419.0
total net number of migrants,112,belarus,by,52,2001,-12414.0
total net number of migrants,112,belarus,by,53,2002,-13520.0
total net number of migrants,112,belarus,by,54,2003,-13488.0
total net number of migrants,112,belarus,by,55,2004,-12943.0
total net number of migrants,112,belarus,by,56,2005,-11902.0
total net number of migrants,112,belarus,by,57,2006,-9732.0
total net number of migrants,112,belarus,by,58,2007,-6448.0
total net number of migrants,112,belarus,by,59,2008,-2728.0
total net number of migrants,112,belarus,by,60,2009,2166.0
total net number of migrants,112,belarus,by,61,2010,4892.0
total net number of migrants,112,belarus,by,62,2011,7578.0
total net number of migrants,112,belarus,by,63,2012,9425.0
total net number of migrants,112,belarus,by,64,2013,10496.0
total net number of migrants,112,belarus,by,65,2014,12222.0
total net number of migrants,112,belarus,by,66,2015,13681.0
total net number of migrants,112,belarus,by,67,2016,15258.0
total net number of migrants,112,belarus,by,68,2017,15937.0
total net number of migrants,112,belarus,by,69,2018,15731.0
total net number of migrants,112,belarus,by,70,2019,15082.0
total net number of migrants,112,belarus,by,71,2020,13589.0
total net number of migrants,112,belarus,by,72,2021,12961.0
total net number of migrants,112,belarus,by,73,2022,30308.0
total net number of migrants,112,belarus,by,74,2023,-4282.0
