indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,84,belize,bz,1,1950,-8311.0
crude rate of net migration,84,belize,bz,2,1951,-3.07
crude rate of net migration,84,belize,bz,3,1952,-4604.0
crude rate of net migration,84,belize,bz,4,1953,-5419.0
crude rate of net migration,84,belize,bz,5,1954,-5983.0
crude rate of net migration,84,belize,bz,6,1955,-5945.0
crude rate of net migration,84,belize,bz,7,1956,-5991.0
crude rate of net migration,84,belize,bz,8,1957,-5891.0
crude rate of net migration,84,belize,bz,9,1958,-6137.0
crude rate of net migration,84,belize,bz,10,1959,-6658.0
crude rate of net migration,84,belize,bz,11,1960,-6813.0
crude rate of net migration,84,belize,bz,12,1961,-3982.0
crude rate of net migration,84,belize,bz,13,1962,-5238.0
crude rate of net migration,84,belize,bz,14,1963,-2143.0
crude rate of net migration,84,belize,bz,15,1964,-855.0
crude rate of net migration,84,belize,bz,16,1965,382.0
crude rate of net migration,84,belize,bz,17,1966,1223.0
crude rate of net migration,84,belize,bz,18,1967,1474.0
crude rate of net migration,84,belize,bz,19,1968,846.0
crude rate of net migration,84,belize,bz,20,1969,-2005.0
crude rate of net migration,84,belize,bz,21,1970,-10645.0
crude rate of net migration,84,belize,bz,22,1971,-13648.0
crude rate of net migration,84,belize,bz,23,1972,-16097.0
crude rate of net migration,84,belize,bz,24,1973,-17372.0
crude rate of net migration,84,belize,bz,25,1974,-18481.0
crude rate of net migration,84,belize,bz,26,1975,-12343.0
crude rate of net migration,84,belize,bz,27,1976,-12888.0
crude rate of net migration,84,belize,bz,28,1977,-13437.0
crude rate of net migration,84,belize,bz,29,1978,-14024.0
crude rate of net migration,84,belize,bz,30,1979,-12914.0
crude rate of net migration,84,belize,bz,31,1980,-9256.0
crude rate of net migration,84,belize,bz,32,1981,-9484.0
crude rate of net migration,84,belize,bz,33,1982,-10373.0
crude rate of net migration,84,belize,bz,34,1983,-10063.0
crude rate of net migration,84,belize,bz,35,1984,-9437.0
crude rate of net migration,84,belize,bz,36,1985,-8989.0
crude rate of net migration,84,belize,bz,37,1986,-8894.0
crude rate of net migration,84,belize,bz,38,1987,-8744.0
crude rate of net migration,84,belize,bz,39,1988,-9034.0
crude rate of net migration,84,belize,bz,40,1989,-9468.0
crude rate of net migration,84,belize,bz,41,1990,-9765.0
crude rate of net migration,84,belize,bz,42,1991,-9061.0
crude rate of net migration,84,belize,bz,43,1992,-8555.0
crude rate of net migration,84,belize,bz,44,1993,-7823.0
crude rate of net migration,84,belize,bz,45,1994,-4034.0
crude rate of net migration,84,belize,bz,46,1995,1342.0
crude rate of net migration,84,belize,bz,47,1996,6492.0
crude rate of net migration,84,belize,bz,48,1997,9575.0
crude rate of net migration,84,belize,bz,49,1998,9612.0
crude rate of net migration,84,belize,bz,50,1999,8468.0
crude rate of net migration,84,belize,bz,51,2000,7003.0
crude rate of net migration,84,belize,bz,52,2001,7736.0
crude rate of net migration,84,belize,bz,53,2002,7753.0
crude rate of net migration,84,belize,bz,54,2003,8366.0
crude rate of net migration,84,belize,bz,55,2004,8601.0
crude rate of net migration,84,belize,bz,56,2005,8588.0
crude rate of net migration,84,belize,bz,57,2006,9043.0
crude rate of net migration,84,belize,bz,58,2007,9155.0
crude rate of net migration,84,belize,bz,59,2008,8883.0
crude rate of net migration,84,belize,bz,60,2009,8616.0
crude rate of net migration,84,belize,bz,61,2010,5119.0
crude rate of net migration,84,belize,bz,62,2011,4814.0
crude rate of net migration,84,belize,bz,63,2012,4546.0
crude rate of net migration,84,belize,bz,64,2013,4372.0
crude rate of net migration,84,belize,bz,65,2014,4129.0
crude rate of net migration,84,belize,bz,66,2015,3795.0
crude rate of net migration,84,belize,bz,67,2016,3499.0
crude rate of net migration,84,belize,bz,68,2017,3266.0
crude rate of net migration,84,belize,bz,69,2018,3106.0
crude rate of net migration,84,belize,bz,70,2019,2998.0
crude rate of net migration,84,belize,bz,71,2020,0.0
crude rate of net migration,84,belize,bz,72,2021,1443.0
crude rate of net migration,84,belize,bz,73,2022,1481.0
crude rate of net migration,84,belize,bz,74,2023,1461.0
