indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,84,belize,bz,1,1950,-578.0
total net number of migrants,84,belize,bz,2,1951,-219.0
total net number of migrants,84,belize,bz,3,1952,-339.0
total net number of migrants,84,belize,bz,4,1953,-411.0
total net number of migrants,84,belize,bz,5,1954,-467.0
total net number of migrants,84,belize,bz,6,1955,-477.0
total net number of migrants,84,belize,bz,7,1956,-494.0
total net number of migrants,84,belize,bz,8,1957,-499.0
total net number of migrants,84,belize,bz,9,1958,-534.0
total net number of migrants,84,belize,bz,10,1959,-595.0
total net number of migrants,84,belize,bz,11,1960,-625.0
total net number of migrants,84,belize,bz,12,1961,-374.0
total net number of migrants,84,belize,bz,13,1962,-505.0
total net number of migrants,84,belize,bz,14,1963,-212.0
total net number of migrants,84,belize,bz,15,1964,-87.0
total net number of migrants,84,belize,bz,16,1965,40.0
total net number of migrants,84,belize,bz,17,1966,132.0
total net number of migrants,84,belize,bz,18,1967,164.0
total net number of migrants,84,belize,bz,19,1968,97.0
total net number of migrants,84,belize,bz,20,1969,-237.0
total net number of migrants,84,belize,bz,21,1970,-1294.0
total net number of migrants,84,belize,bz,22,1971,-1692.0
total net number of migrants,84,belize,bz,23,1972,-2030.0
total net number of migrants,84,belize,bz,24,1973,-2224.0
total net number of migrants,84,belize,bz,25,1974,-2400.0
total net number of migrants,84,belize,bz,26,1975,-1625.0
total net number of migrants,84,belize,bz,27,1976,-1732.0
total net number of migrants,84,belize,bz,28,1977,-1843.0
total net number of migrants,84,belize,bz,29,1978,-1963.0
total net number of migrants,84,belize,bz,30,1979,-1844.0
total net number of migrants,84,belize,bz,31,1980,-1350.0
total net number of migrants,84,belize,bz,32,1981,-1418.0
total net number of migrants,84,belize,bz,33,1982,-1590.0
total net number of migrants,84,belize,bz,34,1983,-1579.0
total net number of migrants,84,belize,bz,35,1984,-1515.0
total net number of migrants,84,belize,bz,36,1985,-1476.0
total net number of migrants,84,belize,bz,37,1986,-1494.0
total net number of migrants,84,belize,bz,38,1987,-1502.0
total net number of migrants,84,belize,bz,39,1988,-1587.0
total net number of migrants,84,belize,bz,40,1989,-1701.0
total net number of migrants,84,belize,bz,41,1990,-1793.0
total net number of migrants,84,belize,bz,42,1991,-1698.0
total net number of migrants,84,belize,bz,43,1992,-1635.0
total net number of migrants,84,belize,bz,44,1993,-1525.0
total net number of migrants,84,belize,bz,45,1994,-802.0
total net number of migrants,84,belize,bz,46,1995,273.0
total net number of migrants,84,belize,bz,47,1996,1358.0
total net number of migrants,84,belize,bz,48,1997,2070.0
total net number of migrants,84,belize,bz,49,1998,2152.0
total net number of migrants,84,belize,bz,50,1999,1963.0
total net number of migrants,84,belize,bz,51,2000,1678.0
total net number of migrants,84,belize,bz,52,2001,1912.0
total net number of migrants,84,belize,bz,53,2002,1977.0
total net number of migrants,84,belize,bz,54,2003,2199.0
total net number of migrants,84,belize,bz,55,2004,2330.0
total net number of migrants,84,belize,bz,56,2005,2397.0
total net number of migrants,84,belize,bz,57,2006,2598.0
total net number of migrants,84,belize,bz,58,2007,2707.0
total net number of migrants,84,belize,bz,59,2008,2702.0
total net number of migrants,84,belize,bz,60,2009,2694.0
total net number of migrants,84,belize,bz,61,2010,1644.0
total net number of migrants,84,belize,bz,62,2011,1583.0
total net number of migrants,84,belize,bz,63,2012,1529.0
total net number of migrants,84,belize,bz,64,2013,1504.0
total net number of migrants,84,belize,bz,65,2014,1452.0
total net number of migrants,84,belize,bz,66,2015,1363.0
total net number of migrants,84,belize,bz,67,2016,1283.0
total net number of migrants,84,belize,bz,68,2017,1222.0
total net number of migrants,84,belize,bz,69,2018,1185.0
total net number of migrants,84,belize,bz,70,2019,1164.0
total net number of migrants,84,belize,bz,71,2020,0.0
total net number of migrants,84,belize,bz,72,2021,577.0
total net number of migrants,84,belize,bz,73,2022,600.0
total net number of migrants,84,belize,bz,74,2023,600.0
