indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,204,benin,bj,1,1950,-2028.0
crude rate of net migration,204,benin,bj,2,1951,-2015.0
crude rate of net migration,204,benin,bj,3,1952,-2.0
crude rate of net migration,204,benin,bj,4,1953,-1984.0
crude rate of net migration,204,benin,bj,5,1954,-1966.0
crude rate of net migration,204,benin,bj,6,1955,-1948.0
crude rate of net migration,204,benin,bj,7,1956,-1926.0
crude rate of net migration,204,benin,bj,8,1957,-1904.0
crude rate of net migration,204,benin,bj,9,1958,-1884.0
crude rate of net migration,204,benin,bj,10,1959,-1875.0
crude rate of net migration,204,benin,bj,11,1960,-1879.0
crude rate of net migration,204,benin,bj,12,1961,-1878.0
crude rate of net migration,204,benin,bj,13,1962,-1867.0
crude rate of net migration,204,benin,bj,14,1963,-1836.0
crude rate of net migration,204,benin,bj,15,1964,-1799.0
crude rate of net migration,204,benin,bj,16,1965,-1753.0
crude rate of net migration,204,benin,bj,17,1966,-1708.0
crude rate of net migration,204,benin,bj,18,1967,-1.67
crude rate of net migration,204,benin,bj,19,1968,-1637.0
crude rate of net migration,204,benin,bj,20,1969,-1618.0
crude rate of net migration,204,benin,bj,21,1970,-1604.0
crude rate of net migration,204,benin,bj,22,1971,-1592.0
crude rate of net migration,204,benin,bj,23,1972,-1572.0
crude rate of net migration,204,benin,bj,24,1973,-1534.0
crude rate of net migration,204,benin,bj,25,1974,-1457.0
crude rate of net migration,204,benin,bj,26,1975,-1.36
crude rate of net migration,204,benin,bj,27,1976,-1244.0
crude rate of net migration,204,benin,bj,28,1977,-1133.0
crude rate of net migration,204,benin,bj,29,1978,-1025.0
crude rate of net migration,204,benin,bj,30,1979,-0.9
crude rate of net migration,204,benin,bj,31,1980,-768.0
crude rate of net migration,204,benin,bj,32,1981,-647.0
crude rate of net migration,204,benin,bj,33,1982,-556.0
crude rate of net migration,204,benin,bj,34,1983,-503.0
crude rate of net migration,204,benin,bj,35,1984,-471.0
crude rate of net migration,204,benin,bj,36,1985,-444.0
crude rate of net migration,204,benin,bj,37,1986,-418.0
crude rate of net migration,204,benin,bj,38,1987,-385.0
crude rate of net migration,204,benin,bj,39,1988,-387.0
crude rate of net migration,204,benin,bj,40,1989,-64.0
crude rate of net migration,204,benin,bj,41,1990,-66.0
crude rate of net migration,204,benin,bj,42,1991,0.0
crude rate of net migration,204,benin,bj,43,1992,-27.0
crude rate of net migration,204,benin,bj,44,1993,27753.0
crude rate of net migration,204,benin,bj,45,1994,-14263.0
crude rate of net migration,204,benin,bj,46,1995,-7493.0
crude rate of net migration,204,benin,bj,47,1996,-2656.0
crude rate of net migration,204,benin,bj,48,1997,-208.0
crude rate of net migration,204,benin,bj,49,1998,312.0
crude rate of net migration,204,benin,bj,50,1999,467.0
crude rate of net migration,204,benin,bj,51,2000,477.0
crude rate of net migration,204,benin,bj,52,2001,517.0
crude rate of net migration,204,benin,bj,53,2002,0.48
crude rate of net migration,204,benin,bj,54,2003,559.0
crude rate of net migration,204,benin,bj,55,2004,529.0
crude rate of net migration,204,benin,bj,56,2005,3748.0
crude rate of net migration,204,benin,bj,57,2006,-1799.0
crude rate of net migration,204,benin,bj,58,2007,29.0
crude rate of net migration,204,benin,bj,59,2008,358.0
crude rate of net migration,204,benin,bj,60,2009,466.0
crude rate of net migration,204,benin,bj,61,2010,418.0
crude rate of net migration,204,benin,bj,62,2011,0.44
crude rate of net migration,204,benin,bj,63,2012,126.0
crude rate of net migration,204,benin,bj,64,2013,-87.0
crude rate of net migration,204,benin,bj,65,2014,345.0
crude rate of net migration,204,benin,bj,66,2015,308.0
crude rate of net migration,204,benin,bj,67,2016,0.34
crude rate of net migration,204,benin,bj,68,2017,0.32
crude rate of net migration,204,benin,bj,69,2018,282.0
crude rate of net migration,204,benin,bj,70,2019,274.0
crude rate of net migration,204,benin,bj,71,2020,137.0
crude rate of net migration,204,benin,bj,72,2021,133.0
crude rate of net migration,204,benin,bj,73,2022,-15.0
crude rate of net migration,204,benin,bj,74,2023,-15.0
