indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,204,benin,bj,1,1950,-4602.0
total net number of migrants,204,benin,bj,2,1951,-4601.0
total net number of migrants,204,benin,bj,3,1952,-4602.0
total net number of migrants,204,benin,bj,4,1953,-4602.0
total net number of migrants,204,benin,bj,5,1954,-4601.0
total net number of migrants,204,benin,bj,6,1955,-4602.0
total net number of migrants,204,benin,bj,7,1956,-4600.0
total net number of migrants,204,benin,bj,8,1957,-4600.0
total net number of migrants,204,benin,bj,9,1958,-4608.0
total net number of migrants,204,benin,bj,10,1959,-4649.0
total net number of migrants,204,benin,bj,11,1960,-4725.0
total net number of migrants,204,benin,bj,12,1961,-4797.0
total net number of migrants,204,benin,bj,13,1962,-4847.0
total net number of migrants,204,benin,bj,14,1963,-4850.0
total net number of migrants,204,benin,bj,15,1964,-4837.0
total net number of migrants,204,benin,bj,16,1965,-4800.0
total net number of migrants,204,benin,bj,17,1966,-4767.0
total net number of migrants,204,benin,bj,18,1967,-4754.0
total net number of migrants,204,benin,bj,19,1968,-4755.0
total net number of migrants,204,benin,bj,20,1969,-4795.0
total net number of migrants,204,benin,bj,21,1970,-4854.0
total net number of migrants,204,benin,bj,22,1971,-4921.0
total net number of migrants,204,benin,bj,23,1972,-4965.0
total net number of migrants,204,benin,bj,24,1973,-4954.0
total net number of migrants,204,benin,bj,25,1974,-4815.0
total net number of migrants,204,benin,bj,26,1975,-4600.0
total net number of migrants,204,benin,bj,27,1976,-4309.0
total net number of migrants,204,benin,bj,28,1977,-4020.0
total net number of migrants,204,benin,bj,29,1978,-3730.0
total net number of migrants,204,benin,bj,30,1979,-3363.0
total net number of migrants,204,benin,bj,31,1980,-2945.0
total net number of migrants,204,benin,bj,32,1981,-2551.0
total net number of migrants,204,benin,bj,33,1982,-2255.0
total net number of migrants,204,benin,bj,34,1983,-2101.0
total net number of migrants,204,benin,bj,35,1984,-2024.0
total net number of migrants,204,benin,bj,36,1985,-1965.0
total net number of migrants,204,benin,bj,37,1986,-1905.0
total net number of migrants,204,benin,bj,38,1987,-1807.0
total net number of migrants,204,benin,bj,39,1988,-1870.0
total net number of migrants,204,benin,bj,40,1989,-320.0
total net number of migrants,204,benin,bj,41,1990,-337.0
total net number of migrants,204,benin,bj,42,1991,0.0
total net number of migrants,204,benin,bj,43,1992,-148.0
total net number of migrants,204,benin,bj,44,1993,156226.0
total net number of migrants,204,benin,bj,45,1994,-85132.0
total net number of migrants,204,benin,bj,46,1995,-45474.0
total net number of migrants,204,benin,bj,47,1996,-16498.0
total net number of migrants,204,benin,bj,48,1997,-1326.0
total net number of migrants,204,benin,bj,49,1998,2054.0
total net number of migrants,204,benin,bj,50,1999,3170.0
total net number of migrants,204,benin,bj,51,2000,3337.0
total net number of migrants,204,benin,bj,52,2001,3730.0
total net number of migrants,204,benin,bj,53,2002,3568.0
total net number of migrants,204,benin,bj,54,2003,4278.0
total net number of migrants,204,benin,bj,55,2004,4173.0
total net number of migrants,204,benin,bj,56,2005,30492.0
total net number of migrants,204,benin,bj,57,2006,-15131.0
total net number of migrants,204,benin,bj,58,2007,247.0
total net number of migrants,204,benin,bj,59,2008,3192.0
total net number of migrants,204,benin,bj,60,2009,4272.0
total net number of migrants,204,benin,bj,61,2010,3947.0
total net number of migrants,204,benin,bj,62,2011,4278.0
total net number of migrants,204,benin,bj,63,2012,1267.0
total net number of migrants,204,benin,bj,64,2013,-899.0
total net number of migrants,204,benin,bj,65,2014,3667.0
total net number of migrants,204,benin,bj,66,2015,3366.0
total net number of migrants,204,benin,bj,67,2016,3827.0
total net number of migrants,204,benin,bj,68,2017,3716.0
total net number of migrants,204,benin,bj,69,2018,3368.0
total net number of migrants,204,benin,bj,70,2019,3363.0
total net number of migrants,204,benin,bj,71,2020,1732.0
total net number of migrants,204,benin,bj,72,2021,1732.0
total net number of migrants,204,benin,bj,73,2022,-200.0
total net number of migrants,204,benin,bj,74,2023,-200.0
