indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,60,bermuda,bm,1,1950,-118.0
total net number of migrants,60,bermuda,bm,2,1951,-86.0
total net number of migrants,60,bermuda,bm,3,1952,-194.0
total net number of migrants,60,bermuda,bm,4,1953,-172.0
total net number of migrants,60,bermuda,bm,5,1954,-151.0
total net number of migrants,60,bermuda,bm,6,1955,-178.0
total net number of migrants,60,bermuda,bm,7,1956,-200.0
total net number of migrants,60,bermuda,bm,8,1957,-137.0
total net number of migrants,60,bermuda,bm,9,1958,-157.0
total net number of migrants,60,bermuda,bm,10,1959,-139.0
total net number of migrants,60,bermuda,bm,11,1960,-66.0
total net number of migrants,60,bermuda,bm,12,1961,397.0
total net number of migrants,60,bermuda,bm,13,1962,371.0
total net number of migrants,60,bermuda,bm,14,1963,350.0
total net number of migrants,60,bermuda,bm,15,1964,352.0
total net number of migrants,60,bermuda,bm,16,1965,405.0
total net number of migrants,60,bermuda,bm,17,1966,501.0
total net number of migrants,60,bermuda,bm,18,1967,396.0
total net number of migrants,60,bermuda,bm,19,1968,429.0
total net number of migrants,60,bermuda,bm,20,1969,412.0
total net number of migrants,60,bermuda,bm,21,1970,240.0
total net number of migrants,60,bermuda,bm,22,1971,-298.0
total net number of migrants,60,bermuda,bm,23,1972,-346.0
total net number of migrants,60,bermuda,bm,24,1973,-367.0
total net number of migrants,60,bermuda,bm,25,1974,-360.0
total net number of migrants,60,bermuda,bm,26,1975,-339.0
total net number of migrants,60,bermuda,bm,27,1976,-369.0
total net number of migrants,60,bermuda,bm,28,1977,-340.0
total net number of migrants,60,bermuda,bm,29,1978,-339.0
total net number of migrants,60,bermuda,bm,30,1979,-432.0
total net number of migrants,60,bermuda,bm,31,1980,-158.0
total net number of migrants,60,bermuda,bm,32,1981,54.0
total net number of migrants,60,bermuda,bm,33,1982,33.0
total net number of migrants,60,bermuda,bm,34,1983,-62.0
total net number of migrants,60,bermuda,bm,35,1984,-6.0
total net number of migrants,60,bermuda,bm,36,1985,-43.0
total net number of migrants,60,bermuda,bm,37,1986,-67.0
total net number of migrants,60,bermuda,bm,38,1987,-93.0
total net number of migrants,60,bermuda,bm,39,1988,-144.0
total net number of migrants,60,bermuda,bm,40,1989,-112.0
total net number of migrants,60,bermuda,bm,41,1990,-96.0
total net number of migrants,60,bermuda,bm,42,1991,-33.0
total net number of migrants,60,bermuda,bm,43,1992,33.0
total net number of migrants,60,bermuda,bm,44,1993,-18.0
total net number of migrants,60,bermuda,bm,45,1994,-3.0
total net number of migrants,60,bermuda,bm,46,1995,-72.0
total net number of migrants,60,bermuda,bm,47,1996,-87.0
total net number of migrants,60,bermuda,bm,48,1997,-71.0
total net number of migrants,60,bermuda,bm,49,1998,-165.0
total net number of migrants,60,bermuda,bm,50,1999,-121.0
total net number of migrants,60,bermuda,bm,51,2000,-67.0
total net number of migrants,60,bermuda,bm,52,2001,-148.0
total net number of migrants,60,bermuda,bm,53,2002,-127.0
total net number of migrants,60,bermuda,bm,54,2003,-127.0
total net number of migrants,60,bermuda,bm,55,2004,-191.0
total net number of migrants,60,bermuda,bm,56,2005,-80.0
total net number of migrants,60,bermuda,bm,57,2006,-182.0
total net number of migrants,60,bermuda,bm,58,2007,-299.0
total net number of migrants,60,bermuda,bm,59,2008,-181.0
total net number of migrants,60,bermuda,bm,60,2009,-264.0
total net number of migrants,60,bermuda,bm,61,2010,-216.0
total net number of migrants,60,bermuda,bm,62,2011,-208.0
total net number of migrants,60,bermuda,bm,63,2012,-243.0
total net number of migrants,60,bermuda,bm,64,2013,-254.0
total net number of migrants,60,bermuda,bm,65,2014,-233.0
total net number of migrants,60,bermuda,bm,66,2015,-315.0
total net number of migrants,60,bermuda,bm,67,2016,0.0
total net number of migrants,60,bermuda,bm,68,2017,227.0
total net number of migrants,60,bermuda,bm,69,2018,306.0
total net number of migrants,60,bermuda,bm,70,2019,290.0
total net number of migrants,60,bermuda,bm,71,2020,291.0
total net number of migrants,60,bermuda,bm,72,2021,291.0
total net number of migrants,60,bermuda,bm,73,2022,0.0
total net number of migrants,60,bermuda,bm,74,2023,0.0
