indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,64,bhutan,bt,1,1950,5615.0
crude rate of net migration,64,bhutan,bt,2,1951,6062.0
crude rate of net migration,64,bhutan,bt,3,1952,5939.0
crude rate of net migration,64,bhutan,bt,4,1953,6361.0
crude rate of net migration,64,bhutan,bt,5,1954,6223.0
crude rate of net migration,64,bhutan,bt,6,1955,6622.0
crude rate of net migration,64,bhutan,bt,7,1956,17319.0
crude rate of net migration,64,bhutan,bt,8,1957,6803.0
crude rate of net migration,64,bhutan,bt,9,1958,6639.0
crude rate of net migration,64,bhutan,bt,10,1959,6924.0
crude rate of net migration,64,bhutan,bt,11,1960,6751.0
crude rate of net migration,64,bhutan,bt,12,1961,7043.0
crude rate of net migration,64,bhutan,bt,13,1962,9027.0
crude rate of net migration,64,bhutan,bt,14,1963,8768.0
crude rate of net migration,64,bhutan,bt,15,1964,8921.0
crude rate of net migration,64,bhutan,bt,16,1965,45116.0
crude rate of net migration,64,bhutan,bt,17,1966,9178.0
crude rate of net migration,64,bhutan,bt,18,1967,9236.0
crude rate of net migration,64,bhutan,bt,19,1968,9313.0
crude rate of net migration,64,bhutan,bt,20,1969,9375.0
crude rate of net migration,64,bhutan,bt,21,1970,9073.0
crude rate of net migration,64,bhutan,bt,22,1971,8779.0
crude rate of net migration,64,bhutan,bt,23,1972,8495.0
crude rate of net migration,64,bhutan,bt,24,1973,8219.0
crude rate of net migration,64,bhutan,bt,25,1974,7952.0
crude rate of net migration,64,bhutan,bt,26,1975,7693.0
crude rate of net migration,64,bhutan,bt,27,1976,7442.0
crude rate of net migration,64,bhutan,bt,28,1977,7198.0
crude rate of net migration,64,bhutan,bt,29,1978,6963.0
crude rate of net migration,64,bhutan,bt,30,1979,6224.0
crude rate of net migration,64,bhutan,bt,31,1980,5561.0
crude rate of net migration,64,bhutan,bt,32,1981,4906.0
crude rate of net migration,64,bhutan,bt,33,1982,4301.0
crude rate of net migration,64,bhutan,bt,34,1983,42826.0
crude rate of net migration,64,bhutan,bt,35,1984,3814.0
crude rate of net migration,64,bhutan,bt,36,1985,3506.0
crude rate of net migration,64,bhutan,bt,37,1986,3198.0
crude rate of net migration,64,bhutan,bt,38,1987,2901.0
crude rate of net migration,64,bhutan,bt,39,1988,2449.0
crude rate of net migration,64,bhutan,bt,40,1989,2187.0
crude rate of net migration,64,bhutan,bt,41,1990,-1782.0
crude rate of net migration,64,bhutan,bt,42,1991,-15728.0
crude rate of net migration,64,bhutan,bt,43,1992,-109096.0
crude rate of net migration,64,bhutan,bt,44,1993,-26527.0
crude rate of net migration,64,bhutan,bt,45,1994,-18995.0
crude rate of net migration,64,bhutan,bt,46,1995,-2834.0
crude rate of net migration,64,bhutan,bt,47,1996,-3711.0
crude rate of net migration,64,bhutan,bt,48,1997,-3.64
crude rate of net migration,64,bhutan,bt,49,1998,884.0
crude rate of net migration,64,bhutan,bt,50,1999,10084.0
crude rate of net migration,64,bhutan,bt,51,2000,10391.0
crude rate of net migration,64,bhutan,bt,52,2001,9996.0
crude rate of net migration,64,bhutan,bt,53,2002,9767.0
crude rate of net migration,64,bhutan,bt,54,2003,23255.0
crude rate of net migration,64,bhutan,bt,55,2004,8645.0
crude rate of net migration,64,bhutan,bt,56,2005,2685.0
crude rate of net migration,64,bhutan,bt,57,2006,-1422.0
crude rate of net migration,64,bhutan,bt,58,2007,-1841.0
crude rate of net migration,64,bhutan,bt,59,2008,-2026.0
crude rate of net migration,64,bhutan,bt,60,2009,-1824.0
crude rate of net migration,64,bhutan,bt,61,2010,-1685.0
crude rate of net migration,64,bhutan,bt,62,2011,-1318.0
crude rate of net migration,64,bhutan,bt,63,2012,-1005.0
crude rate of net migration,64,bhutan,bt,64,2013,-1001.0
crude rate of net migration,64,bhutan,bt,65,2014,-1181.0
crude rate of net migration,64,bhutan,bt,66,2015,-1574.0
crude rate of net migration,64,bhutan,bt,67,2016,-695.0
crude rate of net migration,64,bhutan,bt,68,2017,385.0
crude rate of net migration,64,bhutan,bt,69,2018,382.0
crude rate of net migration,64,bhutan,bt,70,2019,379.0
crude rate of net migration,64,bhutan,bt,71,2020,377.0
crude rate of net migration,64,bhutan,bt,72,2021,374.0
crude rate of net migration,64,bhutan,bt,73,2022,383.0
crude rate of net migration,64,bhutan,bt,74,2023,381.0
