indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,64,bhutan,bt,1,1950,987.0
total net number of migrants,64,bhutan,bt,2,1951,1087.0
total net number of migrants,64,bhutan,bt,3,1952,1087.0
total net number of migrants,64,bhutan,bt,4,1953,1189.0
total net number of migrants,64,bhutan,bt,5,1954,1189.0
total net number of migrants,64,bhutan,bt,6,1955,1294.0
total net number of migrants,64,bhutan,bt,7,1956,1294.0
total net number of migrants,64,bhutan,bt,8,1957,1393.0
total net number of migrants,64,bhutan,bt,9,1958,1393.0
total net number of migrants,64,bhutan,bt,10,1959,1489.0
total net number of migrants,64,bhutan,bt,11,1960,1489.0
total net number of migrants,64,bhutan,bt,12,1961,1594.0
total net number of migrants,64,bhutan,bt,13,1962,2098.0
total net number of migrants,64,bhutan,bt,14,1963,2098.0
total net number of migrants,64,bhutan,bt,15,1964,2198.0
total net number of migrants,64,bhutan,bt,16,1965,2303.0
total net number of migrants,64,bhutan,bt,17,1966,2403.0
total net number of migrants,64,bhutan,bt,18,1967,2495.0
total net number of migrants,64,bhutan,bt,19,1968,2597.0
total net number of migrants,64,bhutan,bt,20,1969,2700.0
total net number of migrants,64,bhutan,bt,21,1970,2700.0
total net number of migrants,64,bhutan,bt,22,1971,2700.0
total net number of migrants,64,bhutan,bt,23,1972,2700.0
total net number of migrants,64,bhutan,bt,24,1973,2700.0
total net number of migrants,64,bhutan,bt,25,1974,2700.0
total net number of migrants,64,bhutan,bt,26,1975,2700.0
total net number of migrants,64,bhutan,bt,27,1976,2700.0
total net number of migrants,64,bhutan,bt,28,1977,2700.0
total net number of migrants,64,bhutan,bt,29,1978,2700.0
total net number of migrants,64,bhutan,bt,30,1979,2495.0
total net number of migrants,64,bhutan,bt,31,1980,2303.0
total net number of migrants,64,bhutan,bt,32,1981,2098.0
total net number of migrants,64,bhutan,bt,33,1982,1898.0
total net number of migrants,64,bhutan,bt,34,1983,1898.0
total net number of migrants,64,bhutan,bt,35,1984,1790.0
total net number of migrants,64,bhutan,bt,36,1985,1696.0
total net number of migrants,64,bhutan,bt,37,1986,1594.0
total net number of migrants,64,bhutan,bt,38,1987,1489.0
total net number of migrants,64,bhutan,bt,39,1988,1294.0
total net number of migrants,64,bhutan,bt,40,1989,1189.0
total net number of migrants,64,bhutan,bt,41,1990,-996.0
total net number of migrants,64,bhutan,bt,42,1991,-9000.0
total net number of migrants,64,bhutan,bt,43,1992,-62997.0
total net number of migrants,64,bhutan,bt,44,1993,-14002.0
total net number of migrants,64,bhutan,bt,45,1994,-9996.0
total net number of migrants,64,bhutan,bt,46,1995,-1497.0
total net number of migrants,64,bhutan,bt,47,1996,-1998.0
total net number of migrants,64,bhutan,bt,48,1997,-1994.0
total net number of migrants,64,bhutan,bt,49,1998,492.0
total net number of migrants,64,bhutan,bt,50,1999,5728.0
total net number of migrants,64,bhutan,bt,51,2000,6069.0
total net number of migrants,64,bhutan,bt,52,2001,5998.0
total net number of migrants,64,bhutan,bt,53,2002,6015.0
total net number of migrants,64,bhutan,bt,54,2003,6081.0
total net number of migrants,64,bhutan,bt,55,2004,5595.0
total net number of migrants,64,bhutan,bt,56,2005,1779.0
total net number of migrants,64,bhutan,bt,57,2006,-958.0
total net number of migrants,64,bhutan,bt,58,2007,-1256.0
total net number of migrants,64,bhutan,bt,59,2008,-1399.0
total net number of migrants,64,bhutan,bt,60,2009,-1274.0
total net number of migrants,64,bhutan,bt,61,2010,-1190.0
total net number of migrants,64,bhutan,bt,62,2011,-941.0
total net number of migrants,64,bhutan,bt,63,2012,-725.0
total net number of migrants,64,bhutan,bt,64,2013,-730.0
total net number of migrants,64,bhutan,bt,65,2014,-870.0
total net number of migrants,64,bhutan,bt,66,2015,-1171.0
total net number of migrants,64,bhutan,bt,67,2016,-521.0
total net number of migrants,64,bhutan,bt,68,2017,291.0
total net number of migrants,64,bhutan,bt,69,2018,291.0
total net number of migrants,64,bhutan,bt,70,2019,291.0
total net number of migrants,64,bhutan,bt,71,2020,291.0
total net number of migrants,64,bhutan,bt,72,2021,291.0
total net number of migrants,64,bhutan,bt,73,2022,300.0
total net number of migrants,64,bhutan,bt,74,2023,300.0
