indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,1,1950,-100
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,2,1951,-46
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,3,1952,-30
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,4,1953,12
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,5,1954,193
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,6,1955,-106
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,7,1956,-99
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,8,1957,-90
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,9,1958,-74
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,10,1959,-57
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,11,1960,-2
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,12,1961,14
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,13,1962,25
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,14,1963,34
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,15,1964,52
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,16,1965,77
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,17,1966,84
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,18,1967,106
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,19,1968,122
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,20,1969,126
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,21,1970,127
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,22,1971,126
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,23,1972,77
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,24,1973,26
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,25,1974,36
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,26,1975,44
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,27,1976,52
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,28,1977,52
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,29,1978,54
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,30,1979,54
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,31,1980,60
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,32,1981,0
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,33,1982,-44
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,34,1983,-45
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,35,1984,-44
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,36,1985,-40
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,37,1986,-36
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,38,1987,-27
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,39,1988,-21
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,40,1989,-7
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,41,1990,4
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,42,1991,15
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,43,1992,-1
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,44,1993,0
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,45,1994,13
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,46,1995,18
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,47,1996,29
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,48,1997,29
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,49,1998,34
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,50,1999,38
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,51,2000,57
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,52,2001,291
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,53,2002,537
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,54,2003,551
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,55,2004,567
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,56,2005,576
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,57,2006,597
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,58,2007,594
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,59,2008,610
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,60,2009,619
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,61,2010,629
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,62,2011,504
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,63,2012,484
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,64,2013,487
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,65,2014,490
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,66,2015,496
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,67,2016,531
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,68,2017,503
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,69,2018,547
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,70,2019,526
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,71,2020,541
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,72,2021,505
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,73,2022,100
total net number of migrants,535,"bonaire, sint eustatius and saba",bq,74,2023,100
