indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,70,bosnia and herzegovina,ba,1,1950,-4242.0
crude rate of net migration,70,bosnia and herzegovina,ba,2,1951,-4035.0
crude rate of net migration,70,bosnia and herzegovina,ba,3,1952,-3858.0
crude rate of net migration,70,bosnia and herzegovina,ba,4,1953,-3769.0
crude rate of net migration,70,bosnia and herzegovina,ba,5,1954,-3703.0
crude rate of net migration,70,bosnia and herzegovina,ba,6,1955,-3673.0
crude rate of net migration,70,bosnia and herzegovina,ba,7,1956,-3671.0
crude rate of net migration,70,bosnia and herzegovina,ba,8,1957,-3674.0
crude rate of net migration,70,bosnia and herzegovina,ba,9,1958,-3679.0
crude rate of net migration,70,bosnia and herzegovina,ba,10,1959,-3627.0
crude rate of net migration,70,bosnia and herzegovina,ba,11,1960,-3.58
crude rate of net migration,70,bosnia and herzegovina,ba,12,1961,-3.55
crude rate of net migration,70,bosnia and herzegovina,ba,13,1962,-3471.0
crude rate of net migration,70,bosnia and herzegovina,ba,14,1963,-3397.0
crude rate of net migration,70,bosnia and herzegovina,ba,15,1964,-3324.0
crude rate of net migration,70,bosnia and herzegovina,ba,16,1965,-3264.0
crude rate of net migration,70,bosnia and herzegovina,ba,17,1966,-3224.0
crude rate of net migration,70,bosnia and herzegovina,ba,18,1967,-3.23
crude rate of net migration,70,bosnia and herzegovina,ba,19,1968,-3234.0
crude rate of net migration,70,bosnia and herzegovina,ba,20,1969,-3279.0
crude rate of net migration,70,bosnia and herzegovina,ba,21,1970,-3344.0
crude rate of net migration,70,bosnia and herzegovina,ba,22,1971,-3416.0
crude rate of net migration,70,bosnia and herzegovina,ba,23,1972,-3.46
crude rate of net migration,70,bosnia and herzegovina,ba,24,1973,-3437.0
crude rate of net migration,70,bosnia and herzegovina,ba,25,1974,-3373.0
crude rate of net migration,70,bosnia and herzegovina,ba,26,1975,-3221.0
crude rate of net migration,70,bosnia and herzegovina,ba,27,1976,-3072.0
crude rate of net migration,70,bosnia and herzegovina,ba,28,1977,-2921.0
crude rate of net migration,70,bosnia and herzegovina,ba,29,1978,-2718.0
crude rate of net migration,70,bosnia and herzegovina,ba,30,1979,-2542.0
crude rate of net migration,70,bosnia and herzegovina,ba,31,1980,-2367.0
crude rate of net migration,70,bosnia and herzegovina,ba,32,1981,-2211.0
crude rate of net migration,70,bosnia and herzegovina,ba,33,1982,-2173.0
crude rate of net migration,70,bosnia and herzegovina,ba,34,1983,-2222.0
crude rate of net migration,70,bosnia and herzegovina,ba,35,1984,-2.37
crude rate of net migration,70,bosnia and herzegovina,ba,36,1985,-2605.0
crude rate of net migration,70,bosnia and herzegovina,ba,37,1986,-2927.0
crude rate of net migration,70,bosnia and herzegovina,ba,38,1987,-3.34
crude rate of net migration,70,bosnia and herzegovina,ba,39,1988,-3815.0
crude rate of net migration,70,bosnia and herzegovina,ba,40,1989,-4371.0
crude rate of net migration,70,bosnia and herzegovina,ba,41,1990,-5067.0
crude rate of net migration,70,bosnia and herzegovina,ba,42,1991,-5864.0
crude rate of net migration,70,bosnia and herzegovina,ba,43,1992,-97303.0
crude rate of net migration,70,bosnia and herzegovina,ba,44,1993,-44347.0
crude rate of net migration,70,bosnia and herzegovina,ba,45,1994,-41059.0
crude rate of net migration,70,bosnia and herzegovina,ba,46,1995,34.43
crude rate of net migration,70,bosnia and herzegovina,ba,47,1996,45319.0
crude rate of net migration,70,bosnia and herzegovina,ba,48,1997,19989.0
crude rate of net migration,70,bosnia and herzegovina,ba,49,1998,5934.0
crude rate of net migration,70,bosnia and herzegovina,ba,50,1999,42522.0
crude rate of net migration,70,bosnia and herzegovina,ba,51,2000,34700.0
crude rate of net migration,70,bosnia and herzegovina,ba,52,2001,2162.0
crude rate of net migration,70,bosnia and herzegovina,ba,53,2002,-3166.0
crude rate of net migration,70,bosnia and herzegovina,ba,54,2003,-6527.0
crude rate of net migration,70,bosnia and herzegovina,ba,55,2004,-16288.0
crude rate of net migration,70,bosnia and herzegovina,ba,56,2005,-9023.0
crude rate of net migration,70,bosnia and herzegovina,ba,57,2006,-9478.0
crude rate of net migration,70,bosnia and herzegovina,ba,58,2007,-16175.0
crude rate of net migration,70,bosnia and herzegovina,ba,59,2008,-17141.0
crude rate of net migration,70,bosnia and herzegovina,ba,60,2009,-17.44
crude rate of net migration,70,bosnia and herzegovina,ba,61,2010,-17497.0
crude rate of net migration,70,bosnia and herzegovina,ba,62,2011,-17198.0
crude rate of net migration,70,bosnia and herzegovina,ba,63,2012,-17921.0
crude rate of net migration,70,bosnia and herzegovina,ba,64,2013,-10186.0
crude rate of net migration,70,bosnia and herzegovina,ba,65,2014,-9951.0
crude rate of net migration,70,bosnia and herzegovina,ba,66,2015,-9595.0
crude rate of net migration,70,bosnia and herzegovina,ba,67,2016,-9207.0
crude rate of net migration,70,bosnia and herzegovina,ba,68,2017,-8876.0
crude rate of net migration,70,bosnia and herzegovina,ba,69,2018,-8538.0
crude rate of net migration,70,bosnia and herzegovina,ba,70,2019,-8254.0
crude rate of net migration,70,bosnia and herzegovina,ba,71,2020,-8062.0
crude rate of net migration,70,bosnia and herzegovina,ba,72,2021,-7878.0
crude rate of net migration,70,bosnia and herzegovina,ba,73,2022,-155.0
crude rate of net migration,70,bosnia and herzegovina,ba,74,2023,-156.0
