indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,70,bosnia and herzegovina,ba,1,1950,-11451.0
total net number of migrants,70,bosnia and herzegovina,ba,2,1951,-11071.0
total net number of migrants,70,bosnia and herzegovina,ba,3,1952,-10778.0
total net number of migrants,70,bosnia and herzegovina,ba,4,1953,-10730.0
total net number of migrants,70,bosnia and herzegovina,ba,5,1954,-10757.0
total net number of migrants,70,bosnia and herzegovina,ba,6,1955,-10886.0
total net number of migrants,70,bosnia and herzegovina,ba,7,1956,-11101.0
total net number of migrants,70,bosnia and herzegovina,ba,8,1957,-11329.0
total net number of migrants,70,bosnia and herzegovina,ba,9,1958,-11567.0
total net number of migrants,70,bosnia and herzegovina,ba,10,1959,-11629.0
total net number of migrants,70,bosnia and herzegovina,ba,11,1960,-11702.0
total net number of migrants,70,bosnia and herzegovina,ba,12,1961,-11825.0
total net number of migrants,70,bosnia and herzegovina,ba,13,1962,-11776.0
total net number of migrants,70,bosnia and herzegovina,ba,14,1963,-11732.0
total net number of migrants,70,bosnia and herzegovina,ba,15,1964,-11678.0
total net number of migrants,70,bosnia and herzegovina,ba,16,1965,-11656.0
total net number of migrants,70,bosnia and herzegovina,ba,17,1966,-11692.0
total net number of migrants,70,bosnia and herzegovina,ba,18,1967,-11882.0
total net number of migrants,70,bosnia and herzegovina,ba,19,1968,-12058.0
total net number of migrants,70,bosnia and herzegovina,ba,20,1969,-12381.0
total net number of migrants,70,bosnia and herzegovina,ba,21,1970,-12781.0
total net number of migrants,70,bosnia and herzegovina,ba,22,1971,-13206.0
total net number of migrants,70,bosnia and herzegovina,ba,23,1972,-13522.0
total net number of migrants,70,bosnia and herzegovina,ba,24,1973,-13576.0
total net number of migrants,70,bosnia and herzegovina,ba,25,1974,-13455.0
total net number of migrants,70,bosnia and herzegovina,ba,26,1975,-12973.0
total net number of migrants,70,bosnia and herzegovina,ba,27,1976,-12491.0
total net number of migrants,70,bosnia and herzegovina,ba,28,1977,-11980.0
total net number of migrants,70,bosnia and herzegovina,ba,29,1978,-11242.0
total net number of migrants,70,bosnia and herzegovina,ba,30,1979,-10601.0
total net number of migrants,70,bosnia and herzegovina,ba,31,1980,-9952.0
total net number of migrants,70,bosnia and herzegovina,ba,32,1981,-9379.0
total net number of migrants,70,bosnia and herzegovina,ba,33,1982,-9301.0
total net number of migrants,70,bosnia and herzegovina,ba,34,1983,-9595.0
total net number of migrants,70,bosnia and herzegovina,ba,35,1984,-10320.0
total net number of migrants,70,bosnia and herzegovina,ba,36,1985,-11430.0
total net number of migrants,70,bosnia and herzegovina,ba,37,1986,-12936.0
total net number of migrants,70,bosnia and herzegovina,ba,38,1987,-14854.0
total net number of migrants,70,bosnia and herzegovina,ba,39,1988,-17056.0
total net number of migrants,70,bosnia and herzegovina,ba,40,1989,-19627.0
total net number of migrants,70,bosnia and herzegovina,ba,41,1990,-22827.0
total net number of migrants,70,bosnia and herzegovina,ba,42,1991,-26480.0
total net number of migrants,70,bosnia and herzegovina,ba,43,1992,-437223.0
total net number of migrants,70,bosnia and herzegovina,ba,44,1993,-178713.0
total net number of migrants,70,bosnia and herzegovina,ba,45,1994,-157677.0
total net number of migrants,70,bosnia and herzegovina,ba,46,1995,126915.0
total net number of migrants,70,bosnia and herzegovina,ba,47,1996,173195.0
total net number of migrants,70,bosnia and herzegovina,ba,48,1997,80138.0
total net number of migrants,70,bosnia and herzegovina,ba,49,1998,24341.0
total net number of migrants,70,bosnia and herzegovina,ba,50,1999,25493.0
total net number of migrants,70,bosnia and herzegovina,ba,51,2000,8141.0
total net number of migrants,70,bosnia and herzegovina,ba,52,2001,9058.0
total net number of migrants,70,bosnia and herzegovina,ba,53,2002,-13313.0
total net number of migrants,70,bosnia and herzegovina,ba,54,2003,-27396.0
total net number of migrants,70,bosnia and herzegovina,ba,55,2004,-68032.0
total net number of migrants,70,bosnia and herzegovina,ba,56,2005,-37107.0
total net number of migrants,70,bosnia and herzegovina,ba,57,2006,-38642.0
total net number of migrants,70,bosnia and herzegovina,ba,58,2007,-65367.0
total net number of migrants,70,bosnia and herzegovina,ba,59,2008,-68177.0
total net number of migrants,70,bosnia and herzegovina,ba,60,2009,-68227.0
total net number of migrants,70,bosnia and herzegovina,ba,61,2010,-67267.0
total net number of migrants,70,bosnia and herzegovina,ba,62,2011,-64918.0
total net number of migrants,70,bosnia and herzegovina,ba,63,2012,-66436.0
total net number of migrants,70,bosnia and herzegovina,ba,64,2013,-37030.0
total net number of migrants,70,bosnia and herzegovina,ba,65,2014,-35709.0
total net number of migrants,70,bosnia and herzegovina,ba,66,2015,-33976.0
total net number of migrants,70,bosnia and herzegovina,ba,67,2016,-32195.0
total net number of migrants,70,bosnia and herzegovina,ba,68,2017,-30669.0
total net number of migrants,70,bosnia and herzegovina,ba,69,2018,-29154.0
total net number of migrants,70,bosnia and herzegovina,ba,70,2019,-27848.0
total net number of migrants,70,bosnia and herzegovina,ba,71,2020,-26857.0
total net number of migrants,70,bosnia and herzegovina,ba,72,2021,-25865.0
total net number of migrants,70,bosnia and herzegovina,ba,73,2022,-500.0
total net number of migrants,70,bosnia and herzegovina,ba,74,2023,-500.0
