indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,72,botswana,bw,1,1950,-2603.0
crude rate of net migration,72,botswana,bw,2,1951,-2852.0
crude rate of net migration,72,botswana,bw,3,1952,-3078.0
crude rate of net migration,72,botswana,bw,4,1953,-4567.0
crude rate of net migration,72,botswana,bw,5,1954,-6333.0
crude rate of net migration,72,botswana,bw,6,1955,-7749.0
crude rate of net migration,72,botswana,bw,7,1956,-8732.0
crude rate of net migration,72,botswana,bw,8,1957,-9221.0
crude rate of net migration,72,botswana,bw,9,1958,-9212.0
crude rate of net migration,72,botswana,bw,10,1959,-8894.0
crude rate of net migration,72,botswana,bw,11,1960,-8404.0
crude rate of net migration,72,botswana,bw,12,1961,-7904.0
crude rate of net migration,72,botswana,bw,13,1962,-7476.0
crude rate of net migration,72,botswana,bw,14,1963,-7254.0
crude rate of net migration,72,botswana,bw,15,1964,-7304.0
crude rate of net migration,72,botswana,bw,16,1965,-24552.0
crude rate of net migration,72,botswana,bw,17,1966,-24878.0
crude rate of net migration,72,botswana,bw,18,1967,-25.08
crude rate of net migration,72,botswana,bw,19,1968,-25203.0
crude rate of net migration,72,botswana,bw,20,1969,-25231.0
crude rate of net migration,72,botswana,bw,21,1970,-21.26
crude rate of net migration,72,botswana,bw,22,1971,-5098.0
crude rate of net migration,72,botswana,bw,23,1972,11092.0
crude rate of net migration,72,botswana,bw,24,1973,16704.0
crude rate of net migration,72,botswana,bw,25,1974,16477.0
crude rate of net migration,72,botswana,bw,26,1975,16253.0
crude rate of net migration,72,botswana,bw,27,1976,45032.0
crude rate of net migration,72,botswana,bw,28,1977,15769.0
crude rate of net migration,72,botswana,bw,29,1978,15.32
crude rate of net migration,72,botswana,bw,30,1979,14.64
crude rate of net migration,72,botswana,bw,31,1980,12932.0
crude rate of net migration,72,botswana,bw,32,1981,8819.0
crude rate of net migration,72,botswana,bw,33,1982,12816.0
crude rate of net migration,72,botswana,bw,34,1983,2253.0
crude rate of net migration,72,botswana,bw,35,1984,2555.0
crude rate of net migration,72,botswana,bw,36,1985,45171.0
crude rate of net migration,72,botswana,bw,37,1986,3189.0
crude rate of net migration,72,botswana,bw,38,1987,3355.0
crude rate of net migration,72,botswana,bw,39,1988,13210.0
crude rate of net migration,72,botswana,bw,40,1989,3247.0
crude rate of net migration,72,botswana,bw,41,1990,3094.0
crude rate of net migration,72,botswana,bw,42,1991,3022.0
crude rate of net migration,72,botswana,bw,43,1992,5018.0
crude rate of net migration,72,botswana,bw,44,1993,5034.0
crude rate of net migration,72,botswana,bw,45,1994,5045.0
crude rate of net migration,72,botswana,bw,46,1995,5072.0
crude rate of net migration,72,botswana,bw,47,1996,5069.0
crude rate of net migration,72,botswana,bw,48,1997,5043.0
crude rate of net migration,72,botswana,bw,49,1998,4966.0
crude rate of net migration,72,botswana,bw,50,1999,4845.0
crude rate of net migration,72,botswana,bw,51,2000,4625.0
crude rate of net migration,72,botswana,bw,52,2001,4219.0
crude rate of net migration,72,botswana,bw,53,2002,2769.0
crude rate of net migration,72,botswana,bw,54,2003,2608.0
crude rate of net migration,72,botswana,bw,55,2004,2562.0
crude rate of net migration,72,botswana,bw,56,2005,2523.0
crude rate of net migration,72,botswana,bw,57,2006,17930.0
crude rate of net migration,72,botswana,bw,58,2007,16834.0
crude rate of net migration,72,botswana,bw,59,2008,2404.0
crude rate of net migration,72,botswana,bw,60,2009,2125.0
crude rate of net migration,72,botswana,bw,61,2010,1704.0
crude rate of net migration,72,botswana,bw,62,2011,0.61
crude rate of net migration,72,botswana,bw,63,2012,224.0
crude rate of net migration,72,botswana,bw,64,2013,212.0
crude rate of net migration,72,botswana,bw,65,2014,504.0
crude rate of net migration,72,botswana,bw,66,2015,931.0
crude rate of net migration,72,botswana,bw,67,2016,1331.0
crude rate of net migration,72,botswana,bw,68,2017,1567.0
crude rate of net migration,72,botswana,bw,69,2018,1559.0
crude rate of net migration,72,botswana,bw,70,2019,1174.0
crude rate of net migration,72,botswana,bw,71,2020,713.0
crude rate of net migration,72,botswana,bw,72,2021,702.0
crude rate of net migration,72,botswana,bw,73,2022,1141.0
crude rate of net migration,72,botswana,bw,74,2023,1122.0
