indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,72,botswana,bw,1,1950,-1078.0
total net number of migrants,72,botswana,bw,2,1951,-1208.0
total net number of migrants,72,botswana,bw,3,1952,-1334.0
total net number of migrants,72,botswana,bw,4,1953,-2026.0
total net number of migrants,72,botswana,bw,5,1954,-2874.0
total net number of migrants,72,botswana,bw,6,1955,-3594.0
total net number of migrants,72,botswana,bw,7,1956,-4136.0
total net number of migrants,72,botswana,bw,8,1957,-4459.0
total net number of migrants,72,botswana,bw,9,1958,-4548.0
total net number of migrants,72,botswana,bw,10,1959,-4484.0
total net number of migrants,72,botswana,bw,11,1960,-4329.0
total net number of migrants,72,botswana,bw,12,1961,-4162.0
total net number of migrants,72,botswana,bw,13,1962,-4026.0
total net number of migrants,72,botswana,bw,14,1963,-3998.0
total net number of migrants,72,botswana,bw,15,1964,-4123.0
total net number of migrants,72,botswana,bw,16,1965,-14195.0
total net number of migrants,72,botswana,bw,17,1966,-14483.0
total net number of migrants,72,botswana,bw,18,1967,-14700.0
total net number of migrants,72,botswana,bw,19,1968,-14874.0
total net number of migrants,72,botswana,bw,20,1969,-14995.0
total net number of migrants,72,botswana,bw,21,1970,-12728.0
total net number of migrants,72,botswana,bw,22,1971,-3088.0
total net number of migrants,72,botswana,bw,23,1972,6914.0
total net number of migrants,72,botswana,bw,24,1973,10892.0
total net number of migrants,72,botswana,bw,25,1974,11307.0
total net number of migrants,72,botswana,bw,26,1975,11741.0
total net number of migrants,72,botswana,bw,27,1976,12202.0
total net number of migrants,72,botswana,bw,28,1977,12631.0
total net number of migrants,72,botswana,bw,29,1978,12920.0
total net number of migrants,72,botswana,bw,30,1979,12991.0
total net number of migrants,72,botswana,bw,31,1980,12064.0
total net number of migrants,72,botswana,bw,32,1981,8632.0
total net number of migrants,72,botswana,bw,33,1982,2402.0
total net number of migrants,72,botswana,bw,34,1983,2387.0
total net number of migrants,72,botswana,bw,35,1984,2805.0
total net number of migrants,72,botswana,bw,36,1985,3298.0
total net number of migrants,72,botswana,bw,37,1986,3755.0
total net number of migrants,72,botswana,bw,38,1987,4088.0
total net number of migrants,72,botswana,bw,39,1988,4231.0
total net number of migrants,72,botswana,bw,40,1989,4219.0
total net number of migrants,72,botswana,bw,41,1990,4144.0
total net number of migrants,72,botswana,bw,42,1991,4166.0
total net number of migrants,72,botswana,bw,43,1992,7113.0
total net number of migrants,72,botswana,bw,44,1993,7343.0
total net number of migrants,72,botswana,bw,45,1994,7567.0
total net number of migrants,72,botswana,bw,46,1995,7808.0
total net number of migrants,72,botswana,bw,47,1996,7999.0
total net number of migrants,72,botswana,bw,48,1997,8146.0
total net number of migrants,72,botswana,bw,49,1998,8203.0
total net number of migrants,72,botswana,bw,50,1999,8177.0
total net number of migrants,72,botswana,bw,51,2000,7970.0
total net number of migrants,72,botswana,bw,52,2001,7418.0
total net number of migrants,72,botswana,bw,53,2002,4964.0
total net number of migrants,72,botswana,bw,54,2003,4758.0
total net number of migrants,72,botswana,bw,55,2004,4758.0
total net number of migrants,72,botswana,bw,56,2005,4771.0
total net number of migrants,72,botswana,bw,57,2006,4798.0
total net number of migrants,72,botswana,bw,58,2007,4834.0
total net number of migrants,72,botswana,bw,59,2008,4820.0
total net number of migrants,72,botswana,bw,60,2009,4349.0
total net number of migrants,72,botswana,bw,61,2010,3562.0
total net number of migrants,72,botswana,bw,62,2011,1301.0
total net number of migrants,72,botswana,bw,63,2012,488.0
total net number of migrants,72,botswana,bw,64,2013,471.0
total net number of migrants,72,botswana,bw,65,2014,1138.0
total net number of migrants,72,botswana,bw,66,2015,2145.0
total net number of migrants,72,botswana,bw,67,2016,3129.0
total net number of migrants,72,botswana,bw,68,2017,3761.0
total net number of migrants,72,botswana,bw,69,2018,3819.0
total net number of migrants,72,botswana,bw,70,2019,2933.0
total net number of migrants,72,botswana,bw,71,2020,1816.0
total net number of migrants,72,botswana,bw,72,2021,1816.0
total net number of migrants,72,botswana,bw,73,2022,3000.0
total net number of migrants,72,botswana,bw,74,2023,3000.0
