indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,76,brazil,br,1,1950,669.0
crude rate of net migration,76,brazil,br,2,1951,0.67
crude rate of net migration,76,brazil,br,3,1952,602.0
crude rate of net migration,76,brazil,br,4,1953,403.0
crude rate of net migration,76,brazil,br,5,1954,558.0
crude rate of net migration,76,brazil,br,6,1955,0.65
crude rate of net migration,76,brazil,br,7,1956,778.0
crude rate of net migration,76,brazil,br,8,1957,875.0
crude rate of net migration,76,brazil,br,9,1958,604.0
crude rate of net migration,76,brazil,br,10,1959,991.0
crude rate of net migration,76,brazil,br,11,1960,703.0
crude rate of net migration,76,brazil,br,12,1961,5.0
crude rate of net migration,76,brazil,br,13,1962,31.0
crude rate of net migration,76,brazil,br,14,1963,23.0
crude rate of net migration,76,brazil,br,15,1964,34.0
crude rate of net migration,76,brazil,br,16,1965,121.0
crude rate of net migration,76,brazil,br,17,1966,-0.08
crude rate of net migration,76,brazil,br,18,1967,-3.0
crude rate of net migration,76,brazil,br,19,1968,-66.0
crude rate of net migration,76,brazil,br,20,1969,-54.0
crude rate of net migration,76,brazil,br,21,1970,-0.04
crude rate of net migration,76,brazil,br,22,1971,-142.0
crude rate of net migration,76,brazil,br,23,1972,-64.0
crude rate of net migration,76,brazil,br,24,1973,-37.0
crude rate of net migration,76,brazil,br,25,1974,-61.0
crude rate of net migration,76,brazil,br,26,1975,-72.0
crude rate of net migration,76,brazil,br,27,1976,-0.14
crude rate of net migration,76,brazil,br,28,1977,77.0
crude rate of net migration,76,brazil,br,29,1978,66.0
crude rate of net migration,76,brazil,br,30,1979,67.0
crude rate of net migration,76,brazil,br,31,1980,98.0
crude rate of net migration,76,brazil,br,32,1981,-119.0
crude rate of net migration,76,brazil,br,33,1982,-186.0
crude rate of net migration,76,brazil,br,34,1983,-137.0
crude rate of net migration,76,brazil,br,35,1984,-151.0
crude rate of net migration,76,brazil,br,36,1985,-99.0
crude rate of net migration,76,brazil,br,37,1986,-175.0
crude rate of net migration,76,brazil,br,38,1987,-157.0
crude rate of net migration,76,brazil,br,39,1988,-78.0
crude rate of net migration,76,brazil,br,40,1989,-19.0
crude rate of net migration,76,brazil,br,41,1990,43.0
crude rate of net migration,76,brazil,br,42,1991,-0.2
crude rate of net migration,76,brazil,br,43,1992,-0.13
crude rate of net migration,76,brazil,br,44,1993,-139.0
crude rate of net migration,76,brazil,br,45,1994,-72.0
crude rate of net migration,76,brazil,br,46,1995,-161.0
crude rate of net migration,76,brazil,br,47,1996,-147.0
crude rate of net migration,76,brazil,br,48,1997,-121.0
crude rate of net migration,76,brazil,br,49,1998,-131.0
crude rate of net migration,76,brazil,br,50,1999,-151.0
crude rate of net migration,76,brazil,br,51,2000,-0.01
crude rate of net migration,76,brazil,br,52,2001,19.0
crude rate of net migration,76,brazil,br,53,2002,33.0
crude rate of net migration,76,brazil,br,54,2003,-93.0
crude rate of net migration,76,brazil,br,55,2004,-29.0
crude rate of net migration,76,brazil,br,56,2005,-0.23
crude rate of net migration,76,brazil,br,57,2006,-0.18
crude rate of net migration,76,brazil,br,58,2007,-159.0
crude rate of net migration,76,brazil,br,59,2008,-184.0
crude rate of net migration,76,brazil,br,60,2009,-151.0
crude rate of net migration,76,brazil,br,61,2010,86.0
crude rate of net migration,76,brazil,br,62,2011,0.17
crude rate of net migration,76,brazil,br,63,2012,217.0
crude rate of net migration,76,brazil,br,64,2013,175.0
crude rate of net migration,76,brazil,br,65,2014,123.0
crude rate of net migration,76,brazil,br,66,2015,23.0
crude rate of net migration,76,brazil,br,67,2016,399.0
crude rate of net migration,76,brazil,br,68,2017,0.27
crude rate of net migration,76,brazil,br,69,2018,323.0
crude rate of net migration,76,brazil,br,70,2019,327.0
crude rate of net migration,76,brazil,br,71,2020,267.0
crude rate of net migration,76,brazil,br,72,2021,95.0
crude rate of net migration,76,brazil,br,73,2022,0.03
crude rate of net migration,76,brazil,br,74,2023,28.0
