indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,92,british virgin islands,vg,1,1950,-73.0
total net number of migrants,92,british virgin islands,vg,2,1951,-100.0
total net number of migrants,92,british virgin islands,vg,3,1952,-88.0
total net number of migrants,92,british virgin islands,vg,4,1953,-80.0
total net number of migrants,92,british virgin islands,vg,5,1954,-84.0
total net number of migrants,92,british virgin islands,vg,6,1955,-134.0
total net number of migrants,92,british virgin islands,vg,7,1956,-130.0
total net number of migrants,92,british virgin islands,vg,8,1957,-111.0
total net number of migrants,92,british virgin islands,vg,9,1958,-87.0
total net number of migrants,92,british virgin islands,vg,10,1959,-56.0
total net number of migrants,92,british virgin islands,vg,11,1960,-88.0
total net number of migrants,92,british virgin islands,vg,12,1961,-142.0
total net number of migrants,92,british virgin islands,vg,13,1962,-146.0
total net number of migrants,92,british virgin islands,vg,14,1963,-143.0
total net number of migrants,92,british virgin islands,vg,15,1964,-120.0
total net number of migrants,92,british virgin islands,vg,16,1965,-75.0
total net number of migrants,92,british virgin islands,vg,17,1966,-5.0
total net number of migrants,92,british virgin islands,vg,18,1967,92.0
total net number of migrants,92,british virgin islands,vg,19,1968,226.0
total net number of migrants,92,british virgin islands,vg,20,1969,400.0
total net number of migrants,92,british virgin islands,vg,21,1970,216.0
total net number of migrants,92,british virgin islands,vg,22,1971,-73.0
total net number of migrants,92,british virgin islands,vg,23,1972,-61.0
total net number of migrants,92,british virgin islands,vg,24,1973,-56.0
total net number of migrants,92,british virgin islands,vg,25,1974,-51.0
total net number of migrants,92,british virgin islands,vg,26,1975,-46.0
total net number of migrants,92,british virgin islands,vg,27,1976,-45.0
total net number of migrants,92,british virgin islands,vg,28,1977,-42.0
total net number of migrants,92,british virgin islands,vg,29,1978,-48.0
total net number of migrants,92,british virgin islands,vg,30,1979,-45.0
total net number of migrants,92,british virgin islands,vg,31,1980,126.0
total net number of migrants,92,british virgin islands,vg,32,1981,258.0
total net number of migrants,92,british virgin islands,vg,33,1982,260.0
total net number of migrants,92,british virgin islands,vg,34,1983,249.0
total net number of migrants,92,british virgin islands,vg,35,1984,284.0
total net number of migrants,92,british virgin islands,vg,36,1985,285.0
total net number of migrants,92,british virgin islands,vg,37,1986,313.0
total net number of migrants,92,british virgin islands,vg,38,1987,316.0
total net number of migrants,92,british virgin islands,vg,39,1988,339.0
total net number of migrants,92,british virgin islands,vg,40,1989,366.0
total net number of migrants,92,british virgin islands,vg,41,1990,381.0
total net number of migrants,92,british virgin islands,vg,42,1991,236.0
total net number of migrants,92,british virgin islands,vg,43,1992,192.0
total net number of migrants,92,british virgin islands,vg,44,1993,193.0
total net number of migrants,92,british virgin islands,vg,45,1994,243.0
total net number of migrants,92,british virgin islands,vg,46,1995,253.0
total net number of migrants,92,british virgin islands,vg,47,1996,262.0
total net number of migrants,92,british virgin islands,vg,48,1997,251.0
total net number of migrants,92,british virgin islands,vg,49,1998,347.0
total net number of migrants,92,british virgin islands,vg,50,1999,325.0
total net number of migrants,92,british virgin islands,vg,51,2000,326.0
total net number of migrants,92,british virgin islands,vg,52,2001,451.0
total net number of migrants,92,british virgin islands,vg,53,2002,571.0
total net number of migrants,92,british virgin islands,vg,54,2003,594.0
total net number of migrants,92,british virgin islands,vg,55,2004,596.0
total net number of migrants,92,british virgin islands,vg,56,2005,658.0
total net number of migrants,92,british virgin islands,vg,57,2006,709.0
total net number of migrants,92,british virgin islands,vg,58,2007,741.0
total net number of migrants,92,british virgin islands,vg,59,2008,801.0
total net number of migrants,92,british virgin islands,vg,60,2009,763.0
total net number of migrants,92,british virgin islands,vg,61,2010,0.0
total net number of migrants,92,british virgin islands,vg,62,2011,562.0
total net number of migrants,92,british virgin islands,vg,63,2012,122.0
total net number of migrants,92,british virgin islands,vg,64,2013,164.0
total net number of migrants,92,british virgin islands,vg,65,2014,260.0
total net number of migrants,92,british virgin islands,vg,66,2015,302.0
total net number of migrants,92,british virgin islands,vg,67,2016,275.0
total net number of migrants,92,british virgin islands,vg,68,2017,281.0
total net number of migrants,92,british virgin islands,vg,69,2018,221.0
total net number of migrants,92,british virgin islands,vg,70,2019,253.0
total net number of migrants,92,british virgin islands,vg,71,2020,272.0
total net number of migrants,92,british virgin islands,vg,72,2021,128.0
total net number of migrants,92,british virgin islands,vg,73,2022,200.0
total net number of migrants,92,british virgin islands,vg,74,2023,200.0
