indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,100,bulgaria,bg,1,1950,-893.0
crude rate of net migration,100,bulgaria,bg,2,1951,-1033.0
crude rate of net migration,100,bulgaria,bg,3,1952,-1004.0
crude rate of net migration,100,bulgaria,bg,4,1953,-911.0
crude rate of net migration,100,bulgaria,bg,5,1954,-731.0
crude rate of net migration,100,bulgaria,bg,6,1955,-482.0
crude rate of net migration,100,bulgaria,bg,7,1956,-234.0
crude rate of net migration,100,bulgaria,bg,8,1957,-191.0
crude rate of net migration,100,bulgaria,bg,9,1958,-165.0
crude rate of net migration,100,bulgaria,bg,10,1959,-149.0
crude rate of net migration,100,bulgaria,bg,11,1960,-133.0
crude rate of net migration,100,bulgaria,bg,12,1961,-89.0
crude rate of net migration,100,bulgaria,bg,13,1962,-68.0
crude rate of net migration,100,bulgaria,bg,14,1963,-4.0
crude rate of net migration,100,bulgaria,bg,15,1964,106.0
crude rate of net migration,100,bulgaria,bg,16,1965,223.0
crude rate of net migration,100,bulgaria,bg,17,1966,313.0
crude rate of net migration,100,bulgaria,bg,18,1967,0.38
crude rate of net migration,100,bulgaria,bg,19,1968,411.0
crude rate of net migration,100,bulgaria,bg,20,1969,386.0
crude rate of net migration,100,bulgaria,bg,21,1970,0.32
crude rate of net migration,100,bulgaria,bg,22,1971,228.0
crude rate of net migration,100,bulgaria,bg,23,1972,-8.0
crude rate of net migration,100,bulgaria,bg,24,1973,-347.0
crude rate of net migration,100,bulgaria,bg,25,1974,-784.0
crude rate of net migration,100,bulgaria,bg,26,1975,-1364.0
crude rate of net migration,100,bulgaria,bg,27,1976,-1827.0
crude rate of net migration,100,bulgaria,bg,28,1977,-2264.0
crude rate of net migration,100,bulgaria,bg,29,1978,-2626.0
crude rate of net migration,100,bulgaria,bg,30,1979,-2906.0
crude rate of net migration,100,bulgaria,bg,31,1980,-3119.0
crude rate of net migration,100,bulgaria,bg,32,1981,-3275.0
crude rate of net migration,100,bulgaria,bg,33,1982,-3404.0
crude rate of net migration,100,bulgaria,bg,34,1983,-3476.0
crude rate of net migration,100,bulgaria,bg,35,1984,-3561.0
crude rate of net migration,100,bulgaria,bg,36,1985,-3588.0
crude rate of net migration,100,bulgaria,bg,37,1986,-3605.0
crude rate of net migration,100,bulgaria,bg,38,1987,-3577.0
crude rate of net migration,100,bulgaria,bg,39,1988,-3541.0
crude rate of net migration,100,bulgaria,bg,40,1989,-3467.0
crude rate of net migration,100,bulgaria,bg,41,1990,-3357.0
crude rate of net migration,100,bulgaria,bg,42,1991,-3244.0
crude rate of net migration,100,bulgaria,bg,43,1992,-3126.0
crude rate of net migration,100,bulgaria,bg,44,1993,-2997.0
crude rate of net migration,100,bulgaria,bg,45,1994,-2832.0
crude rate of net migration,100,bulgaria,bg,46,1995,-2651.0
crude rate of net migration,100,bulgaria,bg,47,1996,-2417.0
crude rate of net migration,100,bulgaria,bg,48,1997,-2207.0
crude rate of net migration,100,bulgaria,bg,49,1998,-1.99
crude rate of net migration,100,bulgaria,bg,50,1999,-1719.0
crude rate of net migration,100,bulgaria,bg,51,2000,-1394.0
crude rate of net migration,100,bulgaria,bg,52,2001,-1073.0
crude rate of net migration,100,bulgaria,bg,53,2002,-769.0
crude rate of net migration,100,bulgaria,bg,54,2003,-572.0
crude rate of net migration,100,bulgaria,bg,55,2004,-528.0
crude rate of net migration,100,bulgaria,bg,56,2005,-0.49
crude rate of net migration,100,bulgaria,bg,57,2006,-512.0
crude rate of net migration,100,bulgaria,bg,58,2007,-615.0
crude rate of net migration,100,bulgaria,bg,59,2008,-739.0
crude rate of net migration,100,bulgaria,bg,60,2009,-916.0
crude rate of net migration,100,bulgaria,bg,61,2010,-1144.0
crude rate of net migration,100,bulgaria,bg,62,2011,-1492.0
crude rate of net migration,100,bulgaria,bg,63,2012,-1837.0
crude rate of net migration,100,bulgaria,bg,64,2013,-2049.0
crude rate of net migration,100,bulgaria,bg,65,2014,-2104.0
crude rate of net migration,100,bulgaria,bg,66,2015,-2099.0
crude rate of net migration,100,bulgaria,bg,67,2016,-2061.0
crude rate of net migration,100,bulgaria,bg,68,2017,-1886.0
crude rate of net migration,100,bulgaria,bg,69,2018,-1701.0
crude rate of net migration,100,bulgaria,bg,70,2019,-1621.0
crude rate of net migration,100,bulgaria,bg,71,2020,-1418.0
crude rate of net migration,100,bulgaria,bg,72,2021,-1265.0
crude rate of net migration,100,bulgaria,bg,73,2022,-708.0
crude rate of net migration,100,bulgaria,bg,74,2023,-718.0
