indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,100,bulgaria,bg,1,1950,-6394.0
total net number of migrants,100,bulgaria,bg,2,1951,-7473.0
total net number of migrants,100,bulgaria,bg,3,1952,-7328.0
total net number of migrants,100,bulgaria,bg,4,1953,-6709.0
total net number of migrants,100,bulgaria,bg,5,1954,-5439.0
total net number of migrants,100,bulgaria,bg,6,1955,-3623.0
total net number of migrants,100,bulgaria,bg,7,1956,-1777.0
total net number of migrants,100,bulgaria,bg,8,1957,-1465.0
total net number of migrants,100,bulgaria,bg,9,1958,-1279.0
total net number of migrants,100,bulgaria,bg,10,1959,-1168.0
total net number of migrants,100,bulgaria,bg,11,1960,-1050.0
total net number of migrants,100,bulgaria,bg,12,1961,-707.0
total net number of migrants,100,bulgaria,bg,13,1962,-546.0
total net number of migrants,100,bulgaria,bg,14,1963,-33.0
total net number of migrants,100,bulgaria,bg,15,1964,867.0
total net number of migrants,100,bulgaria,bg,16,1965,1838.0
total net number of migrants,100,bulgaria,bg,17,1966,2598.0
total net number of migrants,100,bulgaria,bg,18,1967,3180.0
total net number of migrants,100,bulgaria,bg,19,1968,3467.0
total net number of migrants,100,bulgaria,bg,20,1969,3287.0
total net number of migrants,100,bulgaria,bg,21,1970,2745.0
total net number of migrants,100,bulgaria,bg,22,1971,1975.0
total net number of migrants,100,bulgaria,bg,23,1972,-73.0
total net number of migrants,100,bulgaria,bg,24,1973,-3042.0
total net number of migrants,100,bulgaria,bg,25,1974,-6917.0
total net number of migrants,100,bulgaria,bg,26,1975,-12089.0
total net number of migrants,100,bulgaria,bg,27,1976,-16280.0
total net number of migrants,100,bulgaria,bg,28,1977,-20250.0
total net number of migrants,100,bulgaria,bg,29,1978,-23556.0
total net number of migrants,100,bulgaria,bg,30,1979,-26115.0
total net number of migrants,100,bulgaria,bg,31,1980,-28047.0
total net number of migrants,100,bulgaria,bg,32,1981,-29449.0
total net number of migrants,100,bulgaria,bg,33,1982,-30588.0
total net number of migrants,100,bulgaria,bg,34,1983,-31183.0
total net number of migrants,100,bulgaria,bg,35,1984,-31894.0
total net number of migrants,100,bulgaria,bg,36,1985,-32050.0
total net number of migrants,100,bulgaria,bg,37,1986,-32117.0
total net number of migrants,100,bulgaria,bg,38,1987,-31768.0
total net number of migrants,100,bulgaria,bg,39,1988,-31346.0
total net number of migrants,100,bulgaria,bg,40,1989,-30574.0
total net number of migrants,100,bulgaria,bg,41,1990,-29479.0
total net number of migrants,100,bulgaria,bg,42,1991,-28324.0
total net number of migrants,100,bulgaria,bg,43,1992,-27139.0
total net number of migrants,100,bulgaria,bg,44,1993,-25843.0
total net number of migrants,100,bulgaria,bg,45,1994,-24238.0
total net number of migrants,100,bulgaria,bg,46,1995,-22495.0
total net number of migrants,100,bulgaria,bg,47,1996,-20330.0
total net number of migrants,100,bulgaria,bg,48,1997,-18375.0
total net number of migrants,100,bulgaria,bg,49,1998,-16403.0
total net number of migrants,100,bulgaria,bg,50,1999,-14046.0
total net number of migrants,100,bulgaria,bg,51,2000,-11295.0
total net number of migrants,100,bulgaria,bg,52,2001,-8623.0
total net number of migrants,100,bulgaria,bg,53,2002,-6134.0
total net number of migrants,100,bulgaria,bg,54,2003,-4527.0
total net number of migrants,100,bulgaria,bg,55,2004,-4156.0
total net number of migrants,100,bulgaria,bg,56,2005,-3832.0
total net number of migrants,100,bulgaria,bg,57,2006,-3980.0
total net number of migrants,100,bulgaria,bg,58,2007,-4748.0
total net number of migrants,100,bulgaria,bg,59,2008,-5674.0
total net number of migrants,100,bulgaria,bg,60,2009,-6997.0
total net number of migrants,100,bulgaria,bg,61,2010,-8686.0
total net number of migrants,100,bulgaria,bg,62,2011,-11262.0
total net number of migrants,100,bulgaria,bg,63,2012,-13770.0
total net number of migrants,100,bulgaria,bg,64,2013,-15243.0
total net number of migrants,100,bulgaria,bg,65,2014,-15527.0
total net number of migrants,100,bulgaria,bg,66,2015,-15356.0
total net number of migrants,100,bulgaria,bg,67,2016,-14947.0
total net number of migrants,100,bulgaria,bg,68,2017,-13560.0
total net number of migrants,100,bulgaria,bg,69,2018,-12115.0
total net number of migrants,100,bulgaria,bg,70,2019,-11439.0
total net number of migrants,100,bulgaria,bg,71,2020,-9902.0
total net number of migrants,100,bulgaria,bg,72,2021,-8716.0
total net number of migrants,100,bulgaria,bg,73,2022,-4800.0
total net number of migrants,100,bulgaria,bg,74,2023,-4800.0
