indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,108,burundi,bi,1,1950,-5893.0
crude rate of net migration,108,burundi,bi,2,1951,-5721.0
crude rate of net migration,108,burundi,bi,3,1952,-5815.0
crude rate of net migration,108,burundi,bi,4,1953,-6216.0
crude rate of net migration,108,burundi,bi,5,1954,-5948.0
crude rate of net migration,108,burundi,bi,6,1955,-5861.0
crude rate of net migration,108,burundi,bi,7,1956,-5773.0
crude rate of net migration,108,burundi,bi,8,1957,-5774.0
crude rate of net migration,108,burundi,bi,9,1958,-6428.0
crude rate of net migration,108,burundi,bi,10,1959,-5483.0
crude rate of net migration,108,burundi,bi,11,1960,-5318.0
crude rate of net migration,108,burundi,bi,12,1961,5372.0
crude rate of net migration,108,burundi,bi,13,1962,-5311.0
crude rate of net migration,108,burundi,bi,14,1963,-3899.0
crude rate of net migration,108,burundi,bi,15,1964,9817.0
crude rate of net migration,108,burundi,bi,16,1965,-4463.0
crude rate of net migration,108,burundi,bi,17,1966,1649.0
crude rate of net migration,108,burundi,bi,18,1967,-2994.0
crude rate of net migration,108,burundi,bi,19,1968,-1767.0
crude rate of net migration,108,burundi,bi,20,1969,-7365.0
crude rate of net migration,108,burundi,bi,21,1970,-1813.0
crude rate of net migration,108,burundi,bi,22,1971,-2113.0
crude rate of net migration,108,burundi,bi,23,1972,-32612.0
crude rate of net migration,108,burundi,bi,24,1973,795.0
crude rate of net migration,108,burundi,bi,25,1974,2755.0
crude rate of net migration,108,burundi,bi,26,1975,-5506.0
crude rate of net migration,108,burundi,bi,27,1976,-3354.0
crude rate of net migration,108,burundi,bi,28,1977,481.0
crude rate of net migration,108,burundi,bi,29,1978,2043.0
crude rate of net migration,108,burundi,bi,30,1979,-9659.0
crude rate of net migration,108,burundi,bi,31,1980,35235.0
crude rate of net migration,108,burundi,bi,32,1981,-12983.0
crude rate of net migration,108,burundi,bi,33,1982,-833.0
crude rate of net migration,108,burundi,bi,34,1983,-8.8
crude rate of net migration,108,burundi,bi,35,1984,-6088.0
crude rate of net migration,108,burundi,bi,36,1985,-13384.0
crude rate of net migration,108,burundi,bi,37,1986,-11013.0
crude rate of net migration,108,burundi,bi,38,1987,-4104.0
crude rate of net migration,108,burundi,bi,39,1988,-8789.0
crude rate of net migration,108,burundi,bi,40,1989,-8086.0
crude rate of net migration,108,burundi,bi,41,1990,-7266.0
crude rate of net migration,108,burundi,bi,42,1991,-6999.0
crude rate of net migration,108,burundi,bi,43,1992,6247.0
crude rate of net migration,108,burundi,bi,44,1993,-116296.0
crude rate of net migration,108,burundi,bi,45,1994,97054.0
crude rate of net migration,108,burundi,bi,46,1995,-14157.0
crude rate of net migration,108,burundi,bi,47,1996,-37453.0
crude rate of net migration,108,burundi,bi,48,1997,-14145.0
crude rate of net migration,108,burundi,bi,49,1998,2296.0
crude rate of net migration,108,burundi,bi,50,1999,-5566.0
crude rate of net migration,108,burundi,bi,51,2000,-6338.0
crude rate of net migration,108,burundi,bi,52,2001,1542.0
crude rate of net migration,108,burundi,bi,53,2002,-2535.0
crude rate of net migration,108,burundi,bi,54,2003,5365.0
crude rate of net migration,108,burundi,bi,55,2004,6632.0
crude rate of net migration,108,burundi,bi,56,2005,2426.0
crude rate of net migration,108,burundi,bi,57,2006,2002.0
crude rate of net migration,108,burundi,bi,58,2007,2787.0
crude rate of net migration,108,burundi,bi,59,2008,9624.0
crude rate of net migration,108,burundi,bi,60,2009,21383.0
crude rate of net migration,108,burundi,bi,61,2010,1298.0
crude rate of net migration,108,burundi,bi,62,2011,-2062.0
crude rate of net migration,108,burundi,bi,63,2012,2311.0
crude rate of net migration,108,burundi,bi,64,2013,-226.0
crude rate of net migration,108,burundi,bi,65,2014,-653.0
crude rate of net migration,108,burundi,bi,66,2015,-21799.0
crude rate of net migration,108,burundi,bi,67,2016,-9995.0
crude rate of net migration,108,burundi,bi,68,2017,-6118.0
crude rate of net migration,108,burundi,bi,69,2018,5947.0
crude rate of net migration,108,burundi,bi,70,2019,44958.0
crude rate of net migration,108,burundi,bi,71,2020,-833.0
crude rate of net migration,108,burundi,bi,72,2021,-1148.0
crude rate of net migration,108,burundi,bi,73,2022,155.0
crude rate of net migration,108,burundi,bi,74,2023,151.0
