indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,116,cambodia,kh,1,1950,424.0
crude rate of net migration,116,cambodia,kh,2,1951,315.0
crude rate of net migration,116,cambodia,kh,3,1952,19.0
crude rate of net migration,116,cambodia,kh,4,1953,-0.59
crude rate of net migration,116,cambodia,kh,5,1954,-509.0
crude rate of net migration,116,cambodia,kh,6,1955,-598.0
crude rate of net migration,116,cambodia,kh,7,1956,-681.0
crude rate of net migration,116,cambodia,kh,8,1957,-857.0
crude rate of net migration,116,cambodia,kh,9,1958,-1676.0
crude rate of net migration,116,cambodia,kh,10,1959,-785.0
crude rate of net migration,116,cambodia,kh,11,1960,-601.0
crude rate of net migration,116,cambodia,kh,12,1961,-585.0
crude rate of net migration,116,cambodia,kh,13,1962,-371.0
crude rate of net migration,116,cambodia,kh,14,1963,-593.0
crude rate of net migration,116,cambodia,kh,15,1964,-652.0
crude rate of net migration,116,cambodia,kh,16,1965,-1198.0
crude rate of net migration,116,cambodia,kh,17,1966,-2205.0
crude rate of net migration,116,cambodia,kh,18,1967,-2.42
crude rate of net migration,116,cambodia,kh,19,1968,-2892.0
crude rate of net migration,116,cambodia,kh,20,1969,-2996.0
crude rate of net migration,116,cambodia,kh,21,1970,-28353.0
crude rate of net migration,116,cambodia,kh,22,1971,-11909.0
crude rate of net migration,116,cambodia,kh,23,1972,-6007.0
crude rate of net migration,116,cambodia,kh,24,1973,-6121.0
crude rate of net migration,116,cambodia,kh,25,1974,-6525.0
crude rate of net migration,116,cambodia,kh,26,1975,-7078.0
crude rate of net migration,116,cambodia,kh,27,1976,-8334.0
crude rate of net migration,116,cambodia,kh,28,1977,-9155.0
crude rate of net migration,116,cambodia,kh,29,1978,-14097.0
crude rate of net migration,116,cambodia,kh,30,1979,19716.0
crude rate of net migration,116,cambodia,kh,31,1980,-21435.0
crude rate of net migration,116,cambodia,kh,32,1981,9907.0
crude rate of net migration,116,cambodia,kh,33,1982,2794.0
crude rate of net migration,116,cambodia,kh,34,1983,6257.0
crude rate of net migration,116,cambodia,kh,35,1984,-4558.0
crude rate of net migration,116,cambodia,kh,36,1985,211.0
crude rate of net migration,116,cambodia,kh,37,1986,5503.0
crude rate of net migration,116,cambodia,kh,38,1987,5352.0
crude rate of net migration,116,cambodia,kh,39,1988,-1966.0
crude rate of net migration,116,cambodia,kh,40,1989,6288.0
crude rate of net migration,116,cambodia,kh,41,1990,6322.0
crude rate of net migration,116,cambodia,kh,42,1991,6311.0
crude rate of net migration,116,cambodia,kh,43,1992,28398.0
crude rate of net migration,116,cambodia,kh,44,1993,18512.0
crude rate of net migration,116,cambodia,kh,45,1994,1026.0
crude rate of net migration,116,cambodia,kh,46,1995,-797.0
crude rate of net migration,116,cambodia,kh,47,1996,418.0
crude rate of net migration,116,cambodia,kh,48,1997,-413.0
crude rate of net migration,116,cambodia,kh,49,1998,1082.0
crude rate of net migration,116,cambodia,kh,50,1999,-236.0
crude rate of net migration,116,cambodia,kh,51,2000,-351.0
crude rate of net migration,116,cambodia,kh,52,2001,-325.0
crude rate of net migration,116,cambodia,kh,53,2002,-305.0
crude rate of net migration,116,cambodia,kh,54,2003,-0.57
crude rate of net migration,116,cambodia,kh,55,2004,-452.0
crude rate of net migration,116,cambodia,kh,56,2005,-863.0
crude rate of net migration,116,cambodia,kh,57,2006,-775.0
crude rate of net migration,116,cambodia,kh,58,2007,-721.0
crude rate of net migration,116,cambodia,kh,59,2008,-2465.0
crude rate of net migration,116,cambodia,kh,60,2009,-3414.0
crude rate of net migration,116,cambodia,kh,61,2010,-2994.0
crude rate of net migration,116,cambodia,kh,62,2011,-2942.0
crude rate of net migration,116,cambodia,kh,63,2012,-2971.0
crude rate of net migration,116,cambodia,kh,64,2013,-3112.0
crude rate of net migration,116,cambodia,kh,65,2014,-3212.0
crude rate of net migration,116,cambodia,kh,66,2015,-3385.0
crude rate of net migration,116,cambodia,kh,67,2016,-2594.0
crude rate of net migration,116,cambodia,kh,68,2017,-2884.0
crude rate of net migration,116,cambodia,kh,69,2018,-3.22
crude rate of net migration,116,cambodia,kh,70,2019,-3425.0
crude rate of net migration,116,cambodia,kh,71,2020,-1.36
crude rate of net migration,116,cambodia,kh,72,2021,-1462.0
crude rate of net migration,116,cambodia,kh,73,2022,-1787.0
crude rate of net migration,116,cambodia,kh,74,2023,-1769.0
