indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,116,cambodia,kh,1,1950,1859.0
total net number of migrants,116,cambodia,kh,2,1951,1415.0
total net number of migrants,116,cambodia,kh,3,1952,85.0
total net number of migrants,116,cambodia,kh,4,1953,-2776.0
total net number of migrants,116,cambodia,kh,5,1954,-2450.0
total net number of migrants,116,cambodia,kh,6,1955,-2948.0
total net number of migrants,116,cambodia,kh,7,1956,-3441.0
total net number of migrants,116,cambodia,kh,8,1957,-4440.0
total net number of migrants,116,cambodia,kh,9,1958,-8887.0
total net number of migrants,116,cambodia,kh,10,1959,-4256.0
total net number of migrants,116,cambodia,kh,11,1960,-3332.0
total net number of migrants,116,cambodia,kh,12,1961,-3314.0
total net number of migrants,116,cambodia,kh,13,1962,-2146.0
total net number of migrants,116,cambodia,kh,14,1963,-3509.0
total net number of migrants,116,cambodia,kh,15,1964,-3942.0
total net number of migrants,116,cambodia,kh,16,1965,-7396.0
total net number of migrants,116,cambodia,kh,17,1966,-13906.0
total net number of migrants,116,cambodia,kh,18,1967,-15569.0
total net number of migrants,116,cambodia,kh,19,1968,-18979.0
total net number of migrants,116,cambodia,kh,20,1969,-20046.0
total net number of migrants,116,cambodia,kh,21,1970,-193005.0
total net number of migrants,116,cambodia,kh,22,1971,-80228.0
total net number of migrants,116,cambodia,kh,23,1972,-40775.0
total net number of migrants,116,cambodia,kh,24,1973,-42063.0
total net number of migrants,116,cambodia,kh,25,1974,-45233.0
total net number of migrants,116,cambodia,kh,26,1975,-47734.0
total net number of migrants,116,cambodia,kh,27,1976,-52762.0
total net number of migrants,116,cambodia,kh,28,1977,-55515.0
total net number of migrants,116,cambodia,kh,29,1978,-84697.0
total net number of migrants,116,cambodia,kh,30,1979,118325.0
total net number of migrants,116,cambodia,kh,31,1980,-134549.0
total net number of migrants,116,cambodia,kh,32,1981,62758.0
total net number of migrants,116,cambodia,kh,33,1982,18479.0
total net number of migrants,116,cambodia,kh,34,1983,42939.0
total net number of migrants,116,cambodia,kh,35,1984,-32601.0
total net number of migrants,116,cambodia,kh,36,1985,1557.0
total net number of migrants,116,cambodia,kh,37,1986,42051.0
total net number of migrants,116,cambodia,kh,38,1987,42576.0
total net number of migrants,116,cambodia,kh,39,1988,-16273.0
total net number of migrants,116,cambodia,kh,40,1989,53719.0
total net number of migrants,116,cambodia,kh,41,1990,56166.0
total net number of migrants,116,cambodia,kh,42,1991,58256.0
total net number of migrants,116,cambodia,kh,43,1992,272116.0
total net number of migrants,116,cambodia,kh,44,1993,187905.0
total net number of migrants,116,cambodia,kh,45,1994,10910.0
total net number of migrants,116,cambodia,kh,46,1995,-8706.0
total net number of migrants,116,cambodia,kh,47,1996,4674.0
total net number of migrants,116,cambodia,kh,48,1997,-4720.0
total net number of migrants,116,cambodia,kh,49,1998,12616.0
total net number of migrants,116,cambodia,kh,50,1999,-2813.0
total net number of migrants,116,cambodia,kh,51,2000,-4248.0
total net number of migrants,116,cambodia,kh,52,2001,-4005.0
total net number of migrants,116,cambodia,kh,53,2002,-3837.0
total net number of migrants,116,cambodia,kh,54,2003,-7286.0
total net number of migrants,116,cambodia,kh,55,2004,-5883.0
total net number of migrants,116,cambodia,kh,56,2005,-11435.0
total net number of migrants,116,cambodia,kh,57,2006,-10451.0
total net number of migrants,116,cambodia,kh,58,2007,-9890.0
total net number of migrants,116,cambodia,kh,59,2008,-34409.0
total net number of migrants,116,cambodia,kh,60,2009,-48418.0
total net number of migrants,116,cambodia,kh,61,2010,-43068.0
total net number of migrants,116,cambodia,kh,62,2011,-42942.0
total net number of migrants,116,cambodia,kh,63,2012,-43999.0
total net number of migrants,116,cambodia,kh,64,2013,-46754.0
total net number of migrants,116,cambodia,kh,65,2014,-48942.0
total net number of migrants,116,cambodia,kh,66,2015,-52272.0
total net number of migrants,116,cambodia,kh,67,2016,-40577.0
total net number of migrants,116,cambodia,kh,68,2017,-45720.0
total net number of migrants,116,cambodia,kh,69,2018,-51685.0
total net number of migrants,116,cambodia,kh,70,2019,-55607.0
total net number of migrants,116,cambodia,kh,71,2020,-22308.0
total net number of migrants,116,cambodia,kh,72,2021,-24262.0
total net number of migrants,116,cambodia,kh,73,2022,-29998.0
total net number of migrants,116,cambodia,kh,74,2023,-29998.0
