indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,120,cameroon,cm,1,1950,0.0
crude rate of net migration,120,cameroon,cm,2,1951,0.0
crude rate of net migration,120,cameroon,cm,3,1952,0.0
crude rate of net migration,120,cameroon,cm,4,1953,0.0
crude rate of net migration,120,cameroon,cm,5,1954,0.0
crude rate of net migration,120,cameroon,cm,6,1955,0.0
crude rate of net migration,120,cameroon,cm,7,1956,0.0
crude rate of net migration,120,cameroon,cm,8,1957,0.0
crude rate of net migration,120,cameroon,cm,9,1958,0.0
crude rate of net migration,120,cameroon,cm,10,1959,0.0
crude rate of net migration,120,cameroon,cm,11,1960,0.0
crude rate of net migration,120,cameroon,cm,12,1961,0.0
crude rate of net migration,120,cameroon,cm,13,1962,0.0
crude rate of net migration,120,cameroon,cm,14,1963,0.0
crude rate of net migration,120,cameroon,cm,15,1964,-3.0
crude rate of net migration,120,cameroon,cm,16,1965,-9.0
crude rate of net migration,120,cameroon,cm,17,1966,-19.0
crude rate of net migration,120,cameroon,cm,18,1967,-27.0
crude rate of net migration,120,cameroon,cm,19,1968,-36.0
crude rate of net migration,120,cameroon,cm,20,1969,-46.0
crude rate of net migration,120,cameroon,cm,21,1970,-58.0
crude rate of net migration,120,cameroon,cm,22,1971,-67.0
crude rate of net migration,120,cameroon,cm,23,1972,-71.0
crude rate of net migration,120,cameroon,cm,24,1973,-68.0
crude rate of net migration,120,cameroon,cm,25,1974,-53.0
crude rate of net migration,120,cameroon,cm,26,1975,-33.0
crude rate of net migration,120,cameroon,cm,27,1976,-2627.0
crude rate of net migration,120,cameroon,cm,28,1977,-2641.0
crude rate of net migration,120,cameroon,cm,29,1978,-162.0
crude rate of net migration,120,cameroon,cm,30,1979,-1467.0
crude rate of net migration,120,cameroon,cm,31,1980,8317.0
crude rate of net migration,120,cameroon,cm,32,1981,3159.0
crude rate of net migration,120,cameroon,cm,33,1982,-15351.0
crude rate of net migration,120,cameroon,cm,34,1983,-4036.0
crude rate of net migration,120,cameroon,cm,35,1984,-369.0
crude rate of net migration,120,cameroon,cm,36,1985,-367.0
crude rate of net migration,120,cameroon,cm,37,1986,-363.0
crude rate of net migration,120,cameroon,cm,38,1987,-366.0
crude rate of net migration,120,cameroon,cm,39,1988,-1487.0
crude rate of net migration,120,cameroon,cm,40,1989,-1013.0
crude rate of net migration,120,cameroon,cm,41,1990,-714.0
crude rate of net migration,120,cameroon,cm,42,1991,-1232.0
crude rate of net migration,120,cameroon,cm,43,1992,-1129.0
crude rate of net migration,120,cameroon,cm,44,1993,-768.0
crude rate of net migration,120,cameroon,cm,45,1994,-935.0
crude rate of net migration,120,cameroon,cm,46,1995,-958.0
crude rate of net migration,120,cameroon,cm,47,1996,-938.0
crude rate of net migration,120,cameroon,cm,48,1997,-992.0
crude rate of net migration,120,cameroon,cm,49,1998,-869.0
crude rate of net migration,120,cameroon,cm,50,1999,-1183.0
crude rate of net migration,120,cameroon,cm,51,2000,-1405.0
crude rate of net migration,120,cameroon,cm,52,2001,-1239.0
crude rate of net migration,120,cameroon,cm,53,2002,-676.0
crude rate of net migration,120,cameroon,cm,54,2003,-1135.0
crude rate of net migration,120,cameroon,cm,55,2004,-1156.0
crude rate of net migration,120,cameroon,cm,56,2005,-1607.0
crude rate of net migration,120,cameroon,cm,57,2006,-1606.0
crude rate of net migration,120,cameroon,cm,58,2007,-592.0
crude rate of net migration,120,cameroon,cm,59,2008,-571.0
crude rate of net migration,120,cameroon,cm,60,2009,-528.0
crude rate of net migration,120,cameroon,cm,61,2010,-471.0
crude rate of net migration,120,cameroon,cm,62,2011,-619.0
crude rate of net migration,120,cameroon,cm,63,2012,-358.0
crude rate of net migration,120,cameroon,cm,64,2013,-319.0
crude rate of net migration,120,cameroon,cm,65,2014,4341.0
crude rate of net migration,120,cameroon,cm,66,2015,1827.0
crude rate of net migration,120,cameroon,cm,67,2016,559.0
crude rate of net migration,120,cameroon,cm,68,2017,-1553.0
crude rate of net migration,120,cameroon,cm,69,2018,-366.0
crude rate of net migration,120,cameroon,cm,70,2019,-475.0
crude rate of net migration,120,cameroon,cm,71,2020,-373.0
crude rate of net migration,120,cameroon,cm,72,2021,-363.0
crude rate of net migration,120,cameroon,cm,73,2022,-172.0
crude rate of net migration,120,cameroon,cm,74,2023,-168.0
