indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,915,caribbean,cb,1,1950,-3242.0
crude rate of net migration,915,caribbean,cb,2,1951,-3657.0
crude rate of net migration,915,caribbean,cb,3,1952,-4257.0
crude rate of net migration,915,caribbean,cb,4,1953,-4775.0
crude rate of net migration,915,caribbean,cb,5,1954,-5342.0
crude rate of net migration,915,caribbean,cb,6,1955,-5931.0
crude rate of net migration,915,caribbean,cb,7,1956,-6128.0
crude rate of net migration,915,caribbean,cb,8,1957,-6197.0
crude rate of net migration,915,caribbean,cb,9,1958,-6.33
crude rate of net migration,915,caribbean,cb,10,1959,-6471.0
crude rate of net migration,915,caribbean,cb,11,1960,-5843.0
crude rate of net migration,915,caribbean,cb,12,1961,-5909.0
crude rate of net migration,915,caribbean,cb,13,1962,-6281.0
crude rate of net migration,915,caribbean,cb,14,1963,-6649.0
crude rate of net migration,915,caribbean,cb,15,1964,-6523.0
crude rate of net migration,915,caribbean,cb,16,1965,-6.58
crude rate of net migration,915,caribbean,cb,17,1966,-6489.0
crude rate of net migration,915,caribbean,cb,18,1967,-6373.0
crude rate of net migration,915,caribbean,cb,19,1968,-6259.0
crude rate of net migration,915,caribbean,cb,20,1969,-6.15
crude rate of net migration,915,caribbean,cb,21,1970,-5383.0
crude rate of net migration,915,caribbean,cb,22,1971,-5295.0
crude rate of net migration,915,caribbean,cb,23,1972,-5462.0
crude rate of net migration,915,caribbean,cb,24,1973,-5.4
crude rate of net migration,915,caribbean,cb,25,1974,-5159.0
crude rate of net migration,915,caribbean,cb,26,1975,-4715.0
crude rate of net migration,915,caribbean,cb,27,1976,-4566.0
crude rate of net migration,915,caribbean,cb,28,1977,-4476.0
crude rate of net migration,915,caribbean,cb,29,1978,-4204.0
crude rate of net migration,915,caribbean,cb,30,1979,-4287.0
crude rate of net migration,915,caribbean,cb,31,1980,-4523.0
crude rate of net migration,915,caribbean,cb,32,1981,-3812.0
crude rate of net migration,915,caribbean,cb,33,1982,-3.61
crude rate of net migration,915,caribbean,cb,34,1983,-3519.0
crude rate of net migration,915,caribbean,cb,35,1984,-3584.0
crude rate of net migration,915,caribbean,cb,36,1985,-3679.0
crude rate of net migration,915,caribbean,cb,37,1986,-3928.0
crude rate of net migration,915,caribbean,cb,38,1987,-4009.0
crude rate of net migration,915,caribbean,cb,39,1988,-3947.0
crude rate of net migration,915,caribbean,cb,40,1989,-3837.0
crude rate of net migration,915,caribbean,cb,41,1990,-3475.0
crude rate of net migration,915,caribbean,cb,42,1991,-3295.0
crude rate of net migration,915,caribbean,cb,43,1992,-3311.0
crude rate of net migration,915,caribbean,cb,44,1993,-3416.0
crude rate of net migration,915,caribbean,cb,45,1994,-3467.0
crude rate of net migration,915,caribbean,cb,46,1995,-3416.0
crude rate of net migration,915,caribbean,cb,47,1996,-3292.0
crude rate of net migration,915,caribbean,cb,48,1997,-3549.0
crude rate of net migration,915,caribbean,cb,49,1998,-3442.0
crude rate of net migration,915,caribbean,cb,50,1999,-3518.0
crude rate of net migration,915,caribbean,cb,51,2000,-3839.0
crude rate of net migration,915,caribbean,cb,52,2001,-3825.0
crude rate of net migration,915,caribbean,cb,53,2002,-3753.0
crude rate of net migration,915,caribbean,cb,54,2003,-3717.0
crude rate of net migration,915,caribbean,cb,55,2004,-3635.0
crude rate of net migration,915,caribbean,cb,56,2005,-3588.0
crude rate of net migration,915,caribbean,cb,57,2006,-3036.0
crude rate of net migration,915,caribbean,cb,58,2007,-3133.0
crude rate of net migration,915,caribbean,cb,59,2008,-3315.0
crude rate of net migration,915,caribbean,cb,60,2009,-3364.0
crude rate of net migration,915,caribbean,cb,61,2010,-3397.0
crude rate of net migration,915,caribbean,cb,62,2011,-3507.0
crude rate of net migration,915,caribbean,cb,63,2012,-3271.0
crude rate of net migration,915,caribbean,cb,64,2013,-3433.0
crude rate of net migration,915,caribbean,cb,65,2014,-3597.0
crude rate of net migration,915,caribbean,cb,66,2015,-3697.0
crude rate of net migration,915,caribbean,cb,67,2016,-3693.0
crude rate of net migration,915,caribbean,cb,68,2017,-3.58
crude rate of net migration,915,caribbean,cb,69,2018,-1129.0
crude rate of net migration,915,caribbean,cb,70,2019,-3109.0
crude rate of net migration,915,caribbean,cb,71,2020,-1362.0
crude rate of net migration,915,caribbean,cb,72,2021,-1487.0
crude rate of net migration,915,caribbean,cb,73,2022,-1406.0
crude rate of net migration,915,caribbean,cb,74,2023,-1314.0
