indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,136,cayman islands,ky,1,1950,-25456.0
crude rate of net migration,136,cayman islands,ky,2,1951,42837.0
crude rate of net migration,136,cayman islands,ky,3,1952,18242.0
crude rate of net migration,136,cayman islands,ky,4,1953,2084.0
crude rate of net migration,136,cayman islands,ky,5,1954,23349.0
crude rate of net migration,136,cayman islands,ky,6,1955,-7715.0
crude rate of net migration,136,cayman islands,ky,7,1956,-8977.0
crude rate of net migration,136,cayman islands,ky,8,1957,-9864.0
crude rate of net migration,136,cayman islands,ky,9,1958,-11344.0
crude rate of net migration,136,cayman islands,ky,10,1959,-11858.0
crude rate of net migration,136,cayman islands,ky,11,1960,-3769.0
crude rate of net migration,136,cayman islands,ky,12,1961,116.0
crude rate of net migration,136,cayman islands,ky,13,1962,227.0
crude rate of net migration,136,cayman islands,ky,14,1963,1337.0
crude rate of net migration,136,cayman islands,ky,15,1964,2841.0
crude rate of net migration,136,cayman islands,ky,16,1965,12206.0
crude rate of net migration,136,cayman islands,ky,17,1966,4405.0
crude rate of net migration,136,cayman islands,ky,18,1967,4929.0
crude rate of net migration,136,cayman islands,ky,19,1968,4522.0
crude rate of net migration,136,cayman islands,ky,20,1969,4733.0
crude rate of net migration,136,cayman islands,ky,21,1970,28562.0
crude rate of net migration,136,cayman islands,ky,22,1971,45968.0
crude rate of net migration,136,cayman islands,ky,23,1972,32209.0
crude rate of net migration,136,cayman islands,ky,24,1973,37667.0
crude rate of net migration,136,cayman islands,ky,25,1974,40108.0
crude rate of net migration,136,cayman islands,ky,26,1975,34158.0
crude rate of net migration,136,cayman islands,ky,27,1976,34363.0
crude rate of net migration,136,cayman islands,ky,28,1977,33056.0
crude rate of net migration,136,cayman islands,ky,29,1978,28801.0
crude rate of net migration,136,cayman islands,ky,30,1979,28344.0
crude rate of net migration,136,cayman islands,ky,31,1980,33661.0
crude rate of net migration,136,cayman islands,ky,32,1981,31744.0
crude rate of net migration,136,cayman islands,ky,33,1982,31434.0
crude rate of net migration,136,cayman islands,ky,34,1983,27455.0
crude rate of net migration,136,cayman islands,ky,35,1984,25876.0
crude rate of net migration,136,cayman islands,ky,36,1985,28644.0
crude rate of net migration,136,cayman islands,ky,37,1986,27257.0
crude rate of net migration,136,cayman islands,ky,38,1987,25.93
crude rate of net migration,136,cayman islands,ky,39,1988,25.0
crude rate of net migration,136,cayman islands,ky,40,1989,27598.0
crude rate of net migration,136,cayman islands,ky,41,1990,39554.0
crude rate of net migration,136,cayman islands,ky,42,1991,37825.0
crude rate of net migration,136,cayman islands,ky,43,1992,36025.0
crude rate of net migration,136,cayman islands,ky,44,1993,34818.0
crude rate of net migration,136,cayman islands,ky,45,1994,33664.0
crude rate of net migration,136,cayman islands,ky,46,1995,34.1
crude rate of net migration,136,cayman islands,ky,47,1996,30156.0
crude rate of net migration,136,cayman islands,ky,48,1997,28763.0
crude rate of net migration,136,cayman islands,ky,49,1998,28305.0
crude rate of net migration,136,cayman islands,ky,50,1999,25696.0
crude rate of net migration,136,cayman islands,ky,51,2000,26042.0
crude rate of net migration,136,cayman islands,ky,52,2001,25615.0
crude rate of net migration,136,cayman islands,ky,53,2002,25663.0
crude rate of net migration,136,cayman islands,ky,54,2003,24899.0
crude rate of net migration,136,cayman islands,ky,55,2004,23146.0
crude rate of net migration,136,cayman islands,ky,56,2005,21302.0
crude rate of net migration,136,cayman islands,ky,57,2006,20.91
crude rate of net migration,136,cayman islands,ky,58,2007,20016.0
crude rate of net migration,136,cayman islands,ky,59,2008,18.41
crude rate of net migration,136,cayman islands,ky,60,2009,17598.0
crude rate of net migration,136,cayman islands,ky,61,2010,16683.0
crude rate of net migration,136,cayman islands,ky,62,2011,15984.0
crude rate of net migration,136,cayman islands,ky,63,2012,15907.0
crude rate of net migration,136,cayman islands,ky,64,2013,16764.0
crude rate of net migration,136,cayman islands,ky,65,2014,16603.0
crude rate of net migration,136,cayman islands,ky,66,2015,17897.0
crude rate of net migration,136,cayman islands,ky,67,2016,17474.0
crude rate of net migration,136,cayman islands,ky,68,2017,17572.0
crude rate of net migration,136,cayman islands,ky,69,2018,16395.0
crude rate of net migration,136,cayman islands,ky,70,2019,14.83
crude rate of net migration,136,cayman islands,ky,71,2020,11439.0
crude rate of net migration,136,cayman islands,ky,72,2021,4058.0
crude rate of net migration,136,cayman islands,ky,73,2022,5839.0
crude rate of net migration,136,cayman islands,ky,74,2023,5788.0
