indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,140,central african republic,cf,1,1950,0.0
total net number of migrants,140,central african republic,cf,2,1951,0.0
total net number of migrants,140,central african republic,cf,3,1952,0.0
total net number of migrants,140,central african republic,cf,4,1953,0.0
total net number of migrants,140,central african republic,cf,5,1954,0.0
total net number of migrants,140,central african republic,cf,6,1955,0.0
total net number of migrants,140,central african republic,cf,7,1956,0.0
total net number of migrants,140,central african republic,cf,8,1957,0.0
total net number of migrants,140,central african republic,cf,9,1958,49.0
total net number of migrants,140,central african republic,cf,10,1959,485.0
total net number of migrants,140,central african republic,cf,11,1960,485.0
total net number of migrants,140,central african republic,cf,12,1961,485.0
total net number of migrants,140,central african republic,cf,13,1962,485.0
total net number of migrants,140,central african republic,cf,14,1963,485.0
total net number of migrants,140,central african republic,cf,15,1964,485.0
total net number of migrants,140,central african republic,cf,16,1965,485.0
total net number of migrants,140,central african republic,cf,17,1966,485.0
total net number of migrants,140,central african republic,cf,18,1967,485.0
total net number of migrants,140,central african republic,cf,19,1968,485.0
total net number of migrants,140,central african republic,cf,20,1969,-88.0
total net number of migrants,140,central african republic,cf,21,1970,-3689.0
total net number of migrants,140,central african republic,cf,22,1971,-7265.0
total net number of migrants,140,central african republic,cf,23,1972,-9641.0
total net number of migrants,140,central african republic,cf,24,1973,-9802.0
total net number of migrants,140,central african republic,cf,25,1974,-9842.0
total net number of migrants,140,central african republic,cf,26,1975,-9904.0
total net number of migrants,140,central african republic,cf,27,1976,-33639.0
total net number of migrants,140,central african republic,cf,28,1977,-35773.0
total net number of migrants,140,central african republic,cf,29,1978,-37880.0
total net number of migrants,140,central african republic,cf,30,1979,-39849.0
total net number of migrants,140,central african republic,cf,31,1980,-41537.0
total net number of migrants,140,central african republic,cf,32,1981,-42866.0
total net number of migrants,140,central african republic,cf,33,1982,-43912.0
total net number of migrants,140,central african republic,cf,34,1983,-44785.0
total net number of migrants,140,central african republic,cf,35,1984,-45593.0
total net number of migrants,140,central african republic,cf,36,1985,-46428.0
total net number of migrants,140,central african republic,cf,37,1986,-47332.0
total net number of migrants,140,central african republic,cf,38,1987,-47430.0
total net number of migrants,140,central african republic,cf,39,1988,-31020.0
total net number of migrants,140,central african republic,cf,40,1989,414.0
total net number of migrants,140,central african republic,cf,41,1990,2000.0
total net number of migrants,140,central african republic,cf,42,1991,4386.0
total net number of migrants,140,central african republic,cf,43,1992,9273.0
total net number of migrants,140,central african republic,cf,44,1993,9935.0
total net number of migrants,140,central african republic,cf,45,1994,9495.0
total net number of migrants,140,central african republic,cf,46,1995,-12995.0
total net number of migrants,140,central african republic,cf,47,1996,2701.0
total net number of migrants,140,central african republic,cf,48,1997,2033.0
total net number of migrants,140,central african republic,cf,49,1998,4484.0
total net number of migrants,140,central african republic,cf,50,1999,6280.0
total net number of migrants,140,central african republic,cf,51,2000,8082.0
total net number of migrants,140,central african republic,cf,52,2001,-33004.0
total net number of migrants,140,central african republic,cf,53,2002,5996.0
total net number of migrants,140,central african republic,cf,54,2003,-18097.0
total net number of migrants,140,central african republic,cf,55,2004,-16514.0
total net number of migrants,140,central african republic,cf,56,2005,-13609.0
total net number of migrants,140,central african republic,cf,57,2006,-41307.0
total net number of migrants,140,central african republic,cf,58,2007,-30374.0
total net number of migrants,140,central african republic,cf,59,2008,-29004.0
total net number of migrants,140,central african republic,cf,60,2009,-28917.0
total net number of migrants,140,central african republic,cf,61,2010,-43189.0
total net number of migrants,140,central african republic,cf,62,2011,-86451.0
total net number of migrants,140,central african republic,cf,63,2012,-112033.0
total net number of migrants,140,central african republic,cf,64,2013,-112663.0
total net number of migrants,140,central african republic,cf,65,2014,-174543.0
total net number of migrants,140,central african republic,cf,66,2015,-63213.0
total net number of migrants,140,central african republic,cf,67,2016,-52758.0
total net number of migrants,140,central african republic,cf,68,2017,-58734.0
total net number of migrants,140,central african republic,cf,69,2018,-53083.0
total net number of migrants,140,central african republic,cf,70,2019,-36942.0
total net number of migrants,140,central african republic,cf,71,2020,-24803.0
total net number of migrants,140,central african republic,cf,72,2021,-85860.0
total net number of migrants,140,central african republic,cf,73,2022,-17463.0
total net number of migrants,140,central african republic,cf,74,2023,-14716.0
