indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,916,central america,l6,1,1950,-1085.0
crude rate of net migration,916,central america,l6,2,1951,-2.64
crude rate of net migration,916,central america,l6,3,1952,-3044.0
crude rate of net migration,916,central america,l6,4,1953,-3622.0
crude rate of net migration,916,central america,l6,5,1954,-3544.0
crude rate of net migration,916,central america,l6,6,1955,-3545.0
crude rate of net migration,916,central america,l6,7,1956,-3538.0
crude rate of net migration,916,central america,l6,8,1957,-3598.0
crude rate of net migration,916,central america,l6,9,1958,-4166.0
crude rate of net migration,916,central america,l6,10,1959,-2.75
crude rate of net migration,916,central america,l6,11,1960,-2084.0
crude rate of net migration,916,central america,l6,12,1961,-1339.0
crude rate of net migration,916,central america,l6,13,1962,-1578.0
crude rate of net migration,916,central america,l6,14,1963,-1674.0
crude rate of net migration,916,central america,l6,15,1964,-1733.0
crude rate of net migration,916,central america,l6,16,1965,-1.65
crude rate of net migration,916,central america,l6,17,1966,-2065.0
crude rate of net migration,916,central america,l6,18,1967,-2042.0
crude rate of net migration,916,central america,l6,19,1968,-2318.0
crude rate of net migration,916,central america,l6,20,1969,-2548.0
crude rate of net migration,916,central america,l6,21,1970,-2631.0
crude rate of net migration,916,central america,l6,22,1971,-2783.0
crude rate of net migration,916,central america,l6,23,1972,-2793.0
crude rate of net migration,916,central america,l6,24,1973,-2755.0
crude rate of net migration,916,central america,l6,25,1974,-2787.0
crude rate of net migration,916,central america,l6,26,1975,-2551.0
crude rate of net migration,916,central america,l6,27,1976,-2854.0
crude rate of net migration,916,central america,l6,28,1977,-1595.0
crude rate of net migration,916,central america,l6,29,1978,-1852.0
crude rate of net migration,916,central america,l6,30,1979,-1.96
crude rate of net migration,916,central america,l6,31,1980,-4107.0
crude rate of net migration,916,central america,l6,32,1981,-6961.0
crude rate of net migration,916,central america,l6,33,1982,-6273.0
crude rate of net migration,916,central america,l6,34,1983,-5998.0
crude rate of net migration,916,central america,l6,35,1984,-6455.0
crude rate of net migration,916,central america,l6,36,1985,-6753.0
crude rate of net migration,916,central america,l6,37,1986,-7218.0
crude rate of net migration,916,central america,l6,38,1987,-6875.0
crude rate of net migration,916,central america,l6,39,1988,-6294.0
crude rate of net migration,916,central america,l6,40,1989,-6398.0
crude rate of net migration,916,central america,l6,41,1990,-3508.0
crude rate of net migration,916,central america,l6,42,1991,-3884.0
crude rate of net migration,916,central america,l6,43,1992,-3542.0
crude rate of net migration,916,central america,l6,44,1993,-3842.0
crude rate of net migration,916,central america,l6,45,1994,-3446.0
crude rate of net migration,916,central america,l6,46,1995,-3775.0
crude rate of net migration,916,central america,l6,47,1996,-3863.0
crude rate of net migration,916,central america,l6,48,1997,-3.73
crude rate of net migration,916,central america,l6,49,1998,-3631.0
crude rate of net migration,916,central america,l6,50,1999,-3883.0
crude rate of net migration,916,central america,l6,51,2000,-4114.0
crude rate of net migration,916,central america,l6,52,2001,-3931.0
crude rate of net migration,916,central america,l6,53,2002,-3.67
crude rate of net migration,916,central america,l6,54,2003,-3663.0
crude rate of net migration,916,central america,l6,55,2004,-3101.0
crude rate of net migration,916,central america,l6,56,2005,-3326.0
crude rate of net migration,916,central america,l6,57,2006,-3.17
crude rate of net migration,916,central america,l6,58,2007,-2869.0
crude rate of net migration,916,central america,l6,59,2008,-2915.0
crude rate of net migration,916,central america,l6,60,2009,-2664.0
crude rate of net migration,916,central america,l6,61,2010,-993.0
crude rate of net migration,916,central america,l6,62,2011,-665.0
crude rate of net migration,916,central america,l6,63,2012,-955.0
crude rate of net migration,916,central america,l6,64,2013,-1274.0
crude rate of net migration,916,central america,l6,65,2014,-1267.0
crude rate of net migration,916,central america,l6,66,2015,-1186.0
crude rate of net migration,916,central america,l6,67,2016,-401.0
crude rate of net migration,916,central america,l6,68,2017,-719.0
crude rate of net migration,916,central america,l6,69,2018,-1279.0
crude rate of net migration,916,central america,l6,70,2019,-0.98
crude rate of net migration,916,central america,l6,71,2020,-382.0
crude rate of net migration,916,central america,l6,72,2021,-659.0
crude rate of net migration,916,central america,l6,73,2022,-473.0
crude rate of net migration,916,central america,l6,74,2023,-465.0
