indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,148,chad,td,1,1950,243.0
total net number of migrants,148,chad,td,2,1951,140.0
total net number of migrants,148,chad,td,3,1952,39.0
total net number of migrants,148,chad,td,4,1953,-39.0
total net number of migrants,148,chad,td,5,1954,-139.0
total net number of migrants,148,chad,td,6,1955,-243.0
total net number of migrants,148,chad,td,7,1956,-343.0
total net number of migrants,148,chad,td,8,1957,-444.0
total net number of migrants,148,chad,td,9,1958,-536.0
total net number of migrants,148,chad,td,10,1959,-614.0
total net number of migrants,148,chad,td,11,1960,-687.0
total net number of migrants,148,chad,td,12,1961,-773.0
total net number of migrants,148,chad,td,13,1962,-902.0
total net number of migrants,148,chad,td,14,1963,-1242.0
total net number of migrants,148,chad,td,15,1964,-2521.0
total net number of migrants,148,chad,td,16,1965,-4383.0
total net number of migrants,148,chad,td,17,1966,-6296.0
total net number of migrants,148,chad,td,18,1967,-7778.0
total net number of migrants,148,chad,td,19,1968,-8408.0
total net number of migrants,148,chad,td,20,1969,-8723.0
total net number of migrants,148,chad,td,21,1970,-8937.0
total net number of migrants,148,chad,td,22,1971,-9163.0
total net number of migrants,148,chad,td,23,1972,-9535.0
total net number of migrants,148,chad,td,24,1973,-10751.0
total net number of migrants,148,chad,td,25,1974,-15703.0
total net number of migrants,148,chad,td,26,1975,-22800.0
total net number of migrants,148,chad,td,27,1976,-29796.0
total net number of migrants,148,chad,td,28,1977,-34368.0
total net number of migrants,148,chad,td,29,1978,-34912.0
total net number of migrants,148,chad,td,30,1979,-9989.0
total net number of migrants,148,chad,td,31,1980,-210554.0
total net number of migrants,148,chad,td,32,1981,-13245.0
total net number of migrants,148,chad,td,33,1982,217247.0
total net number of migrants,148,chad,td,34,1983,257.0
total net number of migrants,148,chad,td,35,1984,-164544.0
total net number of migrants,148,chad,td,36,1985,-30747.0
total net number of migrants,148,chad,td,37,1986,42086.0
total net number of migrants,148,chad,td,38,1987,23220.0
total net number of migrants,148,chad,td,39,1988,16077.0
total net number of migrants,148,chad,td,40,1989,4925.0
total net number of migrants,148,chad,td,41,1990,-58912.0
total net number of migrants,148,chad,td,42,1991,112490.0
total net number of migrants,148,chad,td,43,1992,6011.0
total net number of migrants,148,chad,td,44,1993,-146473.0
total net number of migrants,148,chad,td,45,1994,994.0
total net number of migrants,148,chad,td,46,1995,152235.0
total net number of migrants,148,chad,td,47,1996,1268.0
total net number of migrants,148,chad,td,48,1997,3624.0
total net number of migrants,148,chad,td,49,1998,2237.0
total net number of migrants,148,chad,td,50,1999,17174.0
total net number of migrants,148,chad,td,51,2000,-3839.0
total net number of migrants,148,chad,td,52,2001,3473.0
total net number of migrants,148,chad,td,53,2002,20396.0
total net number of migrants,148,chad,td,54,2003,105146.0
total net number of migrants,148,chad,td,55,2004,110387.0
total net number of migrants,148,chad,td,56,2005,19281.0
total net number of migrants,148,chad,td,57,2006,23055.0
total net number of migrants,148,chad,td,58,2007,-11340.0
total net number of migrants,148,chad,td,59,2008,36443.0
total net number of migrants,148,chad,td,60,2009,9108.0
total net number of migrants,148,chad,td,61,2010,10419.0
total net number of migrants,148,chad,td,62,2011,29255.0
total net number of migrants,148,chad,td,63,2012,9516.0
total net number of migrants,148,chad,td,64,2013,51887.0
total net number of migrants,148,chad,td,65,2014,20842.0
total net number of migrants,148,chad,td,66,2015,-48918.0
total net number of migrants,148,chad,td,67,2016,21546.0
total net number of migrants,148,chad,td,68,2017,16916.0
total net number of migrants,148,chad,td,69,2018,46664.0
total net number of migrants,148,chad,td,70,2019,-9469.0
total net number of migrants,148,chad,td,71,2020,9016.0
total net number of migrants,148,chad,td,72,2021,9016.0
total net number of migrants,148,chad,td,73,2022,-2000.0
total net number of migrants,148,chad,td,74,2023,-2000.0
