indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,152,chile,cl,1,1950,-25352.0
total net number of migrants,152,chile,cl,2,1951,-25011.0
total net number of migrants,152,chile,cl,3,1952,-24829.0
total net number of migrants,152,chile,cl,4,1953,-24785.0
total net number of migrants,152,chile,cl,5,1954,-24837.0
total net number of migrants,152,chile,cl,6,1955,-25010.0
total net number of migrants,152,chile,cl,7,1956,-25268.0
total net number of migrants,152,chile,cl,8,1957,-25589.0
total net number of migrants,152,chile,cl,9,1958,-25983.0
total net number of migrants,152,chile,cl,10,1959,-26513.0
total net number of migrants,152,chile,cl,11,1960,-27179.0
total net number of migrants,152,chile,cl,12,1961,-27959.0
total net number of migrants,152,chile,cl,13,1962,-28854.0
total net number of migrants,152,chile,cl,14,1963,-29988.0
total net number of migrants,152,chile,cl,15,1964,-32153.0
total net number of migrants,152,chile,cl,16,1965,-34847.0
total net number of migrants,152,chile,cl,17,1966,-37355.0
total net number of migrants,152,chile,cl,18,1967,-38972.0
total net number of migrants,152,chile,cl,19,1968,-39058.0
total net number of migrants,152,chile,cl,20,1969,-37903.0
total net number of migrants,152,chile,cl,21,1970,-36078.0
total net number of migrants,152,chile,cl,22,1971,-34137.0
total net number of migrants,152,chile,cl,23,1972,-32609.0
total net number of migrants,152,chile,cl,24,1973,-31895.0
total net number of migrants,152,chile,cl,25,1974,-31225.0
total net number of migrants,152,chile,cl,26,1975,-30556.0
total net number of migrants,152,chile,cl,27,1976,-30002.0
total net number of migrants,152,chile,cl,28,1977,-29659.0
total net number of migrants,152,chile,cl,29,1978,-29647.0
total net number of migrants,152,chile,cl,30,1979,-29890.0
total net number of migrants,152,chile,cl,31,1980,-30275.0
total net number of migrants,152,chile,cl,32,1981,-30641.0
total net number of migrants,152,chile,cl,33,1982,-30852.0
total net number of migrants,152,chile,cl,34,1983,-30484.0
total net number of migrants,152,chile,cl,35,1984,-28058.0
total net number of migrants,152,chile,cl,36,1985,-24137.0
total net number of migrants,152,chile,cl,37,1986,-19630.0
total net number of migrants,152,chile,cl,38,1987,-15430.0
total net number of migrants,152,chile,cl,39,1988,-12126.0
total net number of migrants,152,chile,cl,40,1989,-8686.0
total net number of migrants,152,chile,cl,41,1990,-5253.0
total net number of migrants,152,chile,cl,42,1991,-2214.0
total net number of migrants,152,chile,cl,43,1992,17.0
total net number of migrants,152,chile,cl,44,1993,1196.0
total net number of migrants,152,chile,cl,45,1994,1931.0
total net number of migrants,152,chile,cl,46,1995,2490.0
total net number of migrants,152,chile,cl,47,1996,2980.0
total net number of migrants,152,chile,cl,48,1997,3536.0
total net number of migrants,152,chile,cl,49,1998,4240.0
total net number of migrants,152,chile,cl,50,1999,4988.0
total net number of migrants,152,chile,cl,51,2000,5790.0
total net number of migrants,152,chile,cl,52,2001,6720.0
total net number of migrants,152,chile,cl,53,2002,7828.0
total net number of migrants,152,chile,cl,54,2003,9266.0
total net number of migrants,152,chile,cl,55,2004,11515.0
total net number of migrants,152,chile,cl,56,2005,14336.0
total net number of migrants,152,chile,cl,57,2006,17348.0
total net number of migrants,152,chile,cl,58,2007,20188.0
total net number of migrants,152,chile,cl,59,2008,22516.0
total net number of migrants,152,chile,cl,60,2009,24330.0
total net number of migrants,152,chile,cl,61,2010,26064.0
total net number of migrants,152,chile,cl,62,2011,28128.0
total net number of migrants,152,chile,cl,63,2012,30925.0
total net number of migrants,152,chile,cl,64,2013,36566.0
total net number of migrants,152,chile,cl,65,2014,52709.0
total net number of migrants,152,chile,cl,66,2015,55709.0
total net number of migrants,152,chile,cl,67,2016,126525.0
total net number of migrants,152,chile,cl,68,2017,214697.0
total net number of migrants,152,chile,cl,69,2018,237358.0
total net number of migrants,152,chile,cl,70,2019,230162.0
total net number of migrants,152,chile,cl,71,2020,98439.0
total net number of migrants,152,chile,cl,72,2021,113709.0
total net number of migrants,152,chile,cl,73,2022,-66850.0
total net number of migrants,152,chile,cl,74,2023,-71205.0
