indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,446,"china, macao sar",mo,1,1950,-1159
total net number of migrants,446,"china, macao sar",mo,2,1951,-6398
total net number of migrants,446,"china, macao sar",mo,3,1952,-7256
total net number of migrants,446,"china, macao sar",mo,4,1953,-7956
total net number of migrants,446,"china, macao sar",mo,5,1954,-8415
total net number of migrants,446,"china, macao sar",mo,6,1955,-8602
total net number of migrants,446,"china, macao sar",mo,7,1956,-8692
total net number of migrants,446,"china, macao sar",mo,8,1957,-8727
total net number of migrants,446,"china, macao sar",mo,9,1958,-8745
total net number of migrants,446,"china, macao sar",mo,10,1959,-8587
total net number of migrants,446,"china, macao sar",mo,11,1960,-8044
total net number of migrants,446,"china, macao sar",mo,12,1961,3673
total net number of migrants,446,"china, macao sar",mo,13,1962,4053
total net number of migrants,446,"china, macao sar",mo,14,1963,4338
total net number of migrants,446,"china, macao sar",mo,15,1964,4707
total net number of migrants,446,"china, macao sar",mo,16,1965,5118
total net number of migrants,446,"china, macao sar",mo,17,1966,5461
total net number of migrants,446,"china, macao sar",mo,18,1967,5743
total net number of migrants,446,"china, macao sar",mo,19,1968,5933
total net number of migrants,446,"china, macao sar",mo,20,1969,5884
total net number of migrants,446,"china, macao sar",mo,21,1970,5236
total net number of migrants,446,"china, macao sar",mo,22,1971,-2476
total net number of migrants,446,"china, macao sar",mo,23,1972,-2092
total net number of migrants,446,"china, macao sar",mo,24,1973,-1821
total net number of migrants,446,"china, macao sar",mo,25,1974,-1615
total net number of migrants,446,"china, macao sar",mo,26,1975,-1513
total net number of migrants,446,"china, macao sar",mo,27,1976,-1516
total net number of migrants,446,"china, macao sar",mo,28,1977,-1712
total net number of migrants,446,"china, macao sar",mo,29,1978,-2058
total net number of migrants,446,"china, macao sar",mo,30,1979,-2402
total net number of migrants,446,"china, macao sar",mo,31,1980,-2496
total net number of migrants,446,"china, macao sar",mo,32,1981,4021
total net number of migrants,446,"china, macao sar",mo,33,1982,5737
total net number of migrants,446,"china, macao sar",mo,34,1983,5835
total net number of migrants,446,"china, macao sar",mo,35,1984,6116
total net number of migrants,446,"china, macao sar",mo,36,1985,6397
total net number of migrants,446,"china, macao sar",mo,37,1986,6849
total net number of migrants,446,"china, macao sar",mo,38,1987,7269
total net number of migrants,446,"china, macao sar",mo,39,1988,7577
total net number of migrants,446,"china, macao sar",mo,40,1989,7482
total net number of migrants,446,"china, macao sar",mo,41,1990,7443
total net number of migrants,446,"china, macao sar",mo,42,1991,6206
total net number of migrants,446,"china, macao sar",mo,43,1992,3407
total net number of migrants,446,"china, macao sar",mo,44,1993,3464
total net number of migrants,446,"china, macao sar",mo,45,1994,3516
total net number of migrants,446,"china, macao sar",mo,46,1995,3740
total net number of migrants,446,"china, macao sar",mo,47,1996,3885
total net number of migrants,446,"china, macao sar",mo,48,1997,4068
total net number of migrants,446,"china, macao sar",mo,49,1998,4115
total net number of migrants,446,"china, macao sar",mo,50,1999,4227
total net number of migrants,446,"china, macao sar",mo,51,2000,4134
total net number of migrants,446,"china, macao sar",mo,52,2001,6581
total net number of migrants,446,"china, macao sar",mo,53,2002,11276
total net number of migrants,446,"china, macao sar",mo,54,2003,11452
total net number of migrants,446,"china, macao sar",mo,55,2004,11508
total net number of migrants,446,"china, macao sar",mo,56,2005,11407
total net number of migrants,446,"china, macao sar",mo,57,2006,11402
total net number of migrants,446,"china, macao sar",mo,58,2007,11333
total net number of migrants,446,"china, macao sar",mo,59,2008,11325
total net number of migrants,446,"china, macao sar",mo,60,2009,11257
total net number of migrants,446,"china, macao sar",mo,61,2010,11168
total net number of migrants,446,"china, macao sar",mo,62,2011,9169
total net number of migrants,446,"china, macao sar",mo,63,2012,6156
total net number of migrants,446,"china, macao sar",mo,64,2013,6050
total net number of migrants,446,"china, macao sar",mo,65,2014,6034
total net number of migrants,446,"china, macao sar",mo,66,2015,6465
total net number of migrants,446,"china, macao sar",mo,67,2016,6962
total net number of migrants,446,"china, macao sar",mo,68,2017,7727
total net number of migrants,446,"china, macao sar",mo,69,2018,8219
total net number of migrants,446,"china, macao sar",mo,70,2019,8578
total net number of migrants,446,"china, macao sar",mo,71,2020,8441
total net number of migrants,446,"china, macao sar",mo,72,2021,4004
total net number of migrants,446,"china, macao sar",mo,73,2022,5000
total net number of migrants,446,"china, macao sar",mo,74,2023,5000
