indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,158,"china, taiwan province of china",tw,1,1950,6505
crude rate of net migration,158,"china, taiwan province of china",tw,2,1951,4482
crude rate of net migration,158,"china, taiwan province of china",tw,3,1952,2899
crude rate of net migration,158,"china, taiwan province of china",tw,4,1953,1715
crude rate of net migration,158,"china, taiwan province of china",tw,5,1954,876
crude rate of net migration,158,"china, taiwan province of china",tw,6,1955,348
crude rate of net migration,158,"china, taiwan province of china",tw,7,1956,72
crude rate of net migration,158,"china, taiwan province of china",tw,8,1957,"0,04"
crude rate of net migration,158,"china, taiwan province of china",tw,9,1958,283
crude rate of net migration,158,"china, taiwan province of china",tw,10,1959,1102
crude rate of net migration,158,"china, taiwan province of china",tw,11,1960,2223
crude rate of net migration,158,"china, taiwan province of china",tw,12,1961,3293
crude rate of net migration,158,"china, taiwan province of china",tw,13,1962,4032
crude rate of net migration,158,"china, taiwan province of china",tw,14,1963,4296
crude rate of net migration,158,"china, taiwan province of china",tw,15,1964,"4,57"
crude rate of net migration,158,"china, taiwan province of china",tw,16,1965,4862
crude rate of net migration,158,"china, taiwan province of china",tw,17,1966,5051
crude rate of net migration,158,"china, taiwan province of china",tw,18,1967,-1016
crude rate of net migration,158,"china, taiwan province of china",tw,19,1968,-958
crude rate of net migration,158,"china, taiwan province of china",tw,20,1969,-1015
crude rate of net migration,158,"china, taiwan province of china",tw,21,1970,-1011
crude rate of net migration,158,"china, taiwan province of china",tw,22,1971,-549
crude rate of net migration,158,"china, taiwan province of china",tw,23,1972,-218
crude rate of net migration,158,"china, taiwan province of china",tw,24,1973,-305
crude rate of net migration,158,"china, taiwan province of china",tw,25,1974,-623
crude rate of net migration,158,"china, taiwan province of china",tw,26,1975,-1177
crude rate of net migration,158,"china, taiwan province of china",tw,27,1976,-2335
crude rate of net migration,158,"china, taiwan province of china",tw,28,1977,-1603
crude rate of net migration,158,"china, taiwan province of china",tw,29,1978,-1905
crude rate of net migration,158,"china, taiwan province of china",tw,30,1979,"-2,17"
crude rate of net migration,158,"china, taiwan province of china",tw,31,1980,-2104
crude rate of net migration,158,"china, taiwan province of china",tw,32,1981,-2126
crude rate of net migration,158,"china, taiwan province of china",tw,33,1982,-1868
crude rate of net migration,158,"china, taiwan province of china",tw,34,1983,-1261
crude rate of net migration,158,"china, taiwan province of china",tw,35,1984,-845
crude rate of net migration,158,"china, taiwan province of china",tw,36,1985,-123
crude rate of net migration,158,"china, taiwan province of china",tw,37,1986,387
crude rate of net migration,158,"china, taiwan province of china",tw,38,1987,"-0,33"
crude rate of net migration,158,"china, taiwan province of china",tw,39,1988,-1575
crude rate of net migration,158,"china, taiwan province of china",tw,40,1989,-2384
crude rate of net migration,158,"china, taiwan province of china",tw,41,1990,-2412
crude rate of net migration,158,"china, taiwan province of china",tw,42,1991,"-1,93"
crude rate of net migration,158,"china, taiwan province of china",tw,43,1992,-2089
crude rate of net migration,158,"china, taiwan province of china",tw,44,1993,-2427
crude rate of net migration,158,"china, taiwan province of china",tw,45,1994,-2456
crude rate of net migration,158,"china, taiwan province of china",tw,46,1995,-2387
crude rate of net migration,158,"china, taiwan province of china",tw,47,1996,-2374
crude rate of net migration,158,"china, taiwan province of china",tw,48,1997,-2002
crude rate of net migration,158,"china, taiwan province of china",tw,49,1998,-868
crude rate of net migration,158,"china, taiwan province of china",tw,50,1999,-674
crude rate of net migration,158,"china, taiwan province of china",tw,51,2000,-419
crude rate of net migration,158,"china, taiwan province of china",tw,52,2001,466
crude rate of net migration,158,"china, taiwan province of china",tw,53,2002,513
crude rate of net migration,158,"china, taiwan province of china",tw,54,2003,583
crude rate of net migration,158,"china, taiwan province of china",tw,55,2004,498
crude rate of net migration,158,"china, taiwan province of china",tw,56,2005,385
crude rate of net migration,158,"china, taiwan province of china",tw,57,2006,-142
crude rate of net migration,158,"china, taiwan province of china",tw,58,2007,-264
crude rate of net migration,158,"china, taiwan province of china",tw,59,2008,-301
crude rate of net migration,158,"china, taiwan province of china",tw,60,2009,-233
crude rate of net migration,158,"china, taiwan province of china",tw,61,2010,253
crude rate of net migration,158,"china, taiwan province of china",tw,62,2011,1639
crude rate of net migration,158,"china, taiwan province of china",tw,63,2012,1499
crude rate of net migration,158,"china, taiwan province of china",tw,64,2013,1441
crude rate of net migration,158,"china, taiwan province of china",tw,65,2014,1406
crude rate of net migration,158,"china, taiwan province of china",tw,66,2015,1366
crude rate of net migration,158,"china, taiwan province of china",tw,67,2016,1332
crude rate of net migration,158,"china, taiwan province of china",tw,68,2017,"1,29"
crude rate of net migration,158,"china, taiwan province of china",tw,69,2018,"1,24"
crude rate of net migration,158,"china, taiwan province of china",tw,70,2019,1178
crude rate of net migration,158,"china, taiwan province of china",tw,71,2020,1109
crude rate of net migration,158,"china, taiwan province of china",tw,72,2021,1107
crude rate of net migration,158,"china, taiwan province of china",tw,73,2022,1005
crude rate of net migration,158,"china, taiwan province of china",tw,74,2023,1004
