indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,446,china. macao sar,mo,1,1950,-1159.0
total net number of migrants,446,china. macao sar,mo,2,1951,-6398.0
total net number of migrants,446,china. macao sar,mo,3,1952,-7256.0
total net number of migrants,446,china. macao sar,mo,4,1953,-7956.0
total net number of migrants,446,china. macao sar,mo,5,1954,-8415.0
total net number of migrants,446,china. macao sar,mo,6,1955,-8602.0
total net number of migrants,446,china. macao sar,mo,7,1956,-8692.0
total net number of migrants,446,china. macao sar,mo,8,1957,-8727.0
total net number of migrants,446,china. macao sar,mo,9,1958,-8745.0
total net number of migrants,446,china. macao sar,mo,10,1959,-8587.0
total net number of migrants,446,china. macao sar,mo,11,1960,-8044.0
total net number of migrants,446,china. macao sar,mo,12,1961,3673.0
total net number of migrants,446,china. macao sar,mo,13,1962,4053.0
total net number of migrants,446,china. macao sar,mo,14,1963,4338.0
total net number of migrants,446,china. macao sar,mo,15,1964,4707.0
total net number of migrants,446,china. macao sar,mo,16,1965,5118.0
total net number of migrants,446,china. macao sar,mo,17,1966,5461.0
total net number of migrants,446,china. macao sar,mo,18,1967,5743.0
total net number of migrants,446,china. macao sar,mo,19,1968,5933.0
total net number of migrants,446,china. macao sar,mo,20,1969,5884.0
total net number of migrants,446,china. macao sar,mo,21,1970,5236.0
total net number of migrants,446,china. macao sar,mo,22,1971,-2476.0
total net number of migrants,446,china. macao sar,mo,23,1972,-2092.0
total net number of migrants,446,china. macao sar,mo,24,1973,-1821.0
total net number of migrants,446,china. macao sar,mo,25,1974,-1615.0
total net number of migrants,446,china. macao sar,mo,26,1975,-1513.0
total net number of migrants,446,china. macao sar,mo,27,1976,-1516.0
total net number of migrants,446,china. macao sar,mo,28,1977,-1712.0
total net number of migrants,446,china. macao sar,mo,29,1978,-2058.0
total net number of migrants,446,china. macao sar,mo,30,1979,-2402.0
total net number of migrants,446,china. macao sar,mo,31,1980,-2496.0
total net number of migrants,446,china. macao sar,mo,32,1981,4021.0
total net number of migrants,446,china. macao sar,mo,33,1982,5737.0
total net number of migrants,446,china. macao sar,mo,34,1983,5835.0
total net number of migrants,446,china. macao sar,mo,35,1984,6116.0
total net number of migrants,446,china. macao sar,mo,36,1985,6397.0
total net number of migrants,446,china. macao sar,mo,37,1986,6849.0
total net number of migrants,446,china. macao sar,mo,38,1987,7269.0
total net number of migrants,446,china. macao sar,mo,39,1988,7577.0
total net number of migrants,446,china. macao sar,mo,40,1989,7482.0
total net number of migrants,446,china. macao sar,mo,41,1990,7443.0
total net number of migrants,446,china. macao sar,mo,42,1991,6206.0
total net number of migrants,446,china. macao sar,mo,43,1992,3407.0
total net number of migrants,446,china. macao sar,mo,44,1993,3464.0
total net number of migrants,446,china. macao sar,mo,45,1994,3516.0
total net number of migrants,446,china. macao sar,mo,46,1995,3740.0
total net number of migrants,446,china. macao sar,mo,47,1996,3885.0
total net number of migrants,446,china. macao sar,mo,48,1997,4068.0
total net number of migrants,446,china. macao sar,mo,49,1998,4115.0
total net number of migrants,446,china. macao sar,mo,50,1999,4227.0
total net number of migrants,446,china. macao sar,mo,51,2000,4134.0
total net number of migrants,446,china. macao sar,mo,52,2001,6581.0
total net number of migrants,446,china. macao sar,mo,53,2002,11276.0
total net number of migrants,446,china. macao sar,mo,54,2003,11452.0
total net number of migrants,446,china. macao sar,mo,55,2004,11508.0
total net number of migrants,446,china. macao sar,mo,56,2005,11407.0
total net number of migrants,446,china. macao sar,mo,57,2006,11402.0
total net number of migrants,446,china. macao sar,mo,58,2007,11333.0
total net number of migrants,446,china. macao sar,mo,59,2008,11325.0
total net number of migrants,446,china. macao sar,mo,60,2009,11257.0
total net number of migrants,446,china. macao sar,mo,61,2010,11168.0
total net number of migrants,446,china. macao sar,mo,62,2011,9169.0
total net number of migrants,446,china. macao sar,mo,63,2012,6156.0
total net number of migrants,446,china. macao sar,mo,64,2013,6050.0
total net number of migrants,446,china. macao sar,mo,65,2014,6034.0
total net number of migrants,446,china. macao sar,mo,66,2015,6465.0
total net number of migrants,446,china. macao sar,mo,67,2016,6962.0
total net number of migrants,446,china. macao sar,mo,68,2017,7727.0
total net number of migrants,446,china. macao sar,mo,69,2018,8219.0
total net number of migrants,446,china. macao sar,mo,70,2019,8578.0
total net number of migrants,446,china. macao sar,mo,71,2020,8441.0
total net number of migrants,446,china. macao sar,mo,72,2021,4004.0
total net number of migrants,446,china. macao sar,mo,73,2022,5000.0
total net number of migrants,446,china. macao sar,mo,74,2023,5000.0
