indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,158,china. taiwan province of china,tw,1,1950,6505.0
crude rate of net migration,158,china. taiwan province of china,tw,2,1951,4482.0
crude rate of net migration,158,china. taiwan province of china,tw,3,1952,2899.0
crude rate of net migration,158,china. taiwan province of china,tw,4,1953,1715.0
crude rate of net migration,158,china. taiwan province of china,tw,5,1954,876.0
crude rate of net migration,158,china. taiwan province of china,tw,6,1955,348.0
crude rate of net migration,158,china. taiwan province of china,tw,7,1956,72.0
crude rate of net migration,158,china. taiwan province of china,tw,8,1957,0.04
crude rate of net migration,158,china. taiwan province of china,tw,9,1958,283.0
crude rate of net migration,158,china. taiwan province of china,tw,10,1959,1102.0
crude rate of net migration,158,china. taiwan province of china,tw,11,1960,2223.0
crude rate of net migration,158,china. taiwan province of china,tw,12,1961,3293.0
crude rate of net migration,158,china. taiwan province of china,tw,13,1962,4032.0
crude rate of net migration,158,china. taiwan province of china,tw,14,1963,4296.0
crude rate of net migration,158,china. taiwan province of china,tw,15,1964,20911.0
crude rate of net migration,158,china. taiwan province of china,tw,16,1965,4862.0
crude rate of net migration,158,china. taiwan province of china,tw,17,1966,5051.0
crude rate of net migration,158,china. taiwan province of china,tw,18,1967,-1016.0
crude rate of net migration,158,china. taiwan province of china,tw,19,1968,-958.0
crude rate of net migration,158,china. taiwan province of china,tw,20,1969,-1015.0
crude rate of net migration,158,china. taiwan province of china,tw,21,1970,-1011.0
crude rate of net migration,158,china. taiwan province of china,tw,22,1971,-549.0
crude rate of net migration,158,china. taiwan province of china,tw,23,1972,-218.0
crude rate of net migration,158,china. taiwan province of china,tw,24,1973,-305.0
crude rate of net migration,158,china. taiwan province of china,tw,25,1974,-623.0
crude rate of net migration,158,china. taiwan province of china,tw,26,1975,-1177.0
crude rate of net migration,158,china. taiwan province of china,tw,27,1976,-2335.0
crude rate of net migration,158,china. taiwan province of china,tw,28,1977,-1603.0
crude rate of net migration,158,china. taiwan province of china,tw,29,1978,-1905.0
crude rate of net migration,158,china. taiwan province of china,tw,30,1979,-2.17
crude rate of net migration,158,china. taiwan province of china,tw,31,1980,-2104.0
crude rate of net migration,158,china. taiwan province of china,tw,32,1981,-2126.0
crude rate of net migration,158,china. taiwan province of china,tw,33,1982,-1868.0
crude rate of net migration,158,china. taiwan province of china,tw,34,1983,-1261.0
crude rate of net migration,158,china. taiwan province of china,tw,35,1984,-845.0
crude rate of net migration,158,china. taiwan province of china,tw,36,1985,-123.0
crude rate of net migration,158,china. taiwan province of china,tw,37,1986,387.0
crude rate of net migration,158,china. taiwan province of china,tw,38,1987,-0.33
crude rate of net migration,158,china. taiwan province of china,tw,39,1988,-1575.0
crude rate of net migration,158,china. taiwan province of china,tw,40,1989,-2384.0
crude rate of net migration,158,china. taiwan province of china,tw,41,1990,-2412.0
crude rate of net migration,158,china. taiwan province of china,tw,42,1991,-1.93
crude rate of net migration,158,china. taiwan province of china,tw,43,1992,-2089.0
crude rate of net migration,158,china. taiwan province of china,tw,44,1993,-2427.0
crude rate of net migration,158,china. taiwan province of china,tw,45,1994,-2456.0
crude rate of net migration,158,china. taiwan province of china,tw,46,1995,-2387.0
crude rate of net migration,158,china. taiwan province of china,tw,47,1996,-2374.0
crude rate of net migration,158,china. taiwan province of china,tw,48,1997,-2002.0
crude rate of net migration,158,china. taiwan province of china,tw,49,1998,-868.0
crude rate of net migration,158,china. taiwan province of china,tw,50,1999,-674.0
crude rate of net migration,158,china. taiwan province of china,tw,51,2000,-419.0
crude rate of net migration,158,china. taiwan province of china,tw,52,2001,466.0
crude rate of net migration,158,china. taiwan province of china,tw,53,2002,513.0
crude rate of net migration,158,china. taiwan province of china,tw,54,2003,583.0
crude rate of net migration,158,china. taiwan province of china,tw,55,2004,498.0
crude rate of net migration,158,china. taiwan province of china,tw,56,2005,385.0
crude rate of net migration,158,china. taiwan province of china,tw,57,2006,-142.0
crude rate of net migration,158,china. taiwan province of china,tw,58,2007,-264.0
crude rate of net migration,158,china. taiwan province of china,tw,59,2008,-301.0
crude rate of net migration,158,china. taiwan province of china,tw,60,2009,-233.0
crude rate of net migration,158,china. taiwan province of china,tw,61,2010,253.0
crude rate of net migration,158,china. taiwan province of china,tw,62,2011,1639.0
crude rate of net migration,158,china. taiwan province of china,tw,63,2012,1499.0
crude rate of net migration,158,china. taiwan province of china,tw,64,2013,1441.0
crude rate of net migration,158,china. taiwan province of china,tw,65,2014,1406.0
crude rate of net migration,158,china. taiwan province of china,tw,66,2015,1366.0
crude rate of net migration,158,china. taiwan province of china,tw,67,2016,1332.0
crude rate of net migration,158,china. taiwan province of china,tw,68,2017,47119.0
crude rate of net migration,158,china. taiwan province of china,tw,69,2018,45292.0
crude rate of net migration,158,china. taiwan province of china,tw,70,2019,1178.0
crude rate of net migration,158,china. taiwan province of china,tw,71,2020,1109.0
crude rate of net migration,158,china. taiwan province of china,tw,72,2021,1107.0
crude rate of net migration,158,china. taiwan province of china,tw,73,2022,1005.0
crude rate of net migration,158,china. taiwan province of china,tw,74,2023,1004.0
