indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,174,comoros,km,1,1950,5095.0
crude rate of net migration,174,comoros,km,2,1951,2947.0
crude rate of net migration,174,comoros,km,3,1952,885.0
crude rate of net migration,174,comoros,km,4,1953,-0.85
crude rate of net migration,174,comoros,km,5,1954,-2542.0
crude rate of net migration,174,comoros,km,6,1955,-4.01
crude rate of net migration,174,comoros,km,7,1956,-5227.0
crude rate of net migration,174,comoros,km,8,1957,-2945.0
crude rate of net migration,174,comoros,km,9,1958,-2581.0
crude rate of net migration,174,comoros,km,10,1959,-3.95
crude rate of net migration,174,comoros,km,11,1960,-3795.0
crude rate of net migration,174,comoros,km,12,1961,-3648.0
crude rate of net migration,174,comoros,km,13,1962,-3558.0
crude rate of net migration,174,comoros,km,14,1963,-3542.0
crude rate of net migration,174,comoros,km,15,1964,-3591.0
crude rate of net migration,174,comoros,km,16,1965,-3.14
crude rate of net migration,174,comoros,km,17,1966,-3167.0
crude rate of net migration,174,comoros,km,18,1967,281.0
crude rate of net migration,174,comoros,km,19,1968,1257.0
crude rate of net migration,174,comoros,km,20,1969,17533.0
crude rate of net migration,174,comoros,km,21,1970,1775.0
crude rate of net migration,174,comoros,km,22,1971,2114.0
crude rate of net migration,174,comoros,km,23,1972,2501.0
crude rate of net migration,174,comoros,km,24,1973,2919.0
crude rate of net migration,174,comoros,km,25,1974,3394.0
crude rate of net migration,174,comoros,km,26,1975,3784.0
crude rate of net migration,174,comoros,km,27,1976,4055.0
crude rate of net migration,174,comoros,km,28,1977,4217.0
crude rate of net migration,174,comoros,km,29,1978,4347.0
crude rate of net migration,174,comoros,km,30,1979,3816.0
crude rate of net migration,174,comoros,km,31,1980,1725.0
crude rate of net migration,174,comoros,km,32,1981,-1.95
crude rate of net migration,174,comoros,km,33,1982,-4045.0
crude rate of net migration,174,comoros,km,34,1983,-3559.0
crude rate of net migration,174,comoros,km,35,1984,-3077.0
crude rate of net migration,174,comoros,km,36,1985,-2624.0
crude rate of net migration,174,comoros,km,37,1986,-2.24
crude rate of net migration,174,comoros,km,38,1987,-1956.0
crude rate of net migration,174,comoros,km,39,1988,-1.78
crude rate of net migration,174,comoros,km,40,1989,-1588.0
crude rate of net migration,174,comoros,km,41,1990,-2765.0
crude rate of net migration,174,comoros,km,42,1991,-4248.0
crude rate of net migration,174,comoros,km,43,1992,-5334.0
crude rate of net migration,174,comoros,km,44,1993,-6235.0
crude rate of net migration,174,comoros,km,45,1994,-6049.0
crude rate of net migration,174,comoros,km,46,1995,-5834.0
crude rate of net migration,174,comoros,km,47,1996,-5578.0
crude rate of net migration,174,comoros,km,48,1997,-5.29
crude rate of net migration,174,comoros,km,49,1998,-4995.0
crude rate of net migration,174,comoros,km,50,1999,-7181.0
crude rate of net migration,174,comoros,km,51,2000,-5521.0
crude rate of net migration,174,comoros,km,52,2001,-4648.0
crude rate of net migration,174,comoros,km,53,2002,-4467.0
crude rate of net migration,174,comoros,km,54,2003,-5396.0
crude rate of net migration,174,comoros,km,55,2004,-5324.0
crude rate of net migration,174,comoros,km,56,2005,-4573.0
crude rate of net migration,174,comoros,km,57,2006,-4424.0
crude rate of net migration,174,comoros,km,58,2007,-4223.0
crude rate of net migration,174,comoros,km,59,2008,-4042.0
crude rate of net migration,174,comoros,km,60,2009,-3759.0
crude rate of net migration,174,comoros,km,61,2010,-3.49
crude rate of net migration,174,comoros,km,62,2011,-3197.0
crude rate of net migration,174,comoros,km,63,2012,-2873.0
crude rate of net migration,174,comoros,km,64,2013,-2532.0
crude rate of net migration,174,comoros,km,65,2014,-2193.0
crude rate of net migration,174,comoros,km,66,2015,-1846.0
crude rate of net migration,174,comoros,km,67,2016,-1521.0
crude rate of net migration,174,comoros,km,68,2017,-3829.0
crude rate of net migration,174,comoros,km,69,2018,-3753.0
crude rate of net migration,174,comoros,km,70,2019,-3681.0
crude rate of net migration,174,comoros,km,71,2020,-2196.0
crude rate of net migration,174,comoros,km,72,2021,-2154.0
crude rate of net migration,174,comoros,km,73,2022,-2387.0
crude rate of net migration,174,comoros,km,74,2023,-2344.0
