indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,174,comoros,km,1,1950,823.0
total net number of migrants,174,comoros,km,2,1951,486.0
total net number of migrants,174,comoros,km,3,1952,149.0
total net number of migrants,174,comoros,km,4,1953,-146.0
total net number of migrants,174,comoros,km,5,1954,-445.0
total net number of migrants,174,comoros,km,6,1955,-715.0
total net number of migrants,174,comoros,km,7,1956,-948.0
total net number of migrants,174,comoros,km,8,1957,-543.0
total net number of migrants,174,comoros,km,9,1958,-485.0
total net number of migrants,174,comoros,km,10,1959,-757.0
total net number of migrants,174,comoros,km,11,1960,-741.0
total net number of migrants,174,comoros,km,12,1961,-726.0
total net number of migrants,174,comoros,km,13,1962,-722.0
total net number of migrants,174,comoros,km,14,1963,-733.0
total net number of migrants,174,comoros,km,15,1964,-758.0
total net number of migrants,174,comoros,km,16,1965,-676.0
total net number of migrants,174,comoros,km,17,1966,-696.0
total net number of migrants,174,comoros,km,18,1967,63.0
total net number of migrants,174,comoros,km,19,1968,289.0
total net number of migrants,174,comoros,km,20,1969,349.0
total net number of migrants,174,comoros,km,21,1970,430.0
total net number of migrants,174,comoros,km,22,1971,526.0
total net number of migrants,174,comoros,km,23,1972,640.0
total net number of migrants,174,comoros,km,24,1973,769.0
total net number of migrants,174,comoros,km,25,1974,921.0
total net number of migrants,174,comoros,km,26,1975,1058.0
total net number of migrants,174,comoros,km,27,1976,1169.0
total net number of migrants,174,comoros,km,28,1977,1255.0
total net number of migrants,174,comoros,km,29,1978,1336.0
total net number of migrants,174,comoros,km,30,1979,1212.0
total net number of migrants,174,comoros,km,31,1980,566.0
total net number of migrants,174,comoros,km,32,1981,-660.0
total net number of migrants,174,comoros,km,33,1982,-1407.0
total net number of migrants,174,comoros,km,34,1983,-1270.0
total net number of migrants,174,comoros,km,35,1984,-1127.0
total net number of migrants,174,comoros,km,36,1985,-987.0
total net number of migrants,174,comoros,km,37,1986,-866.0
total net number of migrants,174,comoros,km,38,1987,-777.0
total net number of migrants,174,comoros,km,39,1988,-727.0
total net number of migrants,174,comoros,km,40,1989,-667.0
total net number of migrants,174,comoros,km,41,1990,-1194.0
total net number of migrants,174,comoros,km,42,1991,-1883.0
total net number of migrants,174,comoros,km,43,1992,-2423.0
total net number of migrants,174,comoros,km,44,1993,-2898.0
total net number of migrants,174,comoros,km,45,1994,-2873.0
total net number of migrants,174,comoros,km,46,1995,-2831.0
total net number of migrants,174,comoros,km,47,1996,-2765.0
total net number of migrants,174,comoros,km,48,1997,-2679.0
total net number of migrants,174,comoros,km,49,1998,-2584.0
total net number of migrants,174,comoros,km,50,1999,-3794.0
total net number of migrants,174,comoros,km,51,2000,-2971.0
total net number of migrants,174,comoros,km,52,2001,-2551.0
total net number of migrants,174,comoros,km,53,2002,-2502.0
total net number of migrants,174,comoros,km,54,2003,-3084.0
total net number of migrants,174,comoros,km,55,2004,-3103.0
total net number of migrants,174,comoros,km,56,2005,-2717.0
total net number of migrants,174,comoros,km,57,2006,-2681.0
total net number of migrants,174,comoros,km,58,2007,-2611.0
total net number of migrants,174,comoros,km,59,2008,-2550.0
total net number of migrants,174,comoros,km,60,2009,-2420.0
total net number of migrants,174,comoros,km,61,2010,-2294.0
total net number of migrants,174,comoros,km,62,2011,-2146.0
total net number of migrants,174,comoros,km,63,2012,-1970.0
total net number of migrants,174,comoros,km,64,2013,-1773.0
total net number of migrants,174,comoros,km,65,2014,-1569.0
total net number of migrants,174,comoros,km,66,2015,-1349.0
total net number of migrants,174,comoros,km,67,2016,-1136.0
total net number of migrants,174,comoros,km,68,2017,-2922.0
total net number of migrants,174,comoros,km,69,2018,-2919.0
total net number of migrants,174,comoros,km,70,2019,-2917.0
total net number of migrants,174,comoros,km,71,2020,-1772.0
total net number of migrants,174,comoros,km,72,2021,-1772.0
total net number of migrants,174,comoros,km,73,2022,-2000.0
total net number of migrants,174,comoros,km,74,2023,-2000.0
