indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,188,costa rica,cr,1,1950,702.0
crude rate of net migration,188,costa rica,cr,2,1951,804.0
crude rate of net migration,188,costa rica,cr,3,1952,902.0
crude rate of net migration,188,costa rica,cr,4,1953,979.0
crude rate of net migration,188,costa rica,cr,5,1954,1054.0
crude rate of net migration,188,costa rica,cr,6,1955,1104.0
crude rate of net migration,188,costa rica,cr,7,1956,1142.0
crude rate of net migration,188,costa rica,cr,8,1957,1153.0
crude rate of net migration,188,costa rica,cr,9,1958,1147.0
crude rate of net migration,188,costa rica,cr,10,1959,1141.0
crude rate of net migration,188,costa rica,cr,11,1960,1133.0
crude rate of net migration,188,costa rica,cr,12,1961,1111.0
crude rate of net migration,188,costa rica,cr,13,1962,1089.0
crude rate of net migration,188,costa rica,cr,14,1963,1056.0
crude rate of net migration,188,costa rica,cr,15,1964,1016.0
crude rate of net migration,188,costa rica,cr,16,1965,0.98
crude rate of net migration,188,costa rica,cr,17,1966,945.0
crude rate of net migration,188,costa rica,cr,18,1967,915.0
crude rate of net migration,188,costa rica,cr,19,1968,902.0
crude rate of net migration,188,costa rica,cr,20,1969,947.0
crude rate of net migration,188,costa rica,cr,21,1970,1034.0
crude rate of net migration,188,costa rica,cr,22,1971,1143.0
crude rate of net migration,188,costa rica,cr,23,1972,1238.0
crude rate of net migration,188,costa rica,cr,24,1973,1312.0
crude rate of net migration,188,costa rica,cr,25,1974,1386.0
crude rate of net migration,188,costa rica,cr,26,1975,16803.0
crude rate of net migration,188,costa rica,cr,27,1976,1514.0
crude rate of net migration,188,costa rica,cr,28,1977,1546.0
crude rate of net migration,188,costa rica,cr,29,1978,1546.0
crude rate of net migration,188,costa rica,cr,30,1979,1541.0
crude rate of net migration,188,costa rica,cr,31,1980,1525.0
crude rate of net migration,188,costa rica,cr,32,1981,18629.0
crude rate of net migration,188,costa rica,cr,33,1982,1481.0
crude rate of net migration,188,costa rica,cr,34,1983,1438.0
crude rate of net migration,188,costa rica,cr,35,1984,1376.0
crude rate of net migration,188,costa rica,cr,36,1985,1311.0
crude rate of net migration,188,costa rica,cr,37,1986,1246.0
crude rate of net migration,188,costa rica,cr,38,1987,1196.0
crude rate of net migration,188,costa rica,cr,39,1988,1242.0
crude rate of net migration,188,costa rica,cr,40,1989,1741.0
crude rate of net migration,188,costa rica,cr,41,1990,2518.0
crude rate of net migration,188,costa rica,cr,42,1991,3326.0
crude rate of net migration,188,costa rica,cr,43,1992,3944.0
crude rate of net migration,188,costa rica,cr,44,1993,4245.0
crude rate of net migration,188,costa rica,cr,45,1994,4474.0
crude rate of net migration,188,costa rica,cr,46,1995,4659.0
crude rate of net migration,188,costa rica,cr,47,1996,4768.0
crude rate of net migration,188,costa rica,cr,48,1997,4783.0
crude rate of net migration,188,costa rica,cr,49,1998,4636.0
crude rate of net migration,188,costa rica,cr,50,1999,4131.0
crude rate of net migration,188,costa rica,cr,51,2000,3421.0
crude rate of net migration,188,costa rica,cr,52,2001,2708.0
crude rate of net migration,188,costa rica,cr,53,2002,2169.0
crude rate of net migration,188,costa rica,cr,54,2003,1914.0
crude rate of net migration,188,costa rica,cr,55,2004,1755.0
crude rate of net migration,188,costa rica,cr,56,2005,1628.0
crude rate of net migration,188,costa rica,cr,57,2006,18994.0
crude rate of net migration,188,costa rica,cr,58,2007,1414.0
crude rate of net migration,188,costa rica,cr,59,2008,1296.0
crude rate of net migration,188,costa rica,cr,60,2009,1158.0
crude rate of net migration,188,costa rica,cr,61,2010,1024.0
crude rate of net migration,188,costa rica,cr,62,2011,0.91
crude rate of net migration,188,costa rica,cr,63,2012,841.0
crude rate of net migration,188,costa rica,cr,64,2013,825.0
crude rate of net migration,188,costa rica,cr,65,2014,825.0
crude rate of net migration,188,costa rica,cr,66,2015,831.0
crude rate of net migration,188,costa rica,cr,67,2016,0.84
crude rate of net migration,188,costa rica,cr,68,2017,841.0
crude rate of net migration,188,costa rica,cr,69,2018,833.0
crude rate of net migration,188,costa rica,cr,70,2019,818.0
crude rate of net migration,188,costa rica,cr,71,2020,407.0
crude rate of net migration,188,costa rica,cr,72,2021,404.0
crude rate of net migration,188,costa rica,cr,73,2022,743.0
crude rate of net migration,188,costa rica,cr,74,2023,0.72
