indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,384,cote d'ivoire,ci,1,1950,6058.0
crude rate of net migration,384,cote d'ivoire,ci,2,1951,5264.0
crude rate of net migration,384,cote d'ivoire,ci,3,1952,4838.0
crude rate of net migration,384,cote d'ivoire,ci,4,1953,4701.0
crude rate of net migration,384,cote d'ivoire,ci,5,1954,4783.0
crude rate of net migration,384,cote d'ivoire,ci,6,1955,44962.0
crude rate of net migration,384,cote d'ivoire,ci,7,1956,5351.0
crude rate of net migration,384,cote d'ivoire,ci,8,1957,5728.0
crude rate of net migration,384,cote d'ivoire,ci,9,1958,6206.0
crude rate of net migration,384,cote d'ivoire,ci,10,1959,7236.0
crude rate of net migration,384,cote d'ivoire,ci,11,1960,8474.0
crude rate of net migration,384,cote d'ivoire,ci,12,1961,9503.0
crude rate of net migration,384,cote d'ivoire,ci,13,1962,9968.0
crude rate of net migration,384,cote d'ivoire,ci,14,1963,9699.0
crude rate of net migration,384,cote d'ivoire,ci,15,1964,9327.0
crude rate of net migration,384,cote d'ivoire,ci,16,1965,35643.0
crude rate of net migration,384,cote d'ivoire,ci,17,1966,8626.0
crude rate of net migration,384,cote d'ivoire,ci,18,1967,8295.0
crude rate of net migration,384,cote d'ivoire,ci,19,1968,8187.0
crude rate of net migration,384,cote d'ivoire,ci,20,1969,9211.0
crude rate of net migration,384,cote d'ivoire,ci,21,1970,10806.0
crude rate of net migration,384,cote d'ivoire,ci,22,1971,12263.0
crude rate of net migration,384,cote d'ivoire,ci,23,1972,12991.0
crude rate of net migration,384,cote d'ivoire,ci,24,1973,12694.0
crude rate of net migration,384,cote d'ivoire,ci,25,1974,44969.0
crude rate of net migration,384,cote d'ivoire,ci,26,1975,11702.0
crude rate of net migration,384,cote d'ivoire,ci,27,1976,2823.0
crude rate of net migration,384,cote d'ivoire,ci,28,1977,36161.0
crude rate of net migration,384,cote d'ivoire,ci,29,1978,1227.0
crude rate of net migration,384,cote d'ivoire,ci,30,1979,616.0
crude rate of net migration,384,cote d'ivoire,ci,31,1980,213.0
crude rate of net migration,384,cote d'ivoire,ci,32,1981,-0.02
crude rate of net migration,384,cote d'ivoire,ci,33,1982,-165.0
crude rate of net migration,384,cote d'ivoire,ci,34,1983,-268.0
crude rate of net migration,384,cote d'ivoire,ci,35,1984,-342.0
crude rate of net migration,384,cote d'ivoire,ci,36,1985,-402.0
crude rate of net migration,384,cote d'ivoire,ci,37,1986,-463.0
crude rate of net migration,384,cote d'ivoire,ci,38,1987,0.82
crude rate of net migration,384,cote d'ivoire,ci,39,1988,3611.0
crude rate of net migration,384,cote d'ivoire,ci,40,1989,5226.0
crude rate of net migration,384,cote d'ivoire,ci,41,1990,44990.0
crude rate of net migration,384,cote d'ivoire,ci,42,1991,5193.0
crude rate of net migration,384,cote d'ivoire,ci,43,1992,5121.0
crude rate of net migration,384,cote d'ivoire,ci,44,1993,5024.0
crude rate of net migration,384,cote d'ivoire,ci,45,1994,4872.0
crude rate of net migration,384,cote d'ivoire,ci,46,1995,4657.0
crude rate of net migration,384,cote d'ivoire,ci,47,1996,4408.0
crude rate of net migration,384,cote d'ivoire,ci,48,1997,4017.0
crude rate of net migration,384,cote d'ivoire,ci,49,1998,1727.0
crude rate of net migration,384,cote d'ivoire,ci,50,1999,-2613.0
crude rate of net migration,384,cote d'ivoire,ci,51,2000,-3794.0
crude rate of net migration,384,cote d'ivoire,ci,52,2001,-4439.0
crude rate of net migration,384,cote d'ivoire,ci,53,2002,-5109.0
crude rate of net migration,384,cote d'ivoire,ci,54,2003,-5503.0
crude rate of net migration,384,cote d'ivoire,ci,55,2004,-5859.0
crude rate of net migration,384,cote d'ivoire,ci,56,2005,-6173.0
crude rate of net migration,384,cote d'ivoire,ci,57,2006,-6414.0
crude rate of net migration,384,cote d'ivoire,ci,58,2007,-6.55
crude rate of net migration,384,cote d'ivoire,ci,59,2008,-6.59
crude rate of net migration,384,cote d'ivoire,ci,60,2009,-6.57
crude rate of net migration,384,cote d'ivoire,ci,61,2010,-6524.0
crude rate of net migration,384,cote d'ivoire,ci,62,2011,-7247.0
crude rate of net migration,384,cote d'ivoire,ci,63,2012,-6528.0
crude rate of net migration,384,cote d'ivoire,ci,64,2013,-6587.0
crude rate of net migration,384,cote d'ivoire,ci,65,2014,-1.0
crude rate of net migration,384,cote d'ivoire,ci,66,2015,-911.0
crude rate of net migration,384,cote d'ivoire,ci,67,2016,-832.0
crude rate of net migration,384,cote d'ivoire,ci,68,2017,-754.0
crude rate of net migration,384,cote d'ivoire,ci,69,2018,-674.0
crude rate of net migration,384,cote d'ivoire,ci,70,2019,-593.0
crude rate of net migration,384,cote d'ivoire,ci,71,2020,-459.0
crude rate of net migration,384,cote d'ivoire,ci,72,2021,-764.0
crude rate of net migration,384,cote d'ivoire,ci,73,2022,213.0
crude rate of net migration,384,cote d'ivoire,ci,74,2023,208.0
